»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/13/2025 - 17:31:46
Configured:	06/13/25 05:21:47 PM
Executed:	06/13/25 05:31:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2150
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0080	-2.920868	0.000000	0.000000	0.000000	0.000000
   2	9.9500e-02	0.0080	-2.920868	0.000000	0.000000	0.000000	0.000000
   3	1.9900e-01	0.0626	-2.888571	0.000081	0.810707	0.274675	0.000032
   4	2.9850e-01	0.0995	-2.920868	-0.000081	-0.810707	-0.274675	-0.000032
   5	3.9800e-01	0.1332	-2.892608	0.000071	0.709368	0.240341	0.000028
   6	4.9750e-01	0.1733	-2.916831	-0.000061	-0.608030	-0.206006	-0.000024
   7	5.9700e-01	0.2102	-2.900682	0.000041	0.405353	0.137337	0.000016
   8	6.9650e-01	0.2583	-2.904719	-0.000010	-0.101338	-0.034334	-0.000004
   9	7.9600e-01	0.2984	-2.900682	0.000010	0.101338	0.034334	0.000004
  10	8.9550e-01	0.3465	-2.896645	0.000010	0.101338	0.034334	0.000004
  11	9.9500e-01	0.3898	-2.856274	0.000101	1.013384	0.343344	0.000041
  12	1.0945e+00	0.4123	-2.815902	0.000101	1.013384	0.343344	0.000041
  13	1.1940e+00	0.4572	-2.767457	0.000122	1.216060	0.412012	0.000049
  14	1.2935e+00	0.4941	-2.771494	-0.000010	-0.101338	-0.034334	-0.000004
  15	1.3930e+00	0.5294	-2.710937	0.000152	1.520075	0.515015	0.000061
  16	1.4925e+00	0.5807	-2.634231	0.000193	1.925429	0.652353	0.000077
  17	1.5920e+00	0.6192	-2.553488	0.000203	2.026767	0.686687	0.000081
  18	1.6915e+00	0.6625	-2.460634	0.000233	2.330782	0.789690	0.000093
  19	1.7910e+00	0.6994	-2.387966	0.000182	1.824090	0.618019	0.000073
  20	1.8905e+00	0.7396	-2.238592	0.000375	3.749519	1.270371	0.000150
  21	1.9900e+00	0.7748	-2.149775	0.000223	2.229444	0.755356	0.000089
  22	2.0895e+00	0.8069	-2.036735	0.000284	2.837474	0.961362	0.000114
  23	2.1890e+00	0.8583	-1.935807	0.000253	2.533459	0.858359	0.000101
  24	2.2885e+00	0.9000	-1.806618	0.000324	3.242827	1.098700	0.000130
  25	2.3880e+00	0.9353	-1.709727	0.000243	2.432121	0.824025	0.000097
  26	2.4875e+00	0.9882	-1.568427	0.000355	3.546842	1.201703	0.000142
  27	2.5870e+00	1.0107	-1.398868	0.000426	4.256211	1.442043	0.000170
  28	2.6865e+00	1.0572	-1.293902	0.000263	2.634797	0.892693	0.000105
  29	2.7860e+00	1.1069	-1.164714	0.000324	3.242827	1.098700	0.000130
  30	2.8855e+00	1.1390	-1.047637	0.000294	2.938812	0.995697	0.000118
  31	2.9850e+00	1.1727	-0.865966	0.000456	4.560226	1.545046	0.000183
  32	3.0845e+00	1.2192	-0.736777	0.000324	3.242827	1.098700	0.000130
  33	3.1840e+00	1.2641	-0.595478	0.000355	3.546842	1.201703	0.000142
  34	3.2835e+00	1.3042	-0.417844	0.000446	4.458888	1.510712	0.000179
  35	3.3830e+00	1.3379	-0.252321	0.000415	4.154873	1.407709	0.000166
  36	3.4825e+00	1.3796	-0.131207	0.000304	3.040151	1.030031	0.000122
  37	3.5820e+00	1.4101	0.066613	0.000497	4.965579	1.682384	0.000199
  38	3.6815e+00	1.4534	0.175615	0.000274	2.736136	0.927028	0.000110
  39	3.7810e+00	1.4935	0.365361	0.000476	4.762903	1.613715	0.000191
  40	3.8805e+00	1.5304	0.514735	0.000375	3.749519	1.270371	0.000150
  41	3.9800e+00	1.5689	0.712554	0.000497	4.965579	1.682384	0.000199
  42	4.0795e+00	1.6235	0.865966	0.000385	3.850857	1.304706	0.000154
  43	4.1790e+00	1.6427	1.043600	0.000446	4.458888	1.510712	0.000179
  44	4.2785e+00	1.6941	1.197011	0.000385	3.850857	1.304706	0.000154
  45	4.3780e+00	1.7374	1.382719	0.000466	4.661564	1.579381	0.000187
  46	4.4775e+00	1.7743	1.548242	0.000415	4.154873	1.407709	0.000166
  47	4.5770e+00	1.8160	1.729913	0.000456	4.560226	1.545046	0.000183
  48	4.6765e+00	1.8497	1.899472	0.000426	4.256211	1.442043	0.000170
  49	4.7760e+00	1.8882	2.077106	0.000446	4.458888	1.510712	0.000179
  50	4.8755e+00	1.9363	2.262815	0.000466	4.661564	1.579381	0.000187
  51	4.9750e+00	1.9748	2.392003	0.000324	3.242827	1.098700	0.000130
  52	5.0745e+00	2.0197	2.593860	0.000507	5.066918	1.716718	0.000203
  53	5.1740e+00	2.0550	2.747271	0.000385	3.850857	1.304706	0.000154
  54	5.2735e+00	2.0983	2.928942	0.000456	4.560226	1.545046	0.000183
  55	5.3730e+00	2.1400	3.098502	0.000426	4.256211	1.442043	0.000170
  56	5.4725e+00	2.1673	3.284210	0.000466	4.661564	1.579381	0.000187
  57	5.5720e+00	2.2026	3.445695	0.000405	4.053534	1.373375	0.000162
  58	5.6715e+00	2.2539	3.603144	0.000395	3.952196	1.339040	0.000158
  59	5.7710e+00	2.2876	3.752518	0.000375	3.749519	1.270371	0.000150
  60	5.8705e+00	2.3342	3.954374	0.000507	5.066918	1.716718	0.000203
  61	5.9700e+00	2.3662	4.107786	0.000385	3.850857	1.304706	0.000154
  62	6.0695e+00	2.4128	4.297531	0.000476	4.762903	1.613715	0.000191
  63	6.1690e+00	2.4545	4.463054	0.000415	4.154873	1.407709	0.000166
  64	6.2685e+00	2.4978	4.616465	0.000385	3.850857	1.304706	0.000154
  65	6.3680e+00	2.5267	4.830433	0.000537	5.370933	1.819721	0.000215
  66	6.4675e+00	2.5716	4.971733	0.000355	3.546842	1.201703	0.000142
  67	6.5670e+00	2.6149	5.137255	0.000415	4.154873	1.407709	0.000166
  68	6.6665e+00	2.6550	5.355261	0.000547	5.472271	1.854056	0.000219
  69	6.7660e+00	2.6871	5.488486	0.000334	3.344166	1.133034	0.000134
  70	6.8655e+00	2.7304	5.649971	0.000405	4.053534	1.373375	0.000162
  71	6.9650e+00	2.7721	5.795308	0.000365	3.648181	1.236037	0.000146
  72	7.0645e+00	2.8106	5.976979	0.000456	4.560226	1.545046	0.000183
  73	7.1640e+00	2.8571	6.146539	0.000426	4.256211	1.442043	0.000170
  74	7.2635e+00	2.8892	6.348396	0.000507	5.066918	1.716718	0.000203
  75	7.3630e+00	2.9357	6.481621	0.000334	3.344166	1.133034	0.000134
  76	7.4625e+00	2.9662	6.643107	0.000405	4.053534	1.373375	0.000162
  77	7.5620e+00	3.0047	6.861112	0.000547	5.472271	1.854056	0.000219
  78	7.6615e+00	3.0513	7.026635	0.000415	4.154873	1.407709	0.000166
  79	7.7610e+00	3.0753	7.204269	0.000446	4.458888	1.510712	0.000179
