»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 16:17:15
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 04:16:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1011	-2.818024	0.000062	0.620103	0.210097	0.491516
   2	1.0000e-04	0.5358	-2.326508	0.000062	0.620103	0.210097	0.491516
   3	2.0000e-04	1.5304	1.816788	0.000523	5.227241	1.771037	4.143296
   4	3.0000e-04	2.2315	3.447892	0.000206	2.057824	0.697210	1.631104
   5	4.0000e-04	3.2037	3.939408	0.000062	0.620103	0.210097	0.491516
   6	5.0000e-04	3.8550	7.066905	0.000395	3.945694	1.336837	3.127497
   7	6.0000e-04	4.5881	8.373973	0.000165	1.649015	0.558702	1.307068
   8	7.0000e-04	5.5073	10.259937	0.000238	2.379359	0.806149	1.885964
   9	8.0000e-04	6.2068	12.036676	0.000224	2.241558	0.759461	1.776739
  10	9.0000e-04	7.1356	14.399592	0.000298	2.981089	1.010020	2.362917
  11	1.0000e-03	7.9169	16.332888	0.000244	2.439073	0.826380	1.933295
  12	1.1000e-03	8.6228	17.985837	0.000209	2.085384	0.706547	1.652949
  13	1.2000e-03	9.5083	20.272296	0.000288	2.884629	0.977339	2.286459
  14	1.3000e-03	10.2125	22.063598	0.000226	2.259932	0.765686	1.791302
  15	1.4000e-03	11.1189	24.135246	0.000261	2.613620	0.885519	2.071648
  16	1.5000e-03	11.9259	26.239661	0.000265	2.654961	0.899525	2.104416
  17	1.6000e-03	12.6109	28.060090	0.000230	2.296679	0.778136	1.820429
  18	1.7000e-03	13.5141	30.091689	0.000256	2.563094	0.868400	2.031599
  19	1.8000e-03	14.2135	31.813815	0.000217	2.172658	0.736116	1.722126
  20	1.9000e-03	15.1183	33.645166	0.000231	2.310459	0.782805	1.831351
  21	2.0000e-03	15.8931	36.015364	0.000299	2.990276	1.013133	2.370198
  22	2.1000e-03	16.6054	37.617342	0.000202	2.021077	0.684760	1.601977
  23	2.2000e-03	17.4749	39.892878	0.000287	2.870848	0.972670	2.275536
  24	2.3000e-03	18.2000	41.145333	0.000158	1.580115	0.535357	1.252455
  25	2.4000e-03	19.1192	43.562862	0.000305	3.049989	1.033364	2.417530
