»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 16:51:48
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 04:51:26 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-3.437621	0.000345	3.446610	1.167743	0.000138
   2	9.9500e-02	0.0385	-3.300358	0.000345	3.446610	1.167743	0.000138
   3	1.9900e-01	0.0722	-3.215579	0.000213	2.128789	0.721253	0.000085
   4	2.9850e-01	0.1091	-3.062167	0.000385	3.852093	1.305125	0.000154
   5	3.9800e-01	0.1556	-2.969313	0.000233	2.331530	0.789944	0.000093
   6	4.9750e-01	0.1877	-2.840125	0.000324	3.243868	1.099052	0.000130
   7	5.9700e-01	0.2294	-2.739197	0.000253	2.534272	0.858635	0.000101
   8	6.9650e-01	0.2823	-2.626157	0.000284	2.838385	0.961671	0.000114
   9	7.9600e-01	0.3192	-2.501006	0.000314	3.142497	1.064707	0.000126
  10	8.9550e-01	0.3561	-2.383929	0.000294	2.939756	0.996016	0.000118
  11	9.9500e-01	0.3946	-2.270889	0.000284	2.838385	0.961671	0.000114
  12	1.0945e+00	0.4364	-2.141701	0.000324	3.243868	1.099052	0.000130
  13	1.1940e+00	0.4716	-2.020586	0.000304	3.041126	1.030362	0.000122
  14	1.2935e+00	0.5246	-1.903510	0.000294	2.939756	0.996016	0.000118
  15	1.3930e+00	0.5503	-1.806618	0.000243	2.432901	0.824289	0.000097
  16	1.4925e+00	0.5936	-1.677430	0.000324	3.243868	1.099052	0.000130
  17	1.5920e+00	0.6337	-1.576502	0.000253	2.534272	0.858635	0.000101
  18	1.6915e+00	0.6802	-1.483647	0.000233	2.331530	0.789944	0.000093
  19	1.7910e+00	0.7187	-1.350422	0.000335	3.345239	1.133398	0.000134
  20	1.8905e+00	0.7460	-1.237382	0.000284	2.838385	0.961671	0.000114
  21	1.9900e+00	0.7941	-1.100119	0.000345	3.446610	1.167743	0.000138
  22	2.0895e+00	0.8438	-0.974968	0.000314	3.142497	1.064707	0.000126
  23	2.1890e+00	0.8759	-0.870003	0.000264	2.635643	0.892980	0.000105
  24	2.2885e+00	0.9144	-0.736777	0.000335	3.345239	1.133398	0.000134
  25	2.3880e+00	0.9545	-0.619700	0.000294	2.939756	0.996016	0.000118
  26	2.4875e+00	0.9930	-0.498586	0.000304	3.041126	1.030362	0.000122
  27	2.5870e+00	1.0363	-0.361324	0.000345	3.446610	1.167743	0.000138
  28	2.6865e+00	1.0748	-0.244247	0.000294	2.939756	0.996016	0.000118
  29	2.7860e+00	1.1117	-0.119096	0.000314	3.142497	1.064707	0.000126
  30	2.8855e+00	1.1567	-0.018167	0.000253	2.534272	0.858635	0.000101
  31	2.9850e+00	1.1952	0.086798	0.000264	2.635643	0.892980	0.000105
  32	3.0845e+00	1.2272	0.211950	0.000314	3.142497	1.064707	0.000126
  33	3.1840e+00	1.2706	0.329027	0.000294	2.939756	0.996016	0.000118
  34	3.2835e+00	1.3155	0.470326	0.000355	3.547981	1.202088	0.000142
  35	3.3830e+00	1.3524	0.563180	0.000233	2.331530	0.789944	0.000093
  36	3.4825e+00	1.3941	0.684295	0.000304	3.041126	1.030362	0.000122
  37	3.5820e+00	1.4294	0.841743	0.000395	3.953464	1.339470	0.000158
  38	3.6815e+00	1.4743	0.934597	0.000233	2.331530	0.789944	0.000093
  39	3.7810e+00	1.5128	1.096082	0.000405	4.054835	1.373815	0.000162
  40	3.8805e+00	1.5593	1.188936	0.000233	2.331530	0.789944	0.000093
  41	3.9800e+00	1.5946	1.289865	0.000253	2.534272	0.858635	0.000101
  42	4.0795e+00	1.6235	1.451350	0.000405	4.054835	1.373815	0.000162
  43	4.1790e+00	1.6828	1.540167	0.000223	2.230159	0.755598	0.000089
  44	4.2785e+00	1.7149	1.645133	0.000264	2.635643	0.892980	0.000105
