»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 17:19:45
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 05:19:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	-3.428134	0.000414	4.140824	1.402949	0.033071
   2	5.0000e-04	0.0369	-3.262777	0.000414	4.140824	1.402949	0.033071
   3	1.0000e-03	0.0594	-3.323273	-0.000151	-1.514936	-0.513274	-0.012099
   4	1.5000e-03	0.0979	-3.250677	0.000182	1.817923	0.615929	0.014519
   5	2.0000e-03	0.1428	-3.105486	0.000364	3.635846	1.231858	0.029038
   6	2.5000e-03	0.1668	-3.024824	0.000202	2.019914	0.684365	0.016132
   7	3.0000e-03	0.2102	-2.807037	0.000545	5.453768	1.847787	0.043557
   8	3.5000e-03	0.2599	-2.811070	-0.000010	-0.100996	-0.034218	-0.000807
   9	4.0000e-03	0.2904	-2.669911	0.000353	3.534850	1.197640	0.028232
  10	4.5000e-03	0.3417	-2.698143	-0.000071	-0.706970	-0.239528	-0.005646
  11	5.0000e-03	0.3770	-2.472289	0.000566	5.655760	1.916223	0.045171
  12	5.5000e-03	0.4171	-2.290800	0.000454	4.544807	1.539822	0.036298
  13	6.0000e-03	0.4556	-2.431958	-0.000353	-3.534850	-1.197640	-0.028232
  14	6.5000e-03	0.5005	-2.298866	0.000333	3.332858	1.129203	0.026618
  15	7.0000e-03	0.5374	-1.956053	0.000858	8.584636	2.908553	0.068563
  16	7.5000e-03	0.5807	-1.758431	0.000495	4.948790	1.676695	0.039524
  17	8.0000e-03	0.6208	-1.847159	-0.000222	-2.221906	-0.752802	-0.017746
  18	8.5000e-03	0.6674	-1.818927	0.000071	0.706970	0.239528	0.005646
  19	9.0000e-03	0.6946	-1.831027	-0.000030	-0.302987	-0.102655	-0.002420
  20	9.5000e-03	0.7363	-1.496280	0.000838	8.382644	2.840117	0.066949
  21	1.0000e-02	0.7700	-1.355121	0.000353	3.534850	1.197640	0.028232
  22	1.0500e-02	0.8101	-1.290592	0.000162	1.615931	0.547492	0.012906
  23	1.1000e-02	0.8470	-1.205896	0.000212	2.120910	0.718584	0.016939
  24	1.1500e-02	0.9016	-1.032473	0.000434	4.342816	1.471386	0.034685
  25	1.2000e-02	0.9385	-1.056672	-0.000061	-0.605974	-0.205310	-0.004840
  26	1.2500e-02	0.9834	-0.838885	0.000545	5.453768	1.847787	0.043557
  27	1.3000e-02	1.0155	-0.504137	0.000838	8.382644	2.840117	0.066949
  28	1.3500e-02	1.0684	-0.443641	0.000151	1.514936	0.513274	0.012099
  29	1.4000e-02	1.0973	-0.693693	-0.000626	-6.261734	-2.121533	-0.050010
  30	1.4500e-02	1.1278	-0.467839	0.000566	5.655760	1.916223	0.045171
  31	1.5000e-02	1.1743	-0.310549	0.000394	3.938833	1.334513	0.031458
  32	1.5500e-02	1.2144	-0.120993	0.000475	4.746798	1.608259	0.037911
  33	1.6000e-02	1.2641	-0.016132	0.000263	2.625889	0.889675	0.020972
  34	1.6500e-02	1.2962	0.040331	0.000141	1.413940	0.479056	0.011293
  35	1.7000e-02	1.3283	0.181489	0.000353	3.534850	1.197640	0.028232
  36	1.7500e-02	1.3764	0.177456	-0.000010	-0.100996	-0.034218	-0.000807
  37	1.8000e-02	1.4165	0.423475	0.000616	6.160738	2.087315	0.049204
  38	1.8500e-02	1.4566	0.459773	0.000091	0.908961	0.307964	0.007260
  39	1.9000e-02	1.5048	0.633196	0.000434	4.342816	1.471386	0.034685
  40	1.9500e-02	1.5353	0.786454	0.000384	3.837837	1.300294	0.030652
  41	2.0000e-02	1.5802	0.713858	-0.000182	-1.817923	-0.615929	-0.014519
