»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 17:37:51
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 05:36:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0786	-3.902999	0.000020	0.198285	0.067181	0.156557
   2	1.0000e-04	0.6000	-3.746443	0.000020	0.198285	0.067181	0.156557
   3	2.0000e-04	1.5224	-0.091021	0.000463	4.629722	1.568592	3.655421
   4	3.0000e-04	2.1850	3.225800	0.000420	4.200873	1.423294	3.316821
   5	4.0000e-04	3.0705	4.773164	0.000196	1.959793	0.663996	1.547365
   6	5.0000e-04	3.8694	6.954038	0.000276	2.762155	0.935843	2.180874
   7	6.0000e-04	4.6154	9.728372	0.000351	3.513793	1.190505	2.774334
   8	7.0000e-04	5.4255	12.138620	0.000305	3.052665	1.034271	2.410248
   9	8.0000e-04	6.2357	14.381388	0.000284	2.840546	0.962403	2.242768
  10	9.0000e-04	7.0378	16.649642	0.000287	2.872825	0.973340	2.268254
  11	1.0000e-03	7.8158	19.267419	0.000332	3.315508	1.123324	2.617777
  12	1.1000e-03	8.6244	21.597568	0.000295	2.951217	0.999899	2.330149
  13	1.2000e-03	9.4297	24.135246	0.000321	3.214060	1.088953	2.537678
  14	1.3000e-03	10.2109	26.534571	0.000304	3.038831	1.029584	2.399325
  15	1.4000e-03	11.0211	28.973946	0.000309	3.089555	1.046770	2.439375
  16	1.5000e-03	11.8184	31.435165	0.000312	3.117223	1.056144	2.461220
  17	1.6000e-03	12.6381	33.692497	0.000286	2.858992	0.968653	2.257332
  18	1.7000e-03	13.4595	36.208330	0.000319	3.186392	1.079579	2.515833
  19	1.8000e-03	14.2039	38.705958	0.000316	3.163336	1.071767	2.497628
  20	1.9000e-03	15.0204	40.817656	0.000267	2.674540	0.906159	2.111697
  21	2.0000e-03	15.8482	43.377179	0.000324	3.241727	1.098327	2.559523
  22	2.1000e-03	16.6134	45.714609	0.000296	2.960440	1.003024	2.337431
  23	2.2000e-03	17.4412	47.786257	0.000262	2.623816	0.888973	2.071648
  24	2.3000e-03	18.2064	50.087279	0.000291	2.914327	0.987401	2.301022
  25	2.4000e-03	19.0214	52.326407	0.000284	2.835935	0.960841	2.239127
