»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 18:0:3
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 05:59:25 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-3.421473	0.000162	1.621999	0.549548	0.000065
   2	9.9500e-02	0.0417	-3.356878	0.000162	1.621999	0.549548	0.000065
   3	1.9900e-01	0.0754	-3.259987	0.000243	2.432999	0.824322	0.000097
   4	2.9850e-01	0.1203	-3.171170	0.000223	2.230249	0.755629	0.000089
   5	3.9800e-01	0.1668	-3.029870	0.000355	3.548123	1.202137	0.000142
   6	4.9750e-01	0.1957	-2.932979	0.000243	2.432999	0.824322	0.000097
   7	5.9700e-01	0.2390	-2.815902	0.000294	2.939874	0.996056	0.000118
   8	6.9650e-01	0.2743	-2.702862	0.000284	2.838499	0.961709	0.000114
   9	7.9600e-01	0.3241	-2.610008	0.000233	2.331624	0.789976	0.000093
  10	8.9550e-01	0.3577	-2.496968	0.000284	2.838499	0.961709	0.000114
  11	9.9500e-01	0.3914	-2.416226	0.000203	2.027499	0.686935	0.000081
  12	1.0945e+00	0.4396	-2.278963	0.000345	3.446748	1.167790	0.000138
  13	1.1940e+00	0.4765	-2.149775	0.000324	3.243998	1.099096	0.000130
  14	1.2935e+00	0.5182	-2.052884	0.000243	2.432999	0.824322	0.000097
  15	1.3930e+00	0.5551	-1.919658	0.000335	3.345373	1.133443	0.000134
  16	1.4925e+00	0.5920	-1.855064	0.000162	1.621999	0.549548	0.000065
  17	1.5920e+00	0.6337	-1.717801	0.000345	3.446748	1.167790	0.000138
  18	1.6915e+00	0.6754	-1.637059	0.000203	2.027499	0.686935	0.000081
  19	1.7910e+00	0.7155	-1.536130	0.000253	2.534374	0.858669	0.000101
  20	1.8905e+00	0.7588	-1.374645	0.000405	4.054998	1.373870	0.000162
  21	1.9900e+00	0.7973	-1.306013	0.000172	1.723374	0.583895	0.000069
  22	2.0895e+00	0.8374	-1.128379	0.000446	4.460498	1.511258	0.000179
  23	2.1890e+00	0.8775	-1.039562	0.000223	2.230249	0.755629	0.000089
  24	2.2885e+00	0.9016	-0.938634	0.000253	2.534374	0.858669	0.000101
  25	2.3880e+00	0.9529	-0.833669	0.000264	2.635749	0.893016	0.000105
  26	2.4875e+00	0.9914	-0.700443	0.000335	3.345373	1.133443	0.000134
  27	2.5870e+00	1.0267	-0.575292	0.000314	3.142623	1.064750	0.000126
  28	2.6865e+00	1.0748	-0.486475	0.000223	2.230249	0.755629	0.000089
