»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 18:40:14
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 06:39:53 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0096	-3.649954	0.000404	4.041777	1.369391	0.032265
   2	5.0000e-04	0.0369	-3.488630	0.000404	4.041777	1.369391	0.032265
   3	1.0000e-03	0.0578	-3.774980	-0.000717	-7.174154	-2.430669	-0.057270
   4	1.5000e-03	0.0930	-3.424101	0.000879	8.790865	2.978426	0.070176
   5	2.0000e-03	0.1364	-3.323273	0.000253	2.526111	0.855869	0.020165
   6	2.5000e-03	0.1781	-3.480564	-0.000394	-3.940732	-1.335156	-0.031458
   7	3.0000e-03	0.2118	-3.085320	0.000990	9.902353	3.355008	0.079049
   8	3.5000e-03	0.2615	-3.246644	-0.000404	-4.041777	-1.369391	-0.032265
   9	4.0000e-03	0.2984	-2.980460	0.000667	6.668932	2.259495	0.053237
  10	4.5000e-03	0.3449	-2.903831	0.000192	1.919844	0.650461	0.015326
  11	5.0000e-03	0.3882	-2.714275	0.000475	4.749088	1.609035	0.037911
  12	5.5000e-03	0.4171	-2.520687	0.000485	4.850132	1.643269	0.038718
  13	6.0000e-03	0.4572	-2.556985	-0.000091	-0.909400	-0.308113	-0.007260
  14	6.5000e-03	0.4957	-2.448091	0.000273	2.728199	0.924339	0.021779
  15	7.0000e-03	0.5310	-2.105277	0.000859	8.588776	2.909956	0.068563
  16	7.5000e-03	0.5807	-2.278701	-0.000434	-4.344910	-1.472095	-0.034685
  17	8.0000e-03	0.6224	-2.137542	0.000354	3.536555	1.198217	0.028232
  18	8.5000e-03	0.6481	-2.060913	0.000192	1.919844	0.650461	0.015326
  19	9.0000e-03	0.7059	-1.972185	0.000222	2.222977	0.753165	0.017746
  20	9.5000e-03	0.7444	-1.738265	0.000586	5.860577	1.985617	0.046784
  21	1.0000e-02	0.7764	-1.617273	0.000303	3.031333	1.027043	0.024199
  22	1.0500e-02	0.8133	-1.589041	0.000071	0.707311	0.239643	0.005646
  23	1.1000e-02	0.8663	-1.246227	0.000859	8.588776	2.909956	0.068563
  24	1.1500e-02	0.9000	-1.234128	0.000030	0.303133	0.102704	0.002420
