»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:10:14
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:09:49 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0225	-5.251094	0.000061	0.606388	0.205450	0.004840
   2	5.0000e-04	0.0385	-5.226896	0.000061	0.606388	0.205450	0.004840
   3	1.0000e-03	0.0578	-5.190598	0.000091	0.909583	0.308175	0.007260
   4	1.5000e-03	0.1027	-5.178499	0.000030	0.303194	0.102725	0.002420
   5	2.0000e-03	0.1380	-4.984910	0.000485	4.851107	1.643600	0.038718
   6	2.5000e-03	0.1717	-4.755023	0.000576	5.760690	1.951775	0.045977
   7	3.0000e-03	0.2182	-4.803420	-0.000121	-1.212777	-0.410900	-0.009679
   8	3.5000e-03	0.2487	-4.513037	0.000728	7.276661	2.465399	0.058077
   9	4.0000e-03	0.2904	-4.363813	0.000374	3.739395	1.266941	0.029845
  10	4.5000e-03	0.3321	-4.404144	-0.000101	-1.010647	-0.342417	-0.008066
  11	5.0000e-03	0.3802	-4.182323	0.000556	5.558560	1.883291	0.044364
  12	5.5000e-03	0.4171	-4.129893	0.000131	1.313842	0.445142	0.010486
  13	6.0000e-03	0.4540	-3.787080	0.000859	8.590502	2.910541	0.068563
  14	6.5000e-03	0.4973	-3.633822	0.000384	3.840460	1.301183	0.030652
  15	7.0000e-03	0.5310	-3.698351	-0.000162	-1.617036	-0.547867	-0.012906
  16	7.5000e-03	0.5759	-3.444266	0.000637	6.367078	2.157224	0.050817
  17	8.0000e-03	0.6144	-3.432167	0.000030	0.303194	0.102725	0.002420
  18	8.5000e-03	0.6545	-3.286975	0.000364	3.638330	1.232700	0.029038
  19	9.0000e-03	0.6962	-3.024824	0.000657	6.569208	2.225708	0.052430
  20	9.5000e-03	0.7283	-2.718308	0.000768	7.680920	2.602366	0.061303
  21	1.0000e-02	0.7781	-2.653779	0.000162	1.617036	0.547867	0.012906
  22	1.0500e-02	0.8166	-2.577150	0.000192	1.920230	0.650592	0.015326
  23	1.1000e-02	0.8551	-2.306932	0.000677	6.771337	2.294191	0.054044
  24	1.1500e-02	0.8887	-2.403727	-0.000243	-2.425554	-0.821800	-0.019359
  25	1.2000e-02	0.9369	-2.460190	-0.000141	-1.414906	-0.479383	-0.011293
  26	1.2500e-02	0.9690	-2.064946	0.000990	9.904344	3.355683	0.079049
  27	1.3000e-02	1.0059	-1.859258	0.000515	5.154301	1.746325	0.041138
  28	1.3500e-02	1.0556	-1.718100	0.000354	3.537266	1.198458	0.028232
  29	1.4000e-02	1.0909	-1.540644	0.000445	4.446848	1.506633	0.035491
  30	1.4500e-02	1.1342	-1.347055	0.000485	4.851107	1.643600	0.038718
  31	1.5000e-02	1.1775	-1.306724	0.000101	1.010647	0.342417	0.008066
  32	1.5500e-02	1.2208	-1.197830	0.000273	2.728748	0.924525	0.021779
  33	1.6000e-02	1.2577	-1.056672	0.000354	3.537266	1.198458	0.028232
  34	1.6500e-02	1.2834	-1.052639	0.000010	0.101065	0.034242	0.000807
  35	1.7000e-02	1.3315	-1.048606	0.000010	0.101065	0.034242	0.000807
  36	1.7500e-02	1.3893	-0.754189	0.000738	7.377726	2.499641	0.058883
  37	1.8000e-02	1.4085	-0.592865	0.000404	4.042589	1.369666	0.032265
  38	1.8500e-02	1.4534	-0.483972	0.000273	2.728748	0.924525	0.021779
  39	1.9000e-02	1.5048	-0.371045	0.000283	2.829813	0.958766	0.022585
  40	1.9500e-02	1.5320	-0.181489	0.000475	4.750042	1.609358	0.037911
  41	2.0000e-02	1.5770	-0.064530	0.000293	2.930877	0.993008	0.023392
  42	2.0500e-02	1.6203	-0.004033	0.000152	1.515971	0.513625	0.012099
  43	2.1000e-02	1.6556	0.278284	0.000707	7.074531	2.396916	0.056463
  44	2.1500e-02	1.6844	0.342813	0.000162	1.617036	0.547867	0.012906
  45	2.2000e-02	1.7406	0.358946	0.000040	0.404259	0.136967	0.003226
  46	2.2500e-02	1.7775	0.479939	0.000303	3.031942	1.027250	0.024199
  47	2.3000e-02	1.8208	0.863083	0.000960	9.601150	3.252958	0.076629
  48	2.3500e-02	1.8497	0.951811	0.000222	2.223424	0.753316	0.017746
  49	2.4000e-02	1.8962	1.016341	0.000162	1.617036	0.547867	0.012906
  50	2.4500e-02	1.9411	0.939712	-0.000192	-1.920230	-0.650592	-0.015326
  51	2.5000e-02	1.9828	1.217996	0.000697	6.973467	2.362674	0.055657
  52	2.5500e-02	2.0149	1.306724	0.000222	2.223424	0.753316	0.017746
  53	2.6000e-02	2.0614	1.613239	0.000768	7.680920	2.602366	0.061303
  54	2.6500e-02	2.0951	1.653570	0.000101	1.010647	0.342417	0.008066
  55	2.7000e-02	2.1272	1.754398	0.000253	2.526618	0.856041	0.020165
  56	2.7500e-02	2.1705	2.198039	0.001112	11.117121	3.766582	0.088728
  57	2.8000e-02	2.2122	2.161741	-0.000091	-0.909583	-0.308175	-0.007260
  58	2.8500e-02	2.2507	2.198039	0.000091	0.909583	0.308175	0.007260
  59	2.9000e-02	2.2924	2.302899	0.000263	2.627683	0.890283	0.020972
  60	2.9500e-02	2.3310	2.532786	0.000576	5.760690	1.951775	0.045977
  61	3.0000e-02	2.3791	2.686044	0.000384	3.840460	1.301183	0.030652
  62	3.0500e-02	2.4128	2.859467	0.000435	4.345784	1.472391	0.034685
  63	3.1000e-02	2.4481	2.976427	0.000293	2.930877	0.993008	0.023392
  64	3.1500e-02	2.4978	3.012725	0.000091	0.909583	0.308175	0.007260
  65	3.2000e-02	2.5331	3.137751	0.000313	3.133007	1.061491	0.025005
  66	3.2500e-02	2.5732	3.577358	0.001102	11.016056	3.732341	0.087922
  67	3.3000e-02	2.6165	3.565259	-0.000030	-0.303194	-0.102725	-0.002420
  68	3.3500e-02	2.6614	3.621723	0.000141	1.414906	0.479383	0.011293
  69	3.4000e-02	2.6935	3.726583	0.000263	2.627683	0.890283	0.020972
  70	3.4500e-02	2.7336	3.912106	0.000465	4.648978	1.575116	0.037105
  71	3.5000e-02	2.7721	4.037132	0.000313	3.133007	1.061491	0.025005
  72	3.5500e-02	2.8138	4.194423	0.000394	3.941525	1.335425	0.031458
  73	3.6000e-02	2.8555	4.343647	0.000374	3.739395	1.266941	0.029845
  74	3.6500e-02	2.8972	4.319449	-0.000061	-0.606388	-0.205450	-0.004840
  75	3.7000e-02	2.9406	4.759056	0.001102	11.016056	3.732341	0.087922
  76	3.7500e-02	2.9726	4.823586	0.000162	1.617036	0.547867	0.012906
  77	3.8000e-02	3.0144	4.831652	0.000020	0.202129	0.068483	0.001613
  78	3.8500e-02	3.0561	5.122035	0.000728	7.276661	2.465399	0.058077
  79	3.9000e-02	3.0930	5.331756	0.000526	5.255366	1.780566	0.041944
