»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:17:25
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:17:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0000	-6.124335	0.000253	2.534272	0.858635	0.000101
   2	9.9500e-02	0.0289	-6.023407	0.000253	2.534272	0.858635	0.000101
   3	1.9900e-01	0.0770	-5.894218	0.000324	3.243868	1.099052	0.000130
   4	2.9850e-01	0.1107	-5.732733	0.000405	4.054835	1.373815	0.000162
   5	3.9800e-01	0.1604	-5.567210	0.000416	4.156206	1.408161	0.000166
   6	4.9750e-01	0.1829	-5.438022	0.000324	3.243868	1.099052	0.000130
   7	5.9700e-01	0.2294	-5.284611	0.000385	3.852093	1.305125	0.000154
   8	6.9650e-01	0.2872	-5.143311	0.000355	3.547981	1.202088	0.000142
   9	7.9600e-01	0.3176	-4.985863	0.000395	3.953464	1.339470	0.000158
  10	8.9550e-01	0.3593	-4.840526	0.000365	3.649352	1.236434	0.000146
  11	9.9500e-01	0.3898	-4.731523	0.000274	2.737014	0.927325	0.000110
  12	1.0945e+00	0.4299	-4.578112	0.000385	3.852093	1.305125	0.000154
  13	1.1940e+00	0.4732	-4.436812	0.000355	3.547981	1.202088	0.000142
  14	1.2935e+00	0.5134	-4.234955	0.000507	5.068544	1.717269	0.000203
  15	1.3930e+00	0.5583	-4.142101	0.000233	2.331530	0.789944	0.000093
  16	1.4925e+00	0.5968	-3.976579	0.000416	4.156206	1.408161	0.000166
  17	1.5920e+00	0.6385	-3.839316	0.000345	3.446610	1.167743	0.000138
  18	1.6915e+00	0.6850	-3.669756	0.000426	4.257577	1.442506	0.000170
  19	1.7910e+00	0.7139	-3.548642	0.000304	3.041126	1.030362	0.000122
  20	1.8905e+00	0.7620	-3.383120	0.000416	4.156206	1.408161	0.000166
  21	1.9900e+00	0.7941	-3.209523	0.000436	4.358948	1.476852	0.000174
  22	2.0895e+00	0.8390	-3.068223	0.000355	3.547981	1.202088	0.000142
  23	2.1890e+00	0.8775	-2.930961	0.000345	3.446610	1.167743	0.000138
  24	2.2885e+00	0.9128	-2.781587	0.000375	3.750723	1.270779	0.000150
