»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 19:51:2
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 07:50:33 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0080	-6.552271	0.000314	3.143191	1.064942	0.000126
   2	9.9500e-02	0.0369	-6.427120	0.000314	3.143191	1.064942	0.000126
   3	1.9900e-01	0.0834	-6.301969	0.000314	3.143191	1.064942	0.000126
   4	2.9850e-01	0.1251	-6.144521	0.000395	3.954337	1.339766	0.000158
   5	3.9800e-01	0.1572	-5.954775	0.000477	4.765483	1.614589	0.000191
   6	4.9750e-01	0.1973	-5.789253	0.000416	4.157123	1.408472	0.000166
   7	5.9700e-01	0.2294	-5.660064	0.000324	3.244584	1.099295	0.000130
   8	6.9650e-01	0.2727	-5.510690	0.000375	3.751550	1.271060	0.000150
   9	7.9600e-01	0.3128	-5.397650	0.000284	2.839011	0.961883	0.000114
  10	8.9550e-01	0.3593	-5.215979	0.000456	4.562696	1.545883	0.000183
  11	9.9500e-01	0.3946	-5.082754	0.000335	3.345977	1.133648	0.000134
  12	1.0945e+00	0.4331	-4.937417	0.000365	3.650157	1.236707	0.000146
  13	1.1940e+00	0.4813	-4.796117	0.000355	3.548764	1.202354	0.000142
  14	1.2935e+00	0.5150	-4.650780	0.000365	3.650157	1.236707	0.000146
  15	1.3930e+00	0.5503	-4.440849	0.000527	5.272449	1.786354	0.000211
  16	1.4925e+00	0.6000	-4.299550	0.000355	3.548764	1.202354	0.000142
  17	1.5920e+00	0.6273	-4.117878	0.000456	4.562696	1.545883	0.000183
  18	1.6915e+00	0.6738	-4.016950	0.000253	2.534831	0.858824	0.000101
  19	1.7910e+00	0.7203	-3.871613	0.000365	3.650157	1.236707	0.000146
  20	1.8905e+00	0.7540	-3.714165	0.000395	3.954337	1.339766	0.000158
  21	1.9900e+00	0.7941	-3.552679	0.000406	4.055730	1.374119	0.000162
  22	2.0895e+00	0.8358	-3.399268	0.000385	3.852944	1.305413	0.000154
  23	2.1890e+00	0.8727	-3.229709	0.000426	4.258517	1.442825	0.000170
  24	2.2885e+00	0.9160	-3.088409	0.000355	3.548764	1.202354	0.000142
