»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:21:59
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:21:31 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0193	-6.081913	0.001384	13.838636	4.688657	0.110507
   2	5.0000e-04	0.0305	-5.529378	0.001384	13.838636	4.688657	0.110507
   3	1.0000e-03	0.0594	-5.666504	-0.000343	-3.434406	-1.163608	-0.027425
   4	1.5000e-03	0.1011	-5.489047	0.000444	4.444526	1.505846	0.035491
   5	2.0000e-03	0.1380	-5.122035	0.000919	9.192087	3.114363	0.073402
   6	2.5000e-03	0.1765	-5.315624	-0.000485	-4.848573	-1.642741	-0.038718
   7	3.0000e-03	0.2198	-5.283359	0.000081	0.808096	0.273790	0.006453
   8	3.5000e-03	0.2583	-4.851818	0.001081	10.808278	3.661944	0.086308
   9	4.0000e-03	0.2920	-4.884082	-0.000081	-0.808096	-0.273790	-0.006453
  10	4.5000e-03	0.3321	-4.827619	0.000141	1.414167	0.479133	0.011293
  11	5.0000e-03	0.3738	-4.605799	0.000556	5.555657	1.882308	0.044364
  12	5.5000e-03	0.4219	-4.150058	0.001141	11.414350	3.867286	0.091148
  13	6.0000e-03	0.4540	-4.206522	-0.000141	-1.414167	-0.479133	-0.011293
  14	6.5000e-03	0.5005	-4.267018	-0.000152	-1.515179	-0.513357	-0.012099
  15	7.0000e-03	0.5262	-3.976635	0.000727	7.272860	2.464112	0.058077
  16	7.5000e-03	0.5647	-3.589458	0.000970	9.697147	3.285482	0.077435
  17	8.0000e-03	0.6112	-3.658020	-0.000172	-1.717203	-0.581804	-0.013713
  18	8.5000e-03	0.6465	-3.319240	0.000849	8.485003	2.874797	0.067756
  19	9.0000e-03	0.6914	-3.343439	-0.000061	-0.606072	-0.205343	-0.004840
  20	9.5000e-03	0.7331	-3.065155	0.000697	6.969824	2.361440	0.055657
  21	1.0000e-02	0.7781	-2.919963	0.000364	3.636430	1.232056	0.029038
  22	1.0500e-02	0.8133	-2.827202	0.000232	2.323275	0.787147	0.018552
  23	1.1000e-02	0.8647	-2.726375	0.000253	2.525299	0.855594	0.020165
  24	1.1500e-02	0.8968	-2.649746	0.000192	1.919227	0.650252	0.015326
  25	1.2000e-02	0.9385	-2.536819	0.000283	2.828334	0.958266	0.022585
  26	1.2500e-02	0.9690	-2.290800	0.000616	6.161729	2.087650	0.049204
  27	1.3000e-02	1.0155	-2.165774	0.000313	3.131370	1.060937	0.025005
  28	1.3500e-02	1.0492	-1.923788	0.000606	6.060717	2.053426	0.048397
  29	1.4000e-02	1.0957	-1.629372	0.000737	7.373872	2.498335	0.058883
  30	1.4500e-02	1.1342	-1.391419	0.000596	5.959705	2.019203	0.047591
  31	1.5000e-02	1.1807	-1.572908	-0.000455	-4.545537	-1.540070	-0.036298
  32	1.5500e-02	1.2144	-1.488213	0.000212	2.121251	0.718699	0.016939
  33	1.6000e-02	1.2577	-1.391419	0.000242	2.424287	0.821371	0.019359
  34	1.6500e-02	1.2898	-1.145400	0.000616	6.161729	2.087650	0.049204
  35	1.7000e-02	1.3331	-0.931646	0.000535	5.353633	1.813860	0.042751
  36	1.7500e-02	1.3780	-0.842918	0.000222	2.222263	0.752923	0.017746
  37	1.8000e-02	1.4133	-0.879215	-0.000091	-0.909107	-0.308014	-0.007260
  38	1.8500e-02	1.4502	-0.613031	0.000667	6.666788	2.258769	0.053237
  39	1.9000e-02	1.4984	-0.395244	0.000545	5.454645	1.848084	0.043557
  40	1.9500e-02	1.5288	-0.145192	0.000626	6.262741	2.121874	0.050010
  41	2.0000e-02	1.5770	0.008066	0.000384	3.838454	1.300503	0.030652
  42	2.0500e-02	1.6219	0.096794	0.000222	2.222263	0.752923	0.017746
  43	2.1000e-02	1.6572	0.040331	-0.000141	-1.414167	-0.479133	-0.011293
  44	2.1500e-02	1.6925	0.262151	0.000556	5.555657	1.882308	0.044364
  45	2.2000e-02	1.7358	0.475906	0.000535	5.353633	1.813860	0.042751
  46	2.2500e-02	1.7807	0.786454	0.000778	7.777920	2.635231	0.062110
  47	2.3000e-02	1.8160	0.738057	-0.000121	-1.212143	-0.410685	-0.009679
  48	2.3500e-02	1.8513	0.959877	0.000556	5.555657	1.882308	0.044364
  49	2.4000e-02	1.8882	1.266393	0.000768	7.676908	2.601007	0.061303
  50	2.4500e-02	1.9363	1.072804	-0.000485	-4.848573	-1.642741	-0.038718
  51	2.5000e-02	1.9764	1.302691	0.000576	5.757681	1.950755	0.045977
  52	2.5500e-02	2.0133	1.637438	0.000838	8.383991	2.840573	0.066949
  53	2.6000e-02	2.0422	1.625339	-0.000030	-0.303036	-0.102671	-0.002420
  54	2.6500e-02	2.0903	1.843126	0.000545	5.454645	1.848084	0.043557
  55	2.7000e-02	2.1384	2.060913	0.000545	5.454645	1.848084	0.043557
  56	2.7500e-02	2.1721	2.363396	0.000758	7.575896	2.566783	0.060496
  57	2.8000e-02	2.2074	2.419859	0.000141	1.414167	0.479133	0.011293
  58	2.8500e-02	2.2588	2.319032	-0.000253	-2.525299	-0.855594	-0.020165
  59	2.9000e-02	2.3005	2.536819	0.000545	5.454645	1.848084	0.043557
  60	2.9500e-02	2.3390	2.984493	0.001121	11.212326	3.798839	0.089535
  61	3.0000e-02	2.3839	2.928030	-0.000141	-1.414167	-0.479133	-0.011293
  62	3.0500e-02	2.4096	3.012725	0.000212	2.121251	0.718699	0.016939
  63	3.1000e-02	2.4593	3.141784	0.000323	3.232382	1.095161	0.025812
  64	3.1500e-02	2.4994	3.274876	0.000333	3.333394	1.129385	0.026618
  65	3.2000e-02	2.5299	3.714484	0.001101	11.010302	3.730391	0.087922
  66	3.2500e-02	2.5748	3.839510	0.000313	3.131370	1.060937	0.025005
  67	3.3000e-02	2.6165	3.738682	-0.000253	-2.525299	-0.855594	-0.020165
  68	3.3500e-02	2.6550	4.061330	0.000808	8.080956	2.737902	0.064530
  69	3.4000e-02	2.6983	4.166191	0.000263	2.626311	0.889818	0.020972
  70	3.4500e-02	2.7288	4.242820	0.000192	1.919227	0.650252	0.015326
  71	3.5000e-02	2.7769	4.351713	0.000273	2.727322	0.924042	0.021779
  72	3.5500e-02	2.8122	4.710659	0.000899	8.990063	3.045916	0.071789
  73	3.6000e-02	2.8571	4.803420	0.000232	2.323275	0.787147	0.018552
  74	3.6500e-02	2.8940	5.081704	0.000697	6.969824	2.361440	0.055657
  75	3.7000e-02	2.9325	4.819553	-0.000657	-6.565776	-2.224545	-0.052430
  76	3.7500e-02	2.9742	5.295458	0.001192	11.919409	4.038405	0.095181
  77	3.8000e-02	3.0127	5.323690	0.000071	0.707084	0.239566	0.005646
  78	3.8500e-02	3.0577	5.666504	0.000859	8.586015	2.909021	0.068563
  79	3.9000e-02	3.0881	5.678603	0.000030	0.303036	0.102671	0.002420
  80	3.9500e-02	3.1363	5.884291	0.000515	5.151609	1.745412	0.041138
  81	4.0000e-02	3.1732	5.973019	0.000222	2.222263	0.752923	0.017746
  82	4.0500e-02	3.2133	6.190806	0.000545	5.454645	1.848084	0.043557
  83	4.1000e-02	3.2630	6.344064	0.000384	3.838454	1.300503	0.030652
  84	4.1500e-02	3.2967	6.448925	0.000263	2.626311	0.889818	0.020972
  85	4.2000e-02	3.3304	6.654613	0.000515	5.151609	1.745412	0.041138
  86	4.2500e-02	3.3801	6.932896	0.000697	6.969824	2.361440	0.055657
  87	4.3000e-02	3.4250	7.045823	0.000283	2.828334	0.958266	0.022585
  88	4.3500e-02	3.4571	7.170849	0.000313	3.131370	1.060937	0.025005
  89	4.4000e-02	3.4908	7.114386	-0.000141	-1.414167	-0.479133	-0.011293
  90	4.4500e-02	3.5309	7.428968	0.000788	7.878932	2.669454	0.062916
  91	4.5000e-02	3.5710	7.525762	0.000242	2.424287	0.821371	0.019359
  92	4.5500e-02	3.6143	7.848410	0.000808	8.080956	2.737902	0.064530
  93	4.6000e-02	3.6673	7.908906	0.000152	1.515179	0.513357	0.012099
  94	4.6500e-02	3.6978	7.973436	0.000162	1.616191	0.547580	0.012906
  95	4.7000e-02	3.7330	8.162992	0.000475	4.747561	1.608517	0.037911
  96	4.7500e-02	3.7732	8.376746	0.000535	5.353633	1.813860	0.042751
  97	4.8000e-02	3.8197	8.417077	0.000101	1.010119	0.342238	0.008066
  98	4.8500e-02	3.8598	8.489673	0.000182	1.818215	0.616028	0.014519
  99	4.9000e-02	3.8855	8.646963	0.000394	3.939466	1.334727	0.031458
 100	4.9500e-02	3.9288	8.949446	0.000758	7.575896	2.566783	0.060496
 101	5.0000e-02	3.9769	9.038174	0.000222	2.222263	0.752923	0.017746
 102	5.0500e-02	4.0170	9.042207	0.000010	0.101012	0.034224	0.000807
 103	5.1000e-02	4.0555	9.130935	0.000222	2.222263	0.752923	0.017746
 104	5.1500e-02	4.0908	9.590708	0.001152	11.515362	3.901510	0.091955
