»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:23:38
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:23:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0128	-7.034709	0.000284	2.839068	0.961902	0.000114
   2	9.9500e-02	0.0369	-6.921669	0.000284	2.839068	0.961902	0.000114
   3	1.9900e-01	0.0690	-6.731924	0.000477	4.765579	1.614622	0.000191
   4	2.9850e-01	0.1139	-6.614847	0.000294	2.940463	0.996256	0.000118
   5	3.9800e-01	0.1636	-6.429139	0.000466	4.664183	1.580268	0.000187
   6	4.9750e-01	0.1941	-6.275728	0.000385	3.853021	1.305439	0.000154
   7	5.9700e-01	0.2342	-6.106168	0.000426	4.258602	1.442853	0.000170
   8	6.9650e-01	0.2807	-5.956794	0.000375	3.751626	1.271085	0.000150
   9	7.9600e-01	0.3128	-5.791271	0.000416	4.157207	1.408500	0.000166
  10	8.9550e-01	0.3545	-5.629786	0.000406	4.055812	1.374146	0.000162
  11	9.9500e-01	0.3995	-5.549043	0.000203	2.027906	0.687073	0.000081
  12	1.0945e+00	0.4315	-5.351223	0.000497	4.968369	1.683329	0.000199
  13	1.1940e+00	0.4781	-5.173589	0.000446	4.461393	1.511561	0.000179
  14	1.2935e+00	0.5166	-4.999993	0.000436	4.359997	1.477207	0.000174
  15	1.3930e+00	0.5551	-4.870804	0.000324	3.244649	1.099317	0.000130
  16	1.4925e+00	0.5984	-4.761802	0.000274	2.737673	0.927549	0.000110
  17	1.5920e+00	0.6417	-4.584168	0.000446	4.461393	1.511561	0.000179
  18	1.6915e+00	0.6738	-4.378274	0.000517	5.171160	1.752036	0.000207
  19	1.7910e+00	0.7075	-4.224863	0.000385	3.853021	1.305439	0.000154
  20	1.8905e+00	0.7524	-4.079526	0.000365	3.650230	1.236732	0.000146
  21	1.9900e+00	0.7925	-3.922077	0.000395	3.954416	1.339793	0.000158
  22	2.0895e+00	0.8326	-3.736369	0.000466	4.664183	1.580268	0.000187
  23	2.1890e+00	0.8727	-3.599107	0.000345	3.447440	1.168024	0.000138
  24	2.2885e+00	0.9160	-3.405324	0.000487	4.866974	1.648975	0.000195
  25	2.3880e+00	0.9529	-3.276136	0.000324	3.244649	1.099317	0.000130
  26	2.4875e+00	0.9978	-3.122724	0.000385	3.853021	1.305439	0.000154
  27	2.5870e+00	1.0347	-2.969313	0.000385	3.853021	1.305439	0.000154
  28	2.6865e+00	1.0700	-2.828014	0.000355	3.548835	1.202378	0.000142
  29	2.7860e+00	1.1085	-2.646342	0.000456	4.562788	1.545914	0.000183
  30	2.8855e+00	1.1534	-2.521191	0.000314	3.143254	1.064963	0.000126
  31	2.9850e+00	1.1871	-2.327409	0.000487	4.866974	1.648975	0.000195
  32	3.0845e+00	1.2353	-2.178035	0.000375	3.751626	1.271085	0.000150
  33	3.1840e+00	1.2786	-1.992326	0.000466	4.664183	1.580268	0.000187
  34	3.2835e+00	1.3203	-1.879287	0.000284	2.839068	0.961902	0.000114
  35	3.3830e+00	1.3540	-1.713764	0.000416	4.157207	1.408500	0.000166
