»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 20:57:31
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 08:57:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-5.888324	0.000879	8.789099	2.977827	0.070176
   2	5.0000e-04	0.0305	-5.537444	0.000879	8.789099	2.977827	0.070176
   3	1.0000e-03	0.0594	-5.654404	-0.000293	-2.929700	-0.992609	-0.023392
   4	1.5000e-03	0.1027	-5.678603	-0.000061	-0.606145	-0.205367	-0.004840
   5	2.0000e-03	0.1315	-5.529378	0.000374	3.737892	1.266432	0.029845
   6	2.5000e-03	0.1733	-5.440650	0.000222	2.222531	0.753014	0.017746
   7	3.0000e-03	0.2214	-5.218830	0.000556	5.556327	1.882534	0.044364
   8	3.5000e-03	0.2422	-5.053473	0.000414	4.141989	1.403344	0.033071
   9	4.0000e-03	0.2920	-4.908281	0.000364	3.636868	1.232204	0.029038
  10	4.5000e-03	0.3305	-4.803420	0.000263	2.626627	0.889925	0.020972
  11	5.0000e-03	0.3722	-4.601766	0.000505	5.051206	1.711395	0.040331
  12	5.5000e-03	0.4219	-4.327515	0.000687	6.869640	2.327497	0.054850
  13	6.0000e-03	0.4604	-4.303316	0.000061	0.606145	0.205367	0.004840
  14	6.5000e-03	0.4941	-4.117794	0.000465	4.647110	1.574483	0.037105
  15	7.0000e-03	0.5374	-4.202489	-0.000212	-2.121507	-0.718786	-0.016939
  16	7.5000e-03	0.5807	-4.004867	0.000495	4.950182	1.677167	0.039524
  17	8.0000e-03	0.6080	-3.750782	0.000636	6.364520	2.156358	0.050817
  18	8.5000e-03	0.6497	-3.678186	0.000182	1.818434	0.616102	0.014519
  19	9.0000e-03	0.6978	-3.597524	0.000202	2.020482	0.684558	0.016132
  20	9.5000e-03	0.7331	-3.355538	0.000606	6.061447	2.053674	0.048397
  21	1.0000e-02	0.7748	-3.170016	0.000465	4.647110	1.574483	0.037105
  22	1.0500e-02	0.8182	-3.053056	0.000293	2.929700	0.992609	0.023392
  23	1.1000e-02	0.8518	-2.879632	0.000434	4.344037	1.471800	0.034685
  24	1.1500e-02	0.9000	-2.827202	0.000131	1.313314	0.444963	0.010486
