»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 18:54:59
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 06:54:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0417	-1.536671	0.000068	0.682136	0.231114	0.005474
   2	5.0000e-04	0.0497	-1.509303	0.000068	0.682136	0.231114	0.005474
   3	1.0000e-03	0.1123	-1.539665	-0.000076	-0.756744	-0.256392	-0.006072
   4	1.5000e-03	0.1540	-1.410950	0.000321	3.208170	1.086957	0.025743
   5	2.0000e-03	0.1925	-1.361773	0.000123	1.225713	0.415283	0.009835
   6	2.5000e-03	0.2487	-1.298484	0.000158	1.577439	0.534451	0.012658
   7	3.0000e-03	0.2583	-1.188157	0.000275	2.749860	0.931678	0.022065
   8	3.5000e-03	0.3112	-1.169769	0.000046	0.458310	0.155280	0.003678
   9	4.0000e-03	0.3610	-1.064573	0.000262	2.621960	0.888344	0.021039
  10	4.5000e-03	0.3930	-0.935858	0.000321	3.208170	1.086957	0.025743
  11	5.0000e-03	0.4396	-0.930726	0.000013	0.127900	0.043334	0.001026
  12	5.5000e-03	0.4893	-0.840070	0.000226	2.259575	0.765565	0.018131
  13	6.0000e-03	0.5118	-0.735302	0.000261	2.611301	0.884733	0.020954
  14	6.5000e-03	0.5663	-0.690401	0.000112	1.119129	0.379171	0.008980
  15	7.0000e-03	0.6032	-0.589054	0.000253	2.526034	0.855844	0.020269
  16	7.5000e-03	0.6465	-0.559548	0.000074	0.735428	0.249170	0.005901
  17	8.0000e-03	0.6642	-0.361557	0.000493	4.934826	1.671964	0.039598
  18	8.5000e-03	0.7171	-0.344025	0.000044	0.436993	0.148057	0.003507
  19	9.0000e-03	0.7732	-0.298696	0.000113	1.129787	0.382782	0.009066
  20	9.5000e-03	0.7877	-0.174257	0.000310	3.101586	1.050846	0.024888
  21	1.0000e-02	0.8342	-0.042976	0.000327	3.272120	1.108624	0.026256
  22	1.0500e-02	0.8647	-0.026727	0.000041	0.405018	0.137224	0.003250
  23	1.1000e-02	0.9144	0.094291	0.000302	3.016319	1.021957	0.024204
  24	1.1500e-02	0.9641	0.108831	0.000036	0.362385	0.122779	0.002908
