»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 18:52:24
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 06:51:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0866	-1.445421	0.000072	0.715449	0.242401	0.567974
   2	1.0000e-04	0.6690	-0.877447	0.000072	0.715449	0.242401	0.567974
   3	2.0000e-04	1.5336	1.893246	0.000349	3.490106	1.182480	2.770693
   4	3.0000e-04	2.3229	2.788897	0.000113	1.128208	0.382247	0.895651
   5	4.0000e-04	3.0480	3.819260	0.000130	1.297898	0.439740	1.030363
   6	5.0000e-04	3.8919	6.269557	0.000309	3.086520	1.045741	2.450297
   7	6.0000e-04	4.7405	7.347251	0.000136	1.357518	0.459940	1.077694
   8	7.0000e-04	5.4335	8.803594	0.000183	1.834484	0.621540	1.456343
   9	8.0000e-04	6.3351	10.773298	0.000248	2.481140	0.840633	1.969704
  10	9.0000e-04	7.0570	12.069443	0.000163	1.632691	0.553171	1.296145
  11	1.0000e-03	7.9105	13.780646	0.000216	2.155519	0.730310	1.711203
  12	1.1000e-03	8.7254	15.291602	0.000190	1.903277	0.644848	1.510956
  13	1.2000e-03	9.4602	17.057418	0.000222	2.224312	0.753617	1.765816
  14	1.3000e-03	10.3361	18.732213	0.000211	2.109657	0.714771	1.674795
  15	1.4000e-03	11.0115	20.090253	0.000171	1.710656	0.579586	1.358040
  16	1.5000e-03	11.9403	22.027189	0.000244	2.439864	0.826648	1.936936
  17	1.6000e-03	12.6943	23.676498	0.000208	2.077553	0.703894	1.649309
  18	1.7000e-03	13.4884	25.373137	0.000214	2.137174	0.724094	1.696640
  19	1.8000e-03	14.3114	27.135312	0.000222	2.219726	0.752063	1.762175
  20	1.9000e-03	15.0076	28.456944	0.000166	1.664794	0.564048	1.321631
  21	2.0000e-03	15.8899	30.641458	0.000275	2.751726	0.932310	2.184515
  22	2.1000e-03	16.7386	32.225231	0.000200	1.995001	0.675925	1.583773
  23	2.2000e-03	17.4460	33.586912	0.000172	1.715243	0.581140	1.361681
  24	2.3000e-03	18.3396	35.440109	0.000233	2.334381	0.790910	1.853197
  25	2.4000e-03	18.9925	36.998396	0.000196	1.962898	0.665048	1.558287
  26	2.5000e-03	19.8989	38.960818	0.000247	2.471967	0.837525	1.962422
  27	2.6000e-03	19.5059	39.455975	-0.000062	-0.623725	-0.211324	0.495157
  28	2.7000e-03	18.4262	36.084541	0.000425	4.246831	1.438865	-3.371434
  29	2.8000e-03	17.7845	35.283552	0.000101	1.008966	0.341847	-0.800989
  30	2.9000e-03	16.9856	34.799318	0.000061	0.609966	0.206662	-0.484234
  31	3.0000e-03	16.1803	31.471574	0.000419	4.191796	1.420219	-3.327744
  32	3.1000e-03	15.2899	31.132974	0.000043	0.426518	0.144508	-0.338600
  33	3.2000e-03	14.5729	29.876878	0.000158	1.582243	0.536078	-1.256096
  34	3.3000e-03	13.7146	27.954505	0.000242	2.421519	0.820433	-1.922373
  35	3.4000e-03	13.0264	26.902298	0.000133	1.325415	0.449063	-1.052208
  36	3.5000e-03	12.1424	25.358574	0.000194	1.944553	0.658832	-1.543724
  37	3.6000e-03	11.3387	24.033302	0.000167	1.669381	0.565601	-1.325272
  38	3.7000e-03	10.5879	21.990780	0.000257	2.572864	0.871710	-2.042521
  39	3.8000e-03	9.6944	20.709199	0.000161	1.614346	0.546955	-1.281582
