»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 10:28:15
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 10:27:47 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0369	-2.099212	0.000556	5.560727	1.884025	0.044730
   2	5.0000e-04	0.0578	-1.875564	0.000556	5.560727	1.884025	0.044730
   3	1.0000e-03	0.1043	-1.954675	-0.000197	-1.966988	-0.666433	-0.015822
   4	1.5000e-03	0.1652	-1.935432	0.000048	0.478456	0.162105	0.003849
   5	2.0000e-03	0.1957	-1.605733	0.000820	8.197554	2.777407	0.065940
   6	2.5000e-03	0.2438	-1.744711	-0.000346	-3.455519	-1.170762	-0.027796
   7	3.0000e-03	0.2839	-1.449222	0.000735	7.346965	2.489219	0.059098
   8	3.5000e-03	0.3257	-1.637377	-0.000468	-4.678241	-1.585031	-0.037631
   9	4.0000e-03	0.3465	-1.371822	0.000660	6.602699	2.237055	0.053111
  10	4.5000e-03	0.3770	-1.139194	0.000578	5.784007	1.959675	0.046526
  11	5.0000e-03	0.4155	-1.059655	0.000198	1.977620	0.670036	0.015908
  12	5.5000e-03	0.4604	-1.163568	-0.000258	-2.583665	-0.875369	-0.020783
  13	6.0000e-03	0.5166	-1.046399	0.000291	2.913268	0.987042	0.023434
  14	6.5000e-03	0.5567	-0.869362	0.000440	4.401800	1.491370	0.035407
  15	7.0000e-03	0.6000	-0.923671	-0.000135	-1.350310	-0.457498	-0.010862
  16	7.5000e-03	0.6273	-0.779989	0.000357	3.572475	1.210387	0.028736
  17	8.0000e-03	0.6593	-0.559334	0.000549	5.486301	1.858809	0.044131
  18	8.5000e-03	0.7155	-0.446868	0.000280	2.796312	0.947416	0.022493
  19	9.0000e-03	0.7620	-0.612359	-0.000411	-4.114726	-1.394107	-0.033098
  20	9.5000e-03	0.7925	-0.255720	0.000887	8.867393	3.004354	0.071328
  21	1.0000e-02	0.8422	-0.385718	-0.000323	-3.232239	-1.095112	-0.026000
  22	1.0500e-02	0.8791	-0.186872	0.000494	4.944050	1.675090	0.039769
  23	1.1000e-02	0.8968	-0.069703	0.000291	2.913268	0.987042	0.023434
  24	1.1500e-02	0.9289	0.117169	0.000465	4.646344	1.574224	0.037374
