»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 11:21:12
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 11:20:48 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0545	-1.655337	-0.000514	-5.142993	-1.742493	0.041223
   2	5.0000e-04	0.0513	-1.449222	-0.000514	-5.142993	-1.742493	0.041223
   3	1.0000e-03	0.0995	-1.398335	0.000127	1.269743	0.430201	0.010177
   4	1.5000e-03	0.1540	-1.356855	0.000104	1.035001	0.350668	0.008296
   5	2.0000e-03	0.2069	-1.299553	0.000143	1.429795	0.484428	0.011460
   6	2.5000e-03	0.2374	-1.193502	0.000265	2.646187	0.896553	0.021210
   7	3.0000e-03	0.2615	-1.153305	0.000100	1.002990	0.339822	0.008039
   8	3.5000e-03	0.3208	-1.149457	0.000010	0.096031	0.032536	0.000770
   9	4.0000e-03	0.3754	-1.069491	0.000200	1.995311	0.676030	0.015993
  10	4.5000e-03	0.3962	-1.032715	0.000092	0.917630	0.310901	0.007355
  11	5.0000e-03	0.4251	-0.825317	0.000518	5.175004	1.753339	0.041480
  12	5.5000e-03	0.4861	-0.703444	0.000304	3.040982	1.030312	0.024375
  13	6.0000e-03	0.5150	-0.664530	0.000097	0.970980	0.328977	0.007783
  14	6.5000e-03	0.5583	-0.484499	0.000449	4.492117	1.521970	0.036006
  15	7.0000e-03	0.6000	-0.499466	-0.000037	-0.373454	-0.126530	-0.002993
  16	7.5000e-03	0.6305	-0.408810	0.000226	2.262063	0.766408	0.018131
  17	8.0000e-03	0.6674	-0.197135	0.000528	5.281705	1.789490	0.042335
  18	8.5000e-03	0.7203	-0.143254	0.000134	1.344434	0.455507	0.010776
  19	9.0000e-03	0.7813	-0.156511	-0.000033	-0.330773	-0.112069	-0.002651
  20	9.5000e-03	0.8021	0.121018	0.000692	6.924902	2.346220	0.055506
  21	1.0000e-02	0.8310	0.141116	0.000050	0.501495	0.169911	0.004020
  22	1.0500e-02	0.8599	0.125294	-0.000039	-0.394794	-0.133760	-0.003164
  23	1.1000e-02	0.9289	0.207826	0.000206	2.059331	0.697720	0.016506
  24	1.1500e-02	0.9609	0.336541	0.000321	3.211703	1.088155	0.025743
  25	1.2000e-02	0.9962	0.322857	-0.000034	-0.341444	-0.115684	-0.002737
  26	1.2500e-02	1.0620	0.415224	0.000230	2.304744	0.780868	0.018473
  27	1.3000e-02	1.0861	0.570024	0.000386	3.862580	1.308678	0.030960
  28	1.3500e-02	1.1133	0.704299	0.000335	3.350415	1.135151	0.026855
  29	1.4000e-02	1.1727	0.686339	-0.000045	-0.448145	-0.151836	-0.003592
  30	1.4500e-02	1.2032	0.841994	0.000388	3.883920	1.315908	0.031131
  31	1.5000e-02	1.2497	0.966005	0.000309	3.094332	1.048388	0.024802
  32	1.5500e-02	1.2657	0.886467	-0.000198	-1.984641	-0.672414	-0.015908
  33	1.6000e-02	1.3074	1.166562	0.000699	6.988923	2.367911	0.056019
  34	1.6500e-02	1.3604	1.238403	0.000179	1.792579	0.607342	0.014368
  35	1.7000e-02	1.4053	1.251232	0.000032	0.320103	0.108454	0.002566
  36	1.7500e-02	1.4406	1.483004	0.000578	5.783200	1.959401	0.046355
  37	1.8000e-02	1.4599	1.469748	-0.000033	-0.330773	-0.112069	-0.002651
  38	1.8500e-02	1.5272	1.600174	0.000325	3.254384	1.102615	0.026085
  39	1.9000e-02	1.5673	1.669449	0.000173	1.728558	0.585651	0.013855
  40	1.9500e-02	1.5946	1.690830	0.000053	0.533506	0.180757	0.004276
  41	2.0000e-02	1.6427	1.871716	0.000451	4.513457	1.529201	0.036177
  42	2.0500e-02	1.6957	1.903360	0.000079	0.789588	0.267520	0.006329
  43	2.1000e-02	1.7101	1.945695	0.000106	1.056341	0.357898	0.008467
  44	2.1500e-02	1.7502	2.004280	0.000146	1.461805	0.495273	0.011717
  45	2.2000e-02	1.8176	2.089805	0.000213	2.134022	0.723026	0.017105
  46	2.2500e-02	1.8401	2.184310	0.000236	2.358094	0.798944	0.018901
  47	2.3000e-02	1.9026	2.292927	0.000271	2.710208	0.918243	0.021723
  48	2.3500e-02	1.9251	2.375458	0.000206	2.059331	0.697720	0.016506
  49	2.4000e-02	1.9556	2.478516	0.000257	2.571497	0.871247	0.020612
  50	2.4500e-02	1.9892	2.534963	0.000141	1.408455	0.477197	0.011289
  51	2.5000e-02	2.0326	2.701736	0.000416	4.161343	1.409901	0.033355
  52	2.5500e-02	2.0823	2.796242	0.000236	2.358094	0.798944	0.018901
  53	2.6000e-02	2.1256	2.823182	0.000067	0.672217	0.227753	0.005388
  54	2.6500e-02	2.1802	2.891174	0.000170	1.696548	0.574806	0.013598
  55	2.7000e-02	2.2315	2.980121	0.000222	2.219383	0.751947	0.017789
  56	2.7500e-02	2.2267	3.252090	-0.000679	-6.786190	-2.299224	0.054394
  57	2.8000e-02	2.2684	3.265347	0.000033	0.330773	0.112069	0.002651
  58	2.8500e-02	2.3213	3.332911	0.000169	1.685878	0.571191	0.013513
  59	2.9000e-02	2.3502	3.455640	0.000306	3.062322	1.037543	0.024546
  60	2.9500e-02	2.3791	3.365411	-0.000225	-2.251393	-0.762793	-0.018046
  61	3.0000e-02	2.4336	3.515507	0.000375	3.745209	1.268911	0.030019
  62	3.0500e-02	2.4801	3.768234	0.000631	6.306035	2.136543	0.050545
  63	3.1000e-02	2.5363	3.716491	-0.000129	-1.291083	-0.437431	-0.010349
  64	3.1500e-02	2.5539	3.704090	-0.000031	-0.309433	-0.104839	-0.002480
  65	3.2000e-02	2.5892	3.956389	0.000630	6.295365	2.132928	0.050460
  66	3.2500e-02	2.6406	4.031223	0.000187	1.867269	0.632648	0.014967
  67	3.3000e-02	2.6967	3.966224	-0.000162	-1.621857	-0.549500	-0.013000
  68	3.3500e-02	2.7384	4.015401	0.000123	1.227063	0.415740	0.009835
  69	3.4000e-02	2.7513	4.295068	0.000698	6.978252	2.364296	0.055933
  70	3.4500e-02	2.7817	4.502894	0.000519	5.185674	1.756954	0.041565
