»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 12:17:6
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 12:16:38 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0176	-2.069096	0.000186	1.855704	0.628730	0.000075
   2	9.9500e-02	0.0722	-1.994960	0.000186	1.855704	0.628730	0.000075
   3	1.9900e-01	0.0979	-1.895976	0.000248	2.477671	0.839458	0.000099
   4	2.9850e-01	0.1460	-1.798214	0.000245	2.447082	0.829094	0.000098
   5	3.9800e-01	0.1957	-1.688231	0.000275	2.752968	0.932731	0.000111
   6	4.9750e-01	0.2246	-1.593320	0.000238	2.375709	0.804912	0.000095
   7	5.9700e-01	0.2583	-1.505334	0.000220	2.202374	0.746185	0.000088
   8	6.9650e-01	0.3160	-1.414497	0.000227	2.273747	0.770366	0.000091
   9	7.9600e-01	0.3497	-1.322438	0.000230	2.304336	0.780730	0.000093
  10	8.9550e-01	0.3513	-1.234044	0.000221	2.212570	0.749639	0.000089
  11	9.9500e-01	0.4347	-1.139948	0.000236	2.355317	0.798003	0.000095
  12	1.0945e+00	0.4572	-1.042186	0.000245	2.447082	0.829094	0.000098
  13	1.1940e+00	0.4877	-0.948904	0.000233	2.334924	0.791094	0.000094
  14	1.2935e+00	0.5342	-0.854808	0.000236	2.355317	0.798003	0.000095
  15	1.3930e+00	0.5599	-0.762749	0.000230	2.304336	0.780730	0.000093
  16	1.4925e+00	0.6257	-0.671504	0.000228	2.283944	0.773821	0.000092
  17	1.5920e+00	0.6625	-0.585962	0.000214	2.141197	0.725457	0.000086
  18	1.6915e+00	0.6866	-0.488607	0.000244	2.436886	0.825639	0.000098
  19	1.7910e+00	0.7283	-0.394511	0.000236	2.355317	0.798003	0.000095
  20	1.8905e+00	0.7764	-0.292268	0.000256	2.559240	0.867094	0.000103
  21	1.9900e+00	0.7893	-0.191655	0.000252	2.518456	0.853276	0.000101
  22	2.0895e+00	0.8615	-0.075155	0.000292	2.916106	0.988004	0.000117
  23	2.1890e+00	0.9080	0.027496	0.000257	2.569436	0.870549	0.000103
  24	2.2885e+00	0.9385	0.119148	0.000229	2.294140	0.777276	0.000092
  25	2.3880e+00	0.9978	0.211614	0.000231	2.314532	0.784185	0.000093
  26	2.4875e+00	1.0331	0.305711	0.000236	2.355317	0.798003	0.000095
  27	2.5870e+00	1.0620	0.398992	0.000233	2.334924	0.791094	0.000094
  28	2.6865e+00	1.0941	0.487385	0.000221	2.212570	0.749639	0.000089
  29	2.7860e+00	1.1390	0.576593	0.000223	2.232963	0.756548	0.000090
  30	2.8855e+00	1.1663	0.673134	0.000242	2.416494	0.818730	0.000097
  31	2.9850e+00	1.2048	0.774969	0.000255	2.549044	0.863640	0.000102
  32	3.0845e+00	1.2529	0.861733	0.000217	2.171786	0.735821	0.000087
  33	3.1840e+00	1.2818	0.955829	0.000236	2.355317	0.798003	0.000095
  34	3.2835e+00	1.3395	1.051147	0.000239	2.385905	0.808367	0.000096
  35	3.3830e+00	1.3556	1.135875	0.000212	2.120805	0.718548	0.000085
  36	3.4825e+00	1.3989	1.228341	0.000231	2.314532	0.784185	0.000093
  37	3.5820e+00	1.4631	1.328140	0.000250	2.498063	0.846367	0.000100
  38	3.6815e+00	1.4903	1.432013	0.000260	2.600025	0.880912	0.000104
  39	3.7810e+00	1.5288	1.536700	0.000262	2.620417	0.887821	0.000105
  40	3.8805e+00	1.5850	1.639757	0.000258	2.579633	0.874003	0.000104
  41	3.9800e+00	1.6251	1.748518	0.000272	2.722379	0.922367	0.000109
  42	4.0795e+00	1.6652	1.844243	0.000240	2.396101	0.811821	0.000096
  43	4.1790e+00	1.7213	1.939562	0.000239	2.385905	0.808367	0.000096
  44	4.2785e+00	1.7470	2.035694	0.000241	2.406298	0.815276	0.000097
  45	4.3780e+00	1.7823	2.131013	0.000239	2.385905	0.808367	0.000096
  46	4.4775e+00	1.8048	2.220628	0.000224	2.243159	0.760003	0.000090
  47	4.5770e+00	1.8577	2.321242	0.000252	2.518456	0.853276	0.000101
  48	4.6765e+00	1.8962	2.410042	0.000222	2.222766	0.753094	0.000089
  49	4.7760e+00	1.9331	2.505768	0.000240	2.396101	0.811821	0.000096
  50	4.8755e+00	1.9475	2.603530	0.000245	2.447082	0.829094	0.000098
  51	4.9750e+00	1.9925	2.695589	0.000230	2.304336	0.780730	0.000093
  52	5.0745e+00	2.0502	2.785612	0.000225	2.253355	0.763457	0.000090
  53	5.1740e+00	2.0919	2.874820	0.000223	2.232963	0.756548	0.000090
  54	5.2735e+00	2.1320	2.965250	0.000226	2.263551	0.766912	0.000091
  55	5.3730e+00	2.1545	3.067493	0.000256	2.559240	0.867094	0.000103
  56	5.4725e+00	2.1994	3.173809	0.000266	2.661202	0.901640	0.000107
  57	5.5720e+00	2.2459	3.273201	0.000249	2.487867	0.842912	0.000100
  58	5.6715e+00	2.3021	3.377888	0.000262	2.620417	0.887821	0.000105
  59	5.7710e+00	2.3470	3.480946	0.000258	2.579633	0.874003	0.000104
  60	5.8705e+00	2.3935	3.594594	0.000284	2.844733	0.963822	0.000114
  61	5.9700e+00	2.4449	3.687468	0.000232	2.324728	0.787639	0.000093
  62	6.0695e+00	2.4737	3.786045	0.000247	2.467475	0.836003	0.000099
  63	6.1690e+00	2.5170	3.877697	0.000229	2.294140	0.777276	0.000092
  64	6.2685e+00	2.5186	3.975460	0.000245	2.447082	0.829094	0.000098
  65	6.3680e+00	2.5796	4.065482	0.000225	2.253355	0.763457	0.000090
  66	6.4675e+00	2.6197	4.165281	0.000250	2.498063	0.846367	0.000100
  67	6.5670e+00	2.6486	4.254897	0.000224	2.243159	0.760003	0.000090
  68	6.6665e+00	2.6967	4.348993	0.000236	2.355317	0.798003	0.000095
  69	6.7660e+00	2.7336	4.439423	0.000226	2.263551	0.766912	0.000091
  70	6.8655e+00	2.7930	4.530260	0.000227	2.273747	0.770366	0.000091
  71	6.9650e+00	2.8106	4.621912	0.000229	2.294140	0.777276	0.000092
  72	7.0645e+00	2.8620	4.725377	0.000259	2.589829	0.877458	0.000104
  73	7.1640e+00	2.8780	4.823954	0.000247	2.467475	0.836003	0.000099
  74	7.2635e+00	2.9133	4.928641	0.000262	2.620417	0.887821	0.000105
  75	7.3630e+00	2.9678	5.028440	0.000250	2.498063	0.846367	0.000100
  76	7.4625e+00	3.0160	5.134349	0.000265	2.651006	0.898185	0.000106
  77	7.5620e+00	3.0480	5.239851	0.000264	2.640810	0.894731	0.000106
  78	7.6615e+00	3.1138	5.359610	0.000300	2.997676	1.015640	0.000120
  79	7.7610e+00	3.1507	5.453706	0.000236	2.355317	0.798003	0.000095
  80	7.8605e+00	3.1940	5.557578	0.000260	2.600025	0.880912	0.000104
  81	7.9600e+00	3.2069	5.652489	0.000238	2.375709	0.804912	0.000095
  82	8.0595e+00	3.2678	5.746585	0.000236	2.355317	0.798003	0.000095
  83	8.1590e+00	3.2983	5.845162	0.000247	2.467475	0.836003	0.000099
  84	8.2585e+00	3.3432	5.935185	0.000225	2.253355	0.763457	0.000090
  85	8.3580e+00	3.3593	6.028059	0.000232	2.324728	0.787639	0.000093
  86	8.4575e+00	3.3994	6.120118	0.000230	2.304336	0.780730	0.000093
  87	8.5570e+00	3.4443	6.214214	0.000236	2.355317	0.798003	0.000095
  88	8.6565e+00	3.4956	6.302200	0.000220	2.202374	0.746185	0.000088
  89	8.7560e+00	3.5261	6.397926	0.000240	2.396101	0.811821	0.000096
