»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 12:32:15
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 12:31:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0561	-1.703921	0.000085	0.852861	0.288957	0.673559
   2	1.0000e-04	0.6962	-1.030363	0.000085	0.852861	0.288957	0.673559
   3	2.0000e-04	1.5641	1.907809	0.000372	3.720318	1.260478	2.938172
   4	3.0000e-04	2.2892	2.825306	0.000116	1.161735	0.393606	0.917496
   5	4.0000e-04	3.1555	3.793774	0.000123	1.226276	0.415473	0.968468
   6	5.0000e-04	3.8197	5.483132	0.000214	2.139067	0.724736	1.689358
   7	6.0000e-04	4.7918	6.830249	0.000171	1.705722	0.577914	1.347117
   8	7.0000e-04	5.4752	8.231979	0.000177	1.774873	0.601343	1.401730
   9	8.0000e-04	6.2838	10.081535	0.000234	2.341910	0.793461	1.849556
  10	9.0000e-04	7.1356	11.596132	0.000192	1.917785	0.649763	1.514597
  11	1.0000e-03	7.8639	12.939608	0.000170	1.701112	0.576352	1.343476
  12	1.1000e-03	8.7431	14.479691	0.000195	1.950055	0.660697	1.540083
  13	1.2000e-03	9.4810	16.274634	0.000227	2.272759	0.770032	1.794943
  14	1.3000e-03	10.2960	17.446990	0.000148	1.484439	0.502942	1.172356
  15	1.4000e-03	11.0981	18.954305	0.000191	1.908564	0.646639	1.507315
  16	1.5000e-03	11.8424	20.396085	0.000183	1.825583	0.618524	1.441780
  17	1.6000e-03	12.7408	22.180105	0.000226	2.258929	0.765346	1.784020
  18	1.7000e-03	13.4980	23.432560	0.000159	1.585860	0.537304	1.252455
  19	1.8000e-03	14.2953	25.016333	0.000201	2.005376	0.679440	1.583773
  20	1.9000e-03	15.1231	26.312479	0.000164	1.641181	0.556047	1.296145
  21	2.0000e-03	15.8450	27.914456	0.000203	2.028426	0.687249	1.601977
  22	2.1000e-03	16.7257	29.378081	0.000185	1.853244	0.627896	1.463625
  23	2.2000e-03	17.4460	30.878114	0.000190	1.899344	0.643515	1.500033
  24	2.3000e-03	18.2899	32.385429	0.000191	1.908564	0.646639	1.507315
  25	2.4000e-03	19.1257	34.107555	0.000218	2.180558	0.738793	1.722126
