»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 12:56:42
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 12:56:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0449	-1.857818	0.000455	4.554404	1.543074	0.036519
   2	5.0000e-04	0.0754	-1.675222	0.000455	4.554404	1.543074	0.036519
   3	1.0000e-03	0.1251	-1.702162	-0.000067	-0.671961	-0.227667	-0.005388
   4	1.5000e-03	0.1524	-1.628183	0.000185	1.845227	0.625180	0.014796
   5	2.0000e-03	0.1813	-1.556770	0.000178	1.781231	0.603497	0.014283
   6	2.5000e-03	0.2278	-1.351510	0.000512	5.119704	1.734603	0.041052
   7	3.0000e-03	0.3048	-1.518284	-0.000416	-4.159760	-1.409365	-0.033355
   8	3.5000e-03	0.3144	-1.251873	0.000664	6.644950	2.251370	0.053282
   9	4.0000e-03	0.3674	-1.232630	0.000048	0.479972	0.162619	0.003849
  10	4.5000e-03	0.4075	-1.021811	0.000526	5.258363	1.781582	0.042164
  11	5.0000e-03	0.4331	-1.135987	-0.000285	-2.847836	-0.964873	-0.022835
  12	5.5000e-03	0.4684	-0.893951	0.000604	6.036985	2.045386	0.048407
  13	6.0000e-03	0.5246	-0.832373	0.000154	1.535911	0.520381	0.012316
  14	6.5000e-03	0.5503	-0.810564	0.000054	0.543969	0.184302	0.004362
  15	7.0000e-03	0.6016	-0.612146	0.000495	4.949048	1.676783	0.039684
  16	7.5000e-03	0.6385	-0.568955	0.000108	1.077271	0.364989	0.008638
  17	8.0000e-03	0.6818	-0.308104	0.000651	6.506291	2.204391	0.052170
  18	8.5000e-03	0.7428	-0.476161	-0.000419	-4.191758	-1.420206	-0.033611
  19	9.0000e-03	0.7620	-0.421425	0.000137	1.365255	0.462561	0.010947
  20	9.5000e-03	0.7957	-0.406030	0.000038	0.383978	0.130095	0.003079
  21	1.0000e-02	0.8454	-0.176395	0.000573	5.727669	1.940587	0.045927
  22	1.0500e-02	0.8679	-0.042549	0.000334	3.338474	1.131106	0.026769
  23	1.1000e-02	0.9208	-0.035279	0.000018	0.181323	0.061434	0.001454
  24	1.1500e-02	0.9433	0.051101	0.000215	2.154542	0.729979	0.017276
