»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 12:46:16
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 12:45:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0594	-1.625643	0.000047	0.469435	0.159049	0.371367
   2	1.0000e-04	0.6176	-1.254275	0.000047	0.469435	0.159049	0.371367
   3	2.0000e-04	1.5497	2.066187	0.000420	4.197297	1.422083	3.320462
   4	3.0000e-04	2.2764	3.537093	0.000186	1.859329	0.629958	1.470907
   5	4.0000e-04	3.1234	4.298033	0.000096	0.961881	0.325894	0.760939
   6	5.0000e-04	3.8213	6.784738	0.000314	3.143371	1.065003	2.486706
   7	6.0000e-04	4.6747	8.466815	0.000213	2.126262	0.720397	1.682076
   8	7.0000e-04	5.4849	9.762960	0.000164	1.638419	0.555111	1.296145
   9	8.0000e-04	6.2645	11.477804	0.000217	2.167683	0.734431	1.714844
  10	9.0000e-04	7.0811	13.422022	0.000246	2.457628	0.832667	1.944218
  11	1.0000e-03	7.8768	14.929337	0.000191	1.905352	0.645551	1.507315
  12	1.1000e-03	8.6677	16.560441	0.000206	2.061830	0.698567	1.631104
  13	1.2000e-03	9.4537	18.628448	0.000261	2.614106	0.885683	2.068007
  14	1.3000e-03	10.2703	20.259553	0.000206	2.061830	0.698567	1.631104
  15	1.4000e-03	11.0596	21.683128	0.000180	1.799499	0.609687	1.423575
  16	1.5000e-03	11.8505	23.729290	0.000259	2.586492	0.876327	2.046162
  17	1.6000e-03	12.6718	25.436852	0.000216	2.158479	0.731312	1.707562
  18	1.7000e-03	13.4852	27.206309	0.000224	2.236718	0.757820	1.769457
  19	1.8000e-03	14.2472	28.750033	0.000195	1.951375	0.661144	1.543724
  20	1.9000e-03	15.0397	30.468518	0.000217	2.172285	0.735990	1.718485
  21	2.0000e-03	15.8627	32.379968	0.000242	2.416207	0.818633	1.911450
  22	2.1000e-03	16.6519	34.032917	0.000209	2.089444	0.707923	1.652949
  23	2.2000e-03	17.4605	35.598486	0.000198	1.978989	0.670500	1.565569
  24	2.3000e-03	18.2401	37.386147	0.000226	2.259729	0.765617	1.787661
  25	2.4000e-03	19.0551	39.133759	0.000221	2.209104	0.748465	1.747612
  26	2.5000e-03	19.8444	40.783067	0.000208	2.084842	0.706364	1.649309
  27	2.6000e-03	19.6117	41.576774	-0.000100	-1.003301	-0.339928	0.793707
  28	2.7000e-03	18.4278	36.898272	0.000591	5.913955	2.003702	-4.678502
  29	2.8000e-03	17.7220	34.812061	0.000264	2.637118	0.893480	-2.086211
  30	2.9000e-03	16.9102	36.020826	-0.000153	-1.527963	-0.517688	1.208765
  31	3.0000e-03	16.2765	33.129985	0.000365	3.654226	1.238085	-2.890841
  32	3.1000e-03	15.3605	31.047414	0.000263	2.632515	0.891920	-2.082571
