»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 14:8:7
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 02:06:58 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0818	-2.064366	0.000055	0.552579	0.187219	0.436903
   2	1.0000e-04	0.5823	-1.627463	0.000055	0.552579	0.187219	0.436903
   3	2.0000e-04	1.5625	1.904169	0.000447	4.466676	1.513351	3.531632
   4	3.0000e-04	2.2892	3.320462	0.000179	1.791275	0.606901	1.416294
   5	4.0000e-04	3.1042	3.939408	0.000078	0.782820	0.265226	0.618946
   6	5.0000e-04	3.8165	6.579030	0.000334	3.338495	1.131113	2.639622
   7	6.0000e-04	4.6892	8.250184	0.000211	2.113613	0.716111	1.671154
   8	7.0000e-04	5.4865	9.484434	0.000156	1.561034	0.528893	1.234251
   9	8.0000e-04	6.2661	11.454138	0.000249	2.491208	0.844044	1.969704
  10	9.0000e-04	7.0955	13.296412	0.000233	2.330039	0.789439	1.842274
  11	1.0000e-03	7.8720	14.741833	0.000183	1.828114	0.619382	1.445421
  12	1.1000e-03	8.6500	16.412986	0.000211	2.113613	0.716111	1.671154
  13	1.2000e-03	9.4730	18.408177	0.000252	2.523442	0.854965	1.995190
  14	1.3000e-03	10.2719	20.159429	0.000221	2.214919	0.750435	1.751253
  15	1.4000e-03	11.0660	21.484701	0.000168	1.676155	0.567897	1.325272
  16	1.5000e-03	11.8505	23.348820	0.000236	2.357668	0.798800	1.864119
  17	1.6000e-03	12.6606	25.493286	0.000271	2.712240	0.918932	2.144465
  18	1.7000e-03	13.5141	27.131672	0.000207	2.072169	0.702070	1.638386
  19	1.8000e-03	14.2279	28.697240	0.000198	1.980073	0.670867	1.565569
  20	1.9000e-03	15.0333	30.106252	0.000178	1.782066	0.603780	1.409012
  21	2.0000e-03	15.8627	32.367225	0.000286	2.859594	0.968857	2.260973
  22	2.1000e-03	16.6600	33.819927	0.000184	1.837324	0.622502	1.452702
  23	2.2000e-03	17.4573	35.334524	0.000192	1.915605	0.649025	1.514597
  24	2.3000e-03	18.2626	37.366123	0.000257	2.569490	0.870567	2.031599
  25	2.4000e-03	19.0599	39.113734	0.000221	2.210314	0.748875	1.747612
