»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2025 - 14:48:46
Configured:	06/19/25 10:04:32 AM
Executed:	06/19/25 02:47:27 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1168
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0513	-2.166310	0.000054	0.543435	0.184121	0.429621
   2	1.0000e-04	0.5807	-1.736689	0.000054	0.543435	0.184121	0.429621
   3	2.0000e-04	1.5192	1.918732	0.000462	4.623803	1.566587	3.655421
   4	3.0000e-04	2.2684	4.092324	0.000275	2.749413	0.931526	2.173592
   5	4.0000e-04	3.1202	4.736756	0.000082	0.815153	0.276181	0.644432
   6	5.0000e-04	3.8357	7.401864	0.000337	3.371139	1.142173	2.665108
   7	6.0000e-04	4.6378	9.597301	0.000278	2.777045	0.940888	2.195437
   8	7.0000e-04	5.4656	11.064567	0.000186	1.855969	0.628819	1.467266
   9	8.0000e-04	6.2742	13.256363	0.000277	2.772440	0.939328	2.191796
  10	9.0000e-04	7.0747	15.448159	0.000277	2.772440	0.939328	2.191796
  11	1.0000e-03	7.8591	17.527089	0.000263	2.629673	0.890957	2.078930
  12	1.1000e-03	8.6596	19.041686	0.000192	1.915839	0.649104	1.514597
  13	1.2000e-03	9.4297	21.400962	0.000298	2.984287	1.011104	2.359276
  14	1.3000e-03	10.2430	23.286926	0.000239	2.385588	0.808259	1.885964
  15	1.4000e-03	11.0580	25.227503	0.000245	2.454668	0.831664	1.940577
  16	1.5000e-03	11.8344	27.175362	0.000246	2.463879	0.834785	1.947859
  17	1.6000e-03	12.6365	29.206960	0.000257	2.569803	0.870673	2.031599
  18	1.7000e-03	13.4804	31.457010	0.000285	2.846126	0.964294	2.250050
  19	1.8000e-03	14.2376	33.532299	0.000263	2.625067	0.889397	2.075289
  20	1.9000e-03	15.0365	35.254425	0.000218	2.178345	0.738043	1.722126
  21	2.0000e-03	15.8594	37.624623	0.000300	2.998103	1.015785	2.370198
  22	2.1000e-03	16.6503	39.503306	0.000238	2.376377	0.805138	1.878683
  23	2.2000e-03	17.4524	41.305531	0.000228	2.279664	0.772371	1.802225
  24	2.3000e-03	18.2321	43.297080	0.000252	2.519144	0.853509	1.991549
  25	2.4000e-03	19.0471	45.241298	0.000246	2.459274	0.833225	1.944218
  26	2.5000e-03	19.8412	47.196438	0.000247	2.473090	0.837906	1.955141
  27	2.6000e-03	19.5748	48.190392	-0.000126	-1.257269	-0.425974	0.993954
  28	2.7000e-03	18.4920	43.632039	0.000577	5.765938	1.953553	-4.558354
  29	2.8000e-03	17.7685	40.286090	0.000423	4.232346	1.433958	-3.345948
  30	2.9000e-03	16.8974	41.746074	-0.000185	-1.846758	-0.625699	1.459984
  31	3.0000e-03	16.2589	39.055481	0.000340	3.403377	1.153095	-2.690594
  32	3.1000e-03	15.4183	36.153717	0.000367	3.670489	1.243595	-2.901764
  33	3.2000e-03	14.5680	34.628198	0.000193	1.929655	0.653785	-1.525519
  34	3.3000e-03	13.8060	33.390306	0.000157	1.565830	0.530517	-1.237892
  35	3.4000e-03	12.9702	30.856269	0.000321	3.205346	1.086000	-2.534037
  36	3.5000e-03	12.2387	28.850156	0.000254	2.537565	0.859750	-2.006113
  37	3.6000e-03	11.4286	27.568574	0.000162	1.621094	0.549242	-1.281582
  38	3.7000e-03	10.6248	25.172890	0.000303	3.030341	1.026707	-2.395684
  39	3.8000e-03	9.7954	23.083038	0.000264	2.643489	0.895638	-2.089852
