»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 17:56:33
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 05:56:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-9.895207	0.001141	11.414350	3.867286	0.091148
   2	5.0000e-04	0.0417	-9.439467	0.001141	11.414350	3.867286	0.091148
   3	1.0000e-03	0.0578	-9.548361	-0.000273	-2.727322	-0.924042	-0.021779
   4	1.5000e-03	0.0979	-9.556427	-0.000020	-0.202024	-0.068448	-0.001613
   5	2.0000e-03	0.1380	-9.439467	0.000293	2.929346	0.992489	0.023392
   6	2.5000e-03	0.1813	-9.197481	0.000606	6.060717	2.053426	0.048397
   7	3.0000e-03	0.2102	-8.903065	0.000737	7.373872	2.498335	0.058883
   8	3.5000e-03	0.2535	-8.552186	0.000879	8.788039	2.977468	0.070176
   9	4.0000e-03	0.2984	-8.354564	0.000495	4.949585	1.676965	0.039524
  10	4.5000e-03	0.3321	-8.068214	0.000717	7.171848	2.429888	0.057270
  11	5.0000e-03	0.3738	-7.898824	0.000424	4.242502	1.437398	0.033878
  12	5.5000e-03	0.4155	-7.672970	0.000566	5.656669	1.916531	0.045171
  13	6.0000e-03	0.4604	-7.479381	0.000485	4.848573	1.642741	0.038718
  14	6.5000e-03	0.4941	-7.209164	0.000677	6.767800	2.292993	0.054044
  15	7.0000e-03	0.5278	-7.023641	0.000465	4.646549	1.574294	0.037105
  16	7.5000e-03	0.5759	-6.692927	0.000828	8.282979	2.806349	0.066143
  17	8.0000e-03	0.6112	-6.450941	0.000606	6.060717	2.053426	0.048397
  18	8.5000e-03	0.6481	-6.124260	0.000818	8.181967	2.772126	0.065336
  19	9.0000e-03	0.6866	-5.999234	0.000313	3.131370	1.060937	0.025005
  20	9.5000e-03	0.7267	-5.696752	0.000758	7.575896	2.566783	0.060496
  21	1.0000e-02	0.7668	-5.462832	0.000586	5.858693	1.984979	0.046784
  22	1.0500e-02	0.8166	-5.204714	0.000646	6.464764	2.190321	0.051624
  23	1.1000e-02	0.8438	-5.047423	0.000394	3.939466	1.334727	0.031458
  24	1.1500e-02	0.8903	-4.809470	0.000596	5.959705	2.019203	0.047591
  25	1.2000e-02	0.9289	-4.390028	0.001051	10.505242	3.559272	0.083888
  26	1.2500e-02	0.9738	-4.248869	0.000354	3.535418	1.197832	0.028232
  27	1.3000e-02	1.0171	-4.248869	0.000000	0.000000	0.000000	0.000000
  28	1.3500e-02	1.0508	-3.950420	0.000747	7.474884	2.532559	0.059690
  29	1.4000e-02	1.0957	-3.668103	0.000707	7.070836	2.395664	0.056463
