»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 11:35:37
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 11:35:12 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-7.497530	0.000081	0.808160	0.273812	0.006453
   2	5.0000e-04	0.0273	-7.465266	0.000081	0.808160	0.273812	0.006453
   3	1.0000e-03	0.0594	-7.449133	0.000040	0.404080	0.136906	0.003226
   4	1.5000e-03	0.0898	-7.388637	0.000152	1.515301	0.513398	0.012099
   5	2.0000e-03	0.1348	-7.344273	0.000111	1.111221	0.376492	0.008873
   6	2.5000e-03	0.1620	-7.239412	0.000263	2.626522	0.889890	0.020972
   7	3.0000e-03	0.2230	-7.142618	0.000242	2.424481	0.821437	0.019359
   8	3.5000e-03	0.2551	-7.029691	0.000283	2.828562	0.958343	0.022585
   9	4.0000e-03	0.2952	-6.819970	0.000525	5.253043	1.779779	0.041944
  10	4.5000e-03	0.3305	-6.703010	0.000293	2.929582	0.992569	0.023392
  11	5.0000e-03	0.3770	-6.594116	0.000273	2.727542	0.924116	0.021779
  12	5.5000e-03	0.4219	-6.384395	0.000525	5.253043	1.779779	0.041944
  13	6.0000e-03	0.4476	-6.247270	0.000343	3.434682	1.163702	0.027425
  14	6.5000e-03	0.4941	-5.981085	0.000667	6.667324	2.258951	0.053237
  15	7.0000e-03	0.5326	-5.843960	0.000343	3.434682	1.163702	0.027425
  16	7.5000e-03	0.5839	-5.690702	0.000384	3.838762	1.300608	0.030652
  17	8.0000e-03	0.6080	-5.501146	0.000475	4.747943	1.608647	0.037911
  18	8.5000e-03	0.6481	-5.339823	0.000404	4.040802	1.369061	0.032265
  19	9.0000e-03	0.7027	-5.162366	0.000444	4.444883	1.505967	0.035491
  20	9.5000e-03	0.7379	-4.952645	0.000525	5.253043	1.779779	0.041944
  21	1.0000e-02	0.7797	-4.755023	0.000495	4.949983	1.677100	0.039524
  22	1.0500e-02	0.8085	-4.557401	0.000495	4.949983	1.677100	0.039524
  23	1.1000e-02	0.8551	-4.351713	0.000515	5.152023	1.745553	0.041138
  24	1.1500e-02	0.9048	-4.162158	0.000475	4.747943	1.608647	0.037911
