»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 15:8:44
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 03:07:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0786	-5.313832	0.000084	0.835616	0.283114	0.655354
   2	1.0000e-04	0.5855	-4.658477	0.000084	0.835616	0.283114	0.655354
   3	2.0000e-04	1.4454	0.151096	0.000613	6.132490	2.077744	4.809573
   4	3.0000e-04	2.0598	5.787143	0.000719	7.186294	2.434782	5.636048
   5	4.0000e-04	2.9967	8.925563	0.000400	4.001670	1.355803	3.138419
   6	5.0000e-04	3.8020	11.696255	0.000353	3.532797	1.196944	2.770693
   7	6.0000e-04	4.5624	15.289782	0.000458	4.581959	1.552410	3.593527
   8	7.0000e-04	5.3533	19.549585	0.000543	5.431502	1.840243	4.259804
   9	8.0000e-04	6.1651	23.423458	0.000494	4.939417	1.673520	3.873873
  10	9.0000e-04	6.9752	27.341021	0.000500	4.995124	1.692394	3.917563
  11	1.0000e-03	7.7677	31.258584	0.000500	4.995124	1.692394	3.917563
  12	1.1000e-03	8.5618	35.081484	0.000487	4.874424	1.651500	3.822901
  13	1.2000e-03	9.3816	39.217499	0.000527	5.273663	1.786765	4.136014
  14	1.3000e-03	10.1275	43.295259	0.000520	5.199386	1.761600	4.077761
  15	1.4000e-03	10.9280	47.274717	0.000507	5.074044	1.719133	3.979457
  16	1.5000e-03	11.7510	51.399809	0.000526	5.259736	1.782047	4.125092
  17	1.6000e-03	12.5483	55.397470	0.000510	5.097255	1.726997	3.997662
  18	1.7000e-03	13.3793	59.751936	0.000555	5.552202	1.881137	4.354466
  19	1.8000e-03	14.1317	63.884310	0.000527	5.269021	1.785193	4.132373
  20	1.9000e-03	14.9466	67.674442	0.000483	4.832644	1.637344	3.790133
  21	2.0000e-03	15.7455	71.712154	0.000515	5.148321	1.744298	4.037711
  22	2.1000e-03	16.5348	75.917344	0.000536	5.361867	1.816650	4.205191
  23	2.2000e-03	17.3209	80.217197	0.000548	5.482567	1.857544	4.299853
  24	2.3000e-03	18.1423	83.788879	0.000455	4.554105	1.542973	3.571681
  25	2.4000e-03	18.9508	87.713723	0.000500	5.004409	1.695540	3.924845
