»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 14:57:0
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 02:56:37 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0193	-6.700993	0.000626	6.264377	2.122428	0.050010
   2	5.0000e-04	0.0289	-6.450941	0.000626	6.264377	2.122428	0.050010
   3	1.0000e-03	0.0594	-6.575967	-0.000313	-3.132188	-1.061214	-0.025005
   4	1.5000e-03	0.0930	-6.277518	0.000748	7.476837	2.533221	0.059690
   5	2.0000e-03	0.1364	-6.225088	0.000131	1.313498	0.445025	0.010486
   6	2.5000e-03	0.1733	-6.172657	0.000131	1.313498	0.445025	0.010486
   7	3.0000e-03	0.2182	-5.942771	0.000576	5.759185	1.951265	0.045977
   8	3.5000e-03	0.2551	-5.753215	0.000475	4.748802	1.608938	0.037911
   9	4.0000e-03	0.2952	-5.442667	0.000778	7.779952	2.635919	0.062110
  10	4.5000e-03	0.3385	-5.192614	0.000626	6.264377	2.122428	0.050010
  11	5.0000e-03	0.3690	-4.894165	0.000748	7.476837	2.533221	0.059690
  12	5.5000e-03	0.4251	-5.019191	-0.000313	-3.132188	-1.061214	-0.025005
  13	6.0000e-03	0.4396	-4.748974	0.000677	6.769568	2.293592	0.054044
  14	6.5000e-03	0.4957	-4.494888	0.000637	6.365415	2.156661	0.050817
  15	7.0000e-03	0.5294	-4.176274	0.000798	7.982028	2.704384	0.063723
  16	7.5000e-03	0.5791	-4.224671	-0.000121	-1.212460	-0.410793	-0.009679
  17	8.0000e-03	0.6128	-3.889924	0.000839	8.386182	2.841315	0.066949
  18	8.5000e-03	0.6593	-3.680202	0.000525	5.253993	1.780101	0.041944
  19	9.0000e-03	0.6914	-3.700368	-0.000051	-0.505192	-0.171164	-0.004033
  20	9.5000e-03	0.7235	-3.373687	0.000818	8.184105	2.772850	0.065336
  21	1.0000e-02	0.7813	-3.071205	0.000758	7.577875	2.567454	0.060496
  22	1.0500e-02	0.8166	-2.901814	0.000424	4.243610	1.437774	0.033878
  23	1.1000e-02	0.8502	-2.639663	0.000657	6.567492	2.225126	0.052430
  24	1.1500e-02	0.8903	-2.429942	0.000525	5.253993	1.780101	0.041944
  25	1.2000e-02	0.9305	-2.179890	0.000626	6.264377	2.122428	0.050010
  26	1.2500e-02	0.9706	-2.042764	0.000344	3.435303	1.163912	0.027425
  27	1.3000e-02	1.0219	-1.780613	0.000657	6.567492	2.225126	0.052430
  28	1.3500e-02	1.0556	-1.792712	-0.000030	-0.303115	-0.102698	-0.002420
  29	1.4000e-02	1.0925	-1.603157	0.000475	4.748802	1.608938	0.037911
  30	1.4500e-02	1.1358	-1.268410	0.000839	8.386182	2.841315	0.066949
  31	1.5000e-02	1.1759	-1.099019	0.000424	4.243610	1.437774	0.033878
  32	1.5500e-02	1.2128	-0.986093	0.000283	2.829073	0.958516	0.022585
  33	1.6000e-02	1.2449	-0.832835	0.000384	3.839457	1.300843	0.030652
  34	1.6500e-02	1.2930	-0.627147	0.000515	5.152955	1.745868	0.041138
  35	1.7000e-02	1.3299	-0.276267	0.000879	8.790335	2.978246	0.070176
  36	1.7500e-02	1.3732	-0.050414	0.000566	5.658147	1.917032	0.045171
  37	1.8000e-02	1.4069	0.163340	0.000536	5.355032	1.814334	0.042751
  38	1.8500e-02	1.4486	0.469856	0.000768	7.678913	2.601686	0.061303
  39	1.9000e-02	1.4951	0.740074	0.000677	6.769568	2.293592	0.054044
  40	1.9500e-02	1.5433	0.744107	0.000010	0.101038	0.034233	0.000807
  41	2.0000e-02	1.5673	0.913497	0.000424	4.243610	1.437774	0.033878
  42	2.0500e-02	1.6074	1.127251	0.000536	5.355032	1.814334	0.042751
  43	2.1000e-02	1.6572	1.401502	0.000687	6.870607	2.327825	0.054850
  44	2.1500e-02	1.6909	1.712050	0.000778	7.779952	2.635919	0.062110
  45	2.2000e-02	1.7374	1.837076	0.000313	3.132188	1.061214	0.025005
  46	2.2500e-02	1.7759	1.824977	-0.000030	-0.303115	-0.102698	-0.002420
  47	2.3000e-02	1.8176	2.107294	0.000707	7.072683	2.396290	0.056463
  48	2.3500e-02	1.8497	2.442041	0.000839	8.386182	2.841315	0.066949
  49	2.4000e-02	1.8962	2.692093	0.000626	6.264377	2.122428	0.050010
  50	2.4500e-02	1.9283	2.800987	0.000273	2.728035	0.924283	0.021779
  51	2.5000e-02	1.9764	2.986510	0.000465	4.647763	1.574705	0.037105
  52	2.5500e-02	2.0181	3.224462	0.000596	5.961262	2.019730	0.047591
  53	2.6000e-02	2.0582	3.252694	0.000071	0.707268	0.239629	0.005646
  54	2.6500e-02	2.0887	3.744732	0.001233	12.326676	4.176391	0.098408
  55	2.7000e-02	2.1384	3.990751	0.000616	6.163338	2.088196	0.049204
  56	2.7500e-02	2.1721	3.893957	-0.000242	-2.424920	-0.821585	-0.019359
  57	2.8000e-02	2.2122	4.164174	0.000677	6.769568	2.293592	0.054044
  58	2.8500e-02	2.2475	4.438425	0.000687	6.870607	2.327825	0.054850
  59	2.9000e-02	2.2908	4.599749	0.000404	4.041533	1.369309	0.032265
  60	2.9500e-02	2.3342	4.857867	0.000647	6.466453	2.190894	0.051624
  61	3.0000e-02	2.3727	5.007092	0.000374	3.738418	1.266610	0.029845
  62	3.0500e-02	2.4208	5.341839	0.000839	8.386182	2.841315	0.066949
  63	3.1000e-02	2.4465	5.583825	0.000606	6.062300	2.053963	0.048397
  64	3.1500e-02	2.4914	5.829844	0.000616	6.163338	2.088196	0.049204
  65	3.2000e-02	2.5379	5.922605	0.000232	2.323882	0.787352	0.018552
  66	3.2500e-02	2.5684	6.031499	0.000273	2.728035	0.924283	0.021779
  67	3.3000e-02	2.6069	6.362213	0.000829	8.285143	2.807082	0.066143
  68	3.3500e-02	2.6582	6.539669	0.000445	4.445687	1.506239	0.035491
  69	3.4000e-02	2.6871	6.769556	0.000576	5.759185	1.951265	0.045977
  70	3.4500e-02	2.7368	6.858284	0.000222	2.222843	0.753120	0.017746
  71	3.5000e-02	2.7689	7.164800	0.000768	7.678913	2.601686	0.061303
  72	3.5500e-02	2.8138	7.406786	0.000606	6.062300	2.053963	0.048397
  73	3.6000e-02	2.8555	7.620540	0.000536	5.355032	1.814334	0.042751
  74	3.6500e-02	2.8924	7.717334	0.000242	2.424920	0.821585	0.019359
  75	3.7000e-02	2.9309	8.052081	0.000839	8.386182	2.841315	0.066949
  76	3.7500e-02	2.9694	8.338431	0.000717	7.173722	2.430523	0.057270
  77	3.8000e-02	3.0144	8.475557	0.000344	3.435303	1.163912	0.027425
  78	3.8500e-02	3.0609	8.596550	0.000303	3.031150	1.026981	0.024199
  79	3.9000e-02	3.0930	8.842569	0.000616	6.163338	2.088196	0.049204
  80	3.9500e-02	3.1379	9.161183	0.000798	7.982028	2.704384	0.063723
  81	4.0000e-02	3.1684	9.459633	0.000748	7.476837	2.533221	0.059690
  82	4.0500e-02	3.2133	9.782281	0.000808	8.083067	2.738617	0.064530
  83	4.1000e-02	3.2630	9.862943	0.000202	2.020767	0.684654	0.016132
  84	4.1500e-02	3.2983	9.927472	0.000162	1.616613	0.547723	0.012906
  85	4.2000e-02	3.3368	10.137193	0.000525	5.253993	1.780101	0.041944
  86	4.2500e-02	3.3673	10.371113	0.000586	5.860223	1.985497	0.046784
  87	4.3000e-02	3.4106	10.496139	0.000313	3.132188	1.061214	0.025005
