»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 15:33:38
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 03:33:14 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-8.007717	0.000788	7.878457	2.669293	0.062916
   2	5.0000e-04	0.0321	-7.693136	0.000788	7.878457	2.669293	0.062916
   3	1.0000e-03	0.0529	-7.547944	0.000364	3.636211	1.231982	0.029038
   4	1.5000e-03	0.0930	-7.556010	-0.000020	-0.202012	-0.068443	-0.001613
   5	2.0000e-03	0.1299	-7.378554	0.000444	4.444258	1.505755	0.035491
   6	2.5000e-03	0.1700	-7.051873	0.000818	8.181474	2.771959	0.065336
   7	3.0000e-03	0.2150	-6.862317	0.000475	4.747275	1.608420	0.037911
   8	3.5000e-03	0.2471	-6.370279	0.001232	12.322714	4.175049	0.098408
   9	4.0000e-03	0.2952	-6.386412	-0.000040	-0.404023	-0.136887	-0.003226
  10	4.5000e-03	0.3369	-6.374312	0.000030	0.303018	0.102665	0.002420
  11	5.0000e-03	0.3674	-5.829844	0.001364	13.635791	4.619931	0.108894
  12	5.5000e-03	0.4075	-5.571726	0.000646	6.464375	2.190189	0.051624
  13	6.0000e-03	0.4444	-5.712884	-0.000354	-3.535205	-1.197760	-0.028232
  14	6.5000e-03	0.4893	-5.418468	0.000737	7.373428	2.498185	0.058883
  15	7.0000e-03	0.5374	-4.886099	0.001333	13.332773	4.517266	0.106474
  16	7.5000e-03	0.5807	-4.942562	-0.000141	-1.414082	-0.479104	-0.011293
  17	8.0000e-03	0.6144	-4.744941	0.000495	4.949287	1.676864	0.039524
  18	8.5000e-03	0.6465	-4.281134	0.001162	11.615673	3.935497	0.092761
  19	9.0000e-03	0.6866	-4.006883	0.000687	6.868398	2.327076	0.054850
  20	9.5000e-03	0.7379	-3.885891	0.000303	3.030176	1.026651	0.024199
  21	1.0000e-02	0.7668	-3.599541	0.000717	7.171416	2.429741	0.057270
  22	1.0500e-02	0.8182	-3.458382	0.000354	3.535205	1.197760	0.028232
  23	1.1000e-02	0.8535	-3.026841	0.001081	10.807627	3.661723	0.086308
  24	1.1500e-02	0.8936	-2.813086	0.000535	5.353310	1.813751	0.042751
  25	1.2000e-02	0.9289	-2.546902	0.000667	6.666387	2.258633	0.053237
  26	1.2500e-02	0.9674	-2.482372	0.000162	1.616094	0.547547	0.012906
  27	1.3000e-02	1.0075	-2.454140	0.000071	0.707041	0.239552	0.005646
  28	1.3500e-02	1.0460	-2.070996	0.000960	9.595556	3.251062	0.076629
  29	1.4000e-02	1.0909	-1.833043	0.000596	5.959346	2.019081	0.047591
  30	1.4500e-02	1.1230	-1.453932	0.000949	9.494550	3.216841	0.075822
  31	1.5000e-02	1.1647	-1.248244	0.000515	5.151299	1.745307	0.041138
  32	1.5500e-02	1.2032	-1.070788	0.000444	4.444258	1.505755	0.035491
