»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 15:59:24
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 03:58:59 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0128	-7.203114	0.001152	11.519064	3.902765	0.091955
   2	5.0000e-04	0.0369	-6.743341	0.001152	11.519064	3.902765	0.091955
   3	1.0000e-03	0.0561	-6.751407	-0.000020	-0.202089	-0.068470	-0.001613
   4	1.5000e-03	0.0979	-6.606216	0.000364	3.637599	1.232452	0.029038
   5	2.0000e-03	0.1315	-6.485223	0.000303	3.031333	1.027043	0.024199
   6	2.5000e-03	0.1765	-6.440858	0.000111	1.111489	0.376583	0.008873
   7	3.0000e-03	0.2102	-6.247270	0.000485	4.850132	1.643269	0.038718
   8	3.5000e-03	0.2503	-6.037549	0.000525	5.254310	1.780208	0.041944
   9	4.0000e-03	0.2888	-5.618106	0.001051	10.508620	3.560417	0.083888
  10	4.5000e-03	0.3401	-5.166399	0.001132	11.316975	3.834295	0.090341
  11	5.0000e-03	0.3786	-5.138168	0.000071	0.707311	0.239643	0.005646
  12	5.5000e-03	0.4155	-5.017175	0.000303	3.031333	1.027043	0.024199
  13	6.0000e-03	0.4556	-4.613865	0.001010	10.104442	3.423478	0.080662
  14	6.5000e-03	0.4877	-4.379945	0.000586	5.860577	1.985617	0.046784
  15	7.0000e-03	0.5342	-4.121827	0.000647	6.466843	2.191026	0.051624
  16	7.5000e-03	0.5759	-4.246853	-0.000313	-3.132377	-1.061278	-0.025005
  17	8.0000e-03	0.6096	-3.916139	0.000829	8.285643	2.807252	0.066143
  18	8.5000e-03	0.6545	-3.658020	0.000647	6.466843	2.191026	0.051624
  19	9.0000e-03	0.6978	-3.440233	0.000546	5.456399	1.848678	0.043557
  20	9.5000e-03	0.7379	-3.077254	0.000909	9.093998	3.081130	0.072596
  21	1.0000e-02	0.7829	-2.867533	0.000525	5.254310	1.780208	0.041944
  22	1.0500e-02	0.8133	-2.677977	0.000475	4.749088	1.609035	0.037911
  23	1.1000e-02	0.8599	-2.504554	0.000434	4.344910	1.472095	0.034685
  24	1.1500e-02	0.8855	-2.105277	0.001000	10.003398	3.389243	0.079855
