»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/18/2025 - 17:0:48
Configured:	06/18/25 09:47:30 AM
Executed:	06/18/25 05:00:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-554
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0160	-11.522563	0.000414	4.141000	1.403009	0.033071
   2	5.0000e-04	0.0385	-11.357206	0.000414	4.141000	1.403009	0.033071
   3	1.0000e-03	0.0594	-11.167650	0.000475	4.747000	1.608327	0.037911
   4	1.5000e-03	0.1043	-11.115220	0.000131	1.313000	0.444856	0.010486
   5	2.0000e-03	0.1348	-10.808704	0.000768	7.675999	2.600699	0.061303
   6	2.5000e-03	0.1700	-10.566718	0.000606	6.059999	2.053183	0.048397
   7	3.0000e-03	0.2150	-10.437659	0.000323	3.232000	1.095031	0.025812
   8	3.5000e-03	0.2615	-10.231971	0.000515	5.150999	1.745206	0.041138
   9	4.0000e-03	0.3000	-9.852860	0.000949	9.493999	3.216654	0.075822
  10	4.5000e-03	0.3353	-9.731867	0.000303	3.030000	1.026592	0.024199
  11	5.0000e-03	0.3786	-9.489881	0.000606	6.059999	2.053183	0.048397
  12	5.5000e-03	0.4203	-9.211597	0.000697	6.968999	2.361161	0.055657
  13	6.0000e-03	0.4540	-8.957512	0.000636	6.362999	2.155843	0.050817
  14	6.5000e-03	0.4941	-8.469507	0.001222	12.220999	4.140586	0.097601
  15	7.0000e-03	0.5406	-8.251720	0.000545	5.453999	1.847865	0.043557
  16	7.5000e-03	0.5807	-8.066197	0.000465	4.646000	1.574107	0.037105
  17	8.0000e-03	0.6176	-7.925039	0.000353	3.535000	1.197690	0.028232
  18	8.5000e-03	0.6642	-7.606424	0.000798	7.978999	2.703358	0.063723
  19	9.0000e-03	0.6978	-7.316041	0.000727	7.271999	2.463820	0.058077
  20	9.5000e-03	0.7251	-7.078088	0.000596	5.958999	2.018964	0.047591
  21	1.0000e-02	0.7748	-6.747374	0.000828	8.281999	2.806017	0.066143
  22	1.0500e-02	0.8069	-6.388428	0.000899	8.988999	3.045555	0.071789
  23	1.1000e-02	0.8518	-6.158542	0.000576	5.756999	1.950524	0.045977
  24	1.1500e-02	0.8887	-5.904456	0.000636	6.362999	2.155843	0.050817
  25	1.2000e-02	0.9353	-5.541477	0.000909	9.089999	3.079775	0.072596
  26	1.2500e-02	0.9738	-5.404352	0.000343	3.434000	1.163471	0.027425
  27	1.3000e-02	1.0219	-5.154300	0.000626	6.261999	2.121623	0.050010
  28	1.3500e-02	1.0636	-4.807454	0.000869	8.685999	2.942896	0.069369
  29	1.4000e-02	1.0909	-4.694527	0.000283	2.828000	0.958152	0.022585
  30	1.4500e-02	1.1374	-4.303316	0.000980	9.796999	3.319313	0.078242
  31	1.5000e-02	1.1807	-4.133926	0.000424	4.242000	1.437228	0.033878
  32	1.5500e-02	1.2144	-3.754815	0.000949	9.493999	3.216654	0.075822
  33	1.6000e-02	1.2593	-3.581392	0.000434	4.343000	1.471448	0.034685
  34	1.6500e-02	1.3010	-3.323273	0.000646	6.463999	2.190062	0.051624
  35	1.7000e-02	1.3331	-3.097420	0.000566	5.655999	1.916304	0.045171
  36	1.7500e-02	1.3716	-2.742507	0.000889	8.887999	3.011336	0.070983
  37	1.8000e-02	1.4181	-2.331131	0.001030	10.301999	3.490412	0.082275
  38	1.8500e-02	1.4534	-2.121410	0.000525	5.251999	1.779426	0.041944
  39	1.9000e-02	1.4984	-1.835060	0.000717	7.170999	2.429600	0.057270
