»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 15:33:54
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 03:33:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	5.00e-05
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0321	-1.886683	0.000197	3.941987	1.335581	0.015908
   2	5.0000e-04	0.0722	-1.727606	0.000197	3.941987	1.335581	0.015908
   3	1.0000e-03	0.1027	-1.690830	0.000046	0.911320	0.308763	0.003678
   4	1.5000e-03	0.1781	-1.621555	0.000086	1.716672	0.581624	0.006928
   5	2.0000e-03	0.2102	-1.704514	-0.000103	-2.055767	-0.696513	-0.008296
   6	2.5000e-03	0.2487	-1.483004	0.000274	5.489111	1.859761	0.022151
   7	3.0000e-03	0.2904	-1.422282	0.000075	1.504737	0.509819	0.006072
   8	3.5000e-03	0.3016	-1.174259	0.000307	6.146109	2.082358	0.024802
   9	4.0000e-03	0.3770	-1.264060	-0.000111	-2.225315	-0.753957	-0.008980
  10	4.5000e-03	0.4091	-1.216166	0.000059	1.186835	0.402111	0.004789
  11	5.0000e-03	0.4315	-1.073339	0.000177	3.539311	1.199151	0.014283
  12	5.5000e-03	0.4716	-0.929657	0.000178	3.560505	1.206332	0.014368
  13	6.0000e-03	0.5085	-0.856106	0.000091	1.822639	0.617527	0.007355
  14	6.5000e-03	0.5551	-0.737226	0.000147	2.945894	0.998096	0.011888
  15	7.0000e-03	0.6192	-0.584991	0.000189	3.772439	1.278137	0.015223
  16	7.5000e-03	0.6369	-0.644859	-0.000074	-1.483544	-0.502638	-0.005987
  17	8.0000e-03	0.6625	-0.653411	-0.000011	-0.211935	-0.071805	-0.000855
  18	8.5000e-03	0.7171	-0.395981	0.000319	6.379237	2.161344	0.025743
  19	9.0000e-03	0.7476	-0.529400	-0.000165	-3.306183	-1.120165	-0.013342
  20	9.5000e-03	0.8101	-0.176182	0.000438	8.752907	2.965565	0.035322
  21	1.0000e-02	0.8422	-0.384863	-0.000259	-5.171209	-1.752053	-0.020868
  22	1.0500e-02	0.8599	-0.139406	0.000304	6.082529	2.060816	0.024546
  23	1.1000e-02	0.9272	-0.034210	0.000130	2.606798	0.883207	0.010520
  24	1.1500e-02	0.9593	0.054736	0.000110	2.204122	0.746777	0.008895
