»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/16/2025 - 14:40:56
Configured:	06/16/25 02:13:38 PM
Executed:	06/16/25 02:40:10 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-4
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-2.280982	0.000142	1.419164	0.480826	0.000057
   2	9.9500e-02	0.0337	-2.224462	0.000142	1.419164	0.480826	0.000057
   3	1.9900e-01	0.0754	-2.155830	0.000172	1.723270	0.583860	0.000069
   4	2.9850e-01	0.1155	-2.006456	0.000375	3.750647	1.270754	0.000150
   5	3.9800e-01	0.1460	-1.945899	0.000152	1.520533	0.515170	0.000061
   6	4.9750e-01	0.1877	-1.861120	0.000213	2.128746	0.721239	0.000085
   7	5.9700e-01	0.2390	-1.744043	0.000294	2.939697	0.995996	0.000118
   8	6.9650e-01	0.2759	-1.631003	0.000284	2.838328	0.961651	0.000114
   9	7.9600e-01	0.3080	-1.530074	0.000253	2.534221	0.858617	0.000101
  10	8.9550e-01	0.3545	-1.412998	0.000294	2.939697	0.995996	0.000118
  11	9.9500e-01	0.3962	-1.316106	0.000243	2.432852	0.824273	0.000097
  12	1.0945e+00	0.4235	-1.227289	0.000223	2.230115	0.755583	0.000089
  13	1.1940e+00	0.4749	-1.134435	0.000233	2.331483	0.789928	0.000093
  14	1.2935e+00	0.5069	-0.989098	0.000365	3.649279	1.236409	0.000146
  15	1.3930e+00	0.5438	-0.952764	0.000091	0.912320	0.309102	0.000037
  16	1.4925e+00	0.5904	-0.851836	0.000253	2.534221	0.858617	0.000101
  17	1.5920e+00	0.6305	-0.730722	0.000304	3.041065	1.030341	0.000122
  18	1.6915e+00	0.6754	-0.605570	0.000314	3.142434	1.064686	0.000126
  19	1.7910e+00	0.7075	-0.536939	0.000172	1.723270	0.583860	0.000069
  20	1.8905e+00	0.7492	-0.403714	0.000335	3.345172	1.133375	0.000134
  21	1.9900e+00	0.7829	-0.327008	0.000193	1.926008	0.652549	0.000077
  22	2.0895e+00	0.8374	-0.185708	0.000355	3.547910	1.202064	0.000142
  23	2.1890e+00	0.8663	-0.100928	0.000213	2.128746	0.721239	0.000085
  24	2.2885e+00	0.9160	-0.004037	0.000243	2.432852	0.824273	0.000097
