»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/16/2025 - 15:32:1
Configured:	06/16/25 02:13:38 PM
Executed:	06/16/25 03:31:23 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-4
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0561	-2.029723	0.000114	1.139829	0.386184	0.009151
   2	5.0000e-04	0.0963	-1.983967	0.000114	1.139829	0.386184	0.009151
   3	1.0000e-03	0.1283	-1.839858	0.000359	3.589928	1.216300	0.028822
   4	1.5000e-03	0.1813	-1.830450	0.000023	0.234357	0.079402	0.001882
   5	2.0000e-03	0.1957	-1.763740	0.000166	1.661806	0.563035	0.013342
   6	2.5000e-03	0.2519	-1.751767	0.000030	0.298273	0.101058	0.002395
   7	3.0000e-03	0.3080	-1.495619	0.000638	6.380910	2.161911	0.051230
   8	3.5000e-03	0.3321	-1.442166	0.000133	1.331576	0.451150	0.010691
   9	4.0000e-03	0.3995	-1.475521	-0.000083	-0.830903	-0.281518	-0.006671
  10	4.5000e-03	0.4059	-1.093224	0.000952	9.523428	3.226625	0.076459
  11	5.0000e-03	0.4556	-1.280952	-0.000468	-4.676493	-1.584439	-0.037545
  12	5.5000e-03	0.4845	-1.118026	0.000406	4.058642	1.375105	0.032585
  13	6.0000e-03	0.5342	-0.981186	0.000341	3.408833	1.154944	0.027368
  14	6.5000e-03	0.5631	-0.991022	-0.000025	-0.245010	-0.083012	-0.001967
  15	7.0000e-03	0.6417	-0.816978	0.000434	4.335610	1.468944	0.034809
  16	7.5000e-03	0.6561	-0.607869	0.000521	5.209124	1.764899	0.041822
  17	8.0000e-03	0.7123	-0.742571	-0.000336	-3.355570	-1.136898	-0.026940
  18	8.5000e-03	0.7267	-0.398333	0.000858	8.575347	2.905406	0.068848
  19	9.0000e-03	0.7781	-0.388070	0.000026	0.255663	0.086621	0.002053
  20	9.5000e-03	0.8246	-0.364978	0.000058	0.575241	0.194897	0.004618
  21	1.0000e-02	0.8631	-0.292710	0.000180	1.800290	0.609955	0.014454
  22	1.0500e-02	0.9016	-0.162284	0.000325	3.249044	1.100806	0.026085
  23	1.1000e-02	0.9401	-0.193928	-0.000079	-0.788293	-0.267081	-0.006329
  24	1.1500e-02	0.9722	-0.015181	0.000445	4.452789	1.508646	0.035749
  25	1.2000e-02	1.0107	-0.017746	-0.000006	-0.063916	-0.021655	-0.000513
  26	1.2500e-02	1.0395	0.185803	0.000507	5.070640	1.717979	0.040710
  27	1.3000e-02	1.1117	0.195211	0.000023	0.234357	0.079402	0.001882
  28	1.3500e-02	1.1406	0.388498	0.000481	4.814977	1.631358	0.038657
  29	1.4000e-02	1.1775	0.225145	-0.000407	-4.069295	-1.378714	-0.032671
  30	1.4500e-02	1.1952	0.560403	0.000835	8.351642	2.829613	0.067052
  31	1.5000e-02	1.2337	0.684414	0.000309	3.089255	1.046668	0.024802
  32	1.5500e-02	1.2850	0.747275	0.000157	1.565933	0.530552	0.012572
  33	1.6000e-02	1.3347	0.827241	0.000199	1.992037	0.674920	0.015993
  34	1.6500e-02	1.3572	0.973917	0.000365	3.653843	1.237956	0.029335
  35	1.7000e-02	1.3989	0.956812	-0.000043	-0.426104	-0.144368	-0.003421
  36	1.7500e-02	1.4534	1.041481	0.000211	2.109216	0.714622	0.016934
  37	1.8000e-02	1.4951	1.134704	0.000232	2.322268	0.786806	0.018644
  38	1.8500e-02	1.5561	1.310030	0.000437	4.367568	1.479772	0.035065
  39	1.9000e-02	1.5930	1.275392	-0.000086	-0.862861	-0.292345	-0.006928
  40	1.9500e-02	1.6074	1.504172	0.000570	5.699143	1.930922	0.045756
  41	2.0000e-02	1.6379	1.584993	0.000201	2.013342	0.682139	0.016164
  42	2.0500e-02	1.7005	1.643150	0.000145	1.448754	0.490851	0.011631
  43	2.1000e-02	1.7117	1.633742	-0.000023	-0.234357	-0.079402	-0.001882
  44	2.1500e-02	1.7759	1.826601	0.000480	4.804325	1.627749	0.038572
  45	2.2000e-02	1.8032	1.888179	0.000153	1.533975	0.519725	0.012316
  46	2.2500e-02	1.8336	2.040842	0.000380	3.802980	1.288484	0.030532
  47	2.3000e-02	1.8898	2.144755	0.000259	2.588583	0.877036	0.020783
  48	2.3500e-02	1.9363	2.282878	0.000344	3.440791	1.165772	0.027625
  49	2.4000e-02	1.9796	2.120808	-0.000404	-4.037337	-1.367887	-0.032414
  50	2.4500e-02	2.0165	2.519354	0.000993	9.928227	3.363774	0.079709
  51	2.5000e-02	2.0791	2.311101	-0.000519	-5.187818	-1.757680	-0.041651
  52	2.5500e-02	2.0839	2.540736	0.000572	5.720449	1.938140	0.045927
  53	2.6000e-02	2.1256	2.651063	0.000275	2.748372	0.931174	0.022065
  54	2.6500e-02	2.1769	2.766522	0.000288	2.876203	0.974484	0.023092
  55	2.7000e-02	2.2106	2.942703	0.000439	4.388873	1.486990	0.035236
  56	2.7500e-02	2.2219	3.001716	0.000147	1.470059	0.498070	0.011802
  57	2.8000e-02	2.2876	3.007275	0.000014	0.138484	0.046920	0.001112
  58	2.8500e-02	2.3374	3.160792	0.000382	3.824285	1.295703	0.030703
  59	2.9000e-02	2.3678	3.322862	0.000404	4.037337	1.367887	0.032414
  60	2.9500e-02	2.3999	3.477663	0.000386	3.856243	1.306530	0.030960
  61	3.0000e-02	2.4384	3.459275	-0.000046	-0.458062	-0.155196	-0.003678
  62	3.0500e-02	2.4850	3.498616	0.000098	0.980040	0.332046	0.007868
  63	3.1000e-02	2.5219	3.573451	0.000186	1.864206	0.631610	0.014967
  64	3.1500e-02	2.5491	3.576016	0.000006	0.063916	0.021655	0.000513
  65	3.2000e-02	2.6053	3.847558	0.000676	6.764404	2.291842	0.054308
  66	3.2500e-02	2.6566	3.790257	-0.000143	-1.427449	-0.483633	-0.011460
  67	3.3000e-02	2.6887	3.965155	0.000436	4.356915	1.476163	0.034980
  68	3.3500e-02	2.7256	4.000221	0.000087	0.873514	0.295954	0.007013
  69	3.4000e-02	2.7705	4.222158	0.000553	5.528702	1.873175	0.044388
  70	3.4500e-02	2.8315	4.245678	0.000059	0.585893	0.198506	0.004704
  71	3.5000e-02	2.8668	4.272190	0.000066	0.660461	0.223770	0.005303
  72	3.5500e-02	2.8796	4.533897	0.000652	6.519394	2.208830	0.052341
  73	3.6000e-02	2.9213	4.452648	-0.000202	-2.023995	-0.685748	-0.016250
  74	3.6500e-02	2.9775	4.448372	-0.000011	-0.106526	-0.036092	-0.000855
  75	3.7000e-02	3.0015	4.716065	0.000667	6.668530	2.259359	0.053539
  76	3.7500e-02	3.0529	4.648501	-0.000168	-1.683112	-0.570254	-0.013513
  77	3.8000e-02	3.0881	4.892675	0.000608	6.082637	2.060853	0.048835
