»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 10:56:26
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 10:55:18 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0257	-2.495193	0.000341	3.412449	1.156169	0.027454
   2	5.0000e-04	0.0545	-2.357926	0.000341	3.412449	1.156169	0.027454
   3	1.0000e-03	0.1011	-2.486213	-0.000319	-3.189204	-1.080532	-0.025658
   4	1.5000e-03	0.1572	-2.372037	0.000284	2.838392	0.961673	0.022835
   5	2.0000e-03	0.1925	-2.348946	0.000057	0.574057	0.194496	0.004618
   6	2.5000e-03	0.2118	-2.133422	0.000536	5.357864	1.815293	0.043105
   7	3.0000e-03	0.2535	-2.266842	-0.000332	-3.316773	-1.123753	-0.026684
   8	3.5000e-03	0.3208	-2.038917	0.000567	5.666153	1.919745	0.045585
   9	4.0000e-03	0.3433	-1.827670	0.000525	5.251557	1.779276	0.042249
  10	4.5000e-03	0.3802	-1.710929	0.000290	2.902176	0.983284	0.023348
  11	5.0000e-03	0.4476	-1.890959	-0.000448	-4.475517	-1.516346	-0.036006
  12	5.5000e-03	0.4781	-1.733593	0.000391	3.912091	1.325452	0.031473
  13	6.0000e-03	0.5118	-1.549286	0.000458	4.581824	1.552364	0.036861
  14	6.5000e-03	0.5743	-1.488136	0.000152	1.520187	0.515053	0.012230
  15	7.0000e-03	0.5695	-1.353434	-0.000335	-3.348665	-1.134558	0.026940
  16	7.5000e-03	0.6273	-1.202482	0.000375	3.752631	1.271426	0.030190
  17	8.0000e-03	0.6625	-1.239686	-0.000092	-0.924869	-0.313354	-0.007441
  18	8.5000e-03	0.7043	-1.053241	0.000463	4.634977	1.570373	0.037289
  19	9.0000e-03	0.7492	-0.951894	0.000252	2.519472	0.853620	0.020269
  20	9.5000e-03	0.7829	-0.823179	0.000320	3.199835	1.084133	0.025743
  21	1.0000e-02	0.8278	-0.811633	0.000029	0.287028	0.097248	0.002309
  22	1.0500e-02	0.8518	-0.609366	0.000503	5.028312	1.703638	0.040453
  23	1.1000e-02	0.9240	-0.709430	-0.000249	-2.487579	-0.842815	-0.020013
  24	1.1500e-02	0.9449	-0.479368	0.000572	5.719307	1.937754	0.046012
  25	1.2000e-02	0.9978	-0.446441	0.000082	0.818562	0.277336	0.006585
  26	1.2500e-02	1.0363	-0.236049	0.000523	5.230295	1.772072	0.042078
  27	1.3000e-02	1.0636	-0.183024	0.000132	1.318205	0.446620	0.010605
  28	1.3500e-02	1.1230	-0.194997	-0.000030	-0.297659	-0.100850	-0.002395
  29	1.4000e-02	1.1615	-0.116742	0.000195	1.945415	0.659124	0.015651
  30	1.4500e-02	1.2048	-0.009835	0.000266	2.657670	0.900443	0.021381
  31	1.5000e-02	1.2272	0.070986	0.000201	2.009199	0.680735	0.016164
  32	1.5500e-02	1.2770	0.144110	0.000182	1.817847	0.615903	0.014625
  33	1.6000e-02	1.3123	0.319008	0.000435	4.347949	1.473125	0.034980
  34	1.6500e-02	1.3427	0.503743	0.000459	4.592454	1.555966	0.036947
  35	1.7000e-02	1.3828	0.510585	0.000017	0.170091	0.057628	0.001368
  36	1.7500e-02	1.4310	0.550354	0.000099	0.988653	0.334965	0.007954
  37	1.8000e-02	1.4743	0.791534	0.000600	5.995704	2.031400	0.048236
  38	1.8500e-02	1.4951	0.719266	-0.000180	-1.796585	-0.608700	-0.014454
  39	1.9000e-02	1.5497	0.887750	0.000419	4.188489	1.419098	0.033697
  40	1.9500e-02	1.5850	1.007058	0.000297	2.965960	1.004895	0.023861
  41	2.0000e-02	1.6106	1.079326	0.000180	1.796585	0.608700	0.014454
  42	2.0500e-02	1.6524	1.298270	0.000544	5.442909	1.844107	0.043789
  43	2.1000e-02	1.6893	1.401328	0.000256	2.561994	0.868027	0.020612
  44	2.1500e-02	1.7582	1.386789	-0.000036	-0.361443	-0.122460	-0.002908
  45	2.2000e-02	1.7919	1.411591	0.000062	0.616580	0.208903	0.004960
  46	2.2500e-02	1.8144	1.636950	0.000560	5.602369	1.898134	0.045072
  47	2.3000e-02	1.8898	1.621555	-0.000038	-0.382705	-0.129664	-0.003079
  48	2.3500e-02	1.8962	1.805862	0.000458	4.581824	1.552364	0.036861
  49	2.4000e-02	1.9427	1.898656	0.000231	2.306858	0.781585	0.018559
  50	2.4500e-02	1.9572	2.107765	0.000520	5.198403	1.761267	0.041822
  51	2.5000e-02	2.0326	1.866157	-0.000601	-6.006335	-2.035001	-0.048322
  52	2.5500e-02	2.0759	2.197994	0.000825	8.249409	2.794975	0.066367
  53	2.6000e-02	2.1112	2.264276	0.000165	1.647756	0.558275	0.013256
  54	2.6500e-02	2.1465	2.298058	0.000084	0.839824	0.284540	0.006756
  55	2.7000e-02	2.1962	2.534535	0.000588	5.878767	1.991780	0.047295
  56	2.7500e-02	2.2379	2.481509	-0.000132	-1.318205	-0.446620	-0.010605
  57	2.8000e-02	2.2636	2.521706	0.000100	0.999284	0.338567	0.008039
  58	2.8500e-02	2.3358	2.660257	0.000344	3.444341	1.166974	0.027710
  59	2.9000e-02	2.3711	2.666244	0.000015	0.148830	0.050425	0.001197
  60	2.9500e-02	2.3999	2.926667	0.000647	6.474085	2.193479	0.052085
  61	3.0000e-02	2.4240	2.948476	0.000054	0.542165	0.183690	0.004362
  62	3.0500e-02	2.4898	3.048968	0.000250	2.498210	0.846417	0.020098
  63	3.1000e-02	2.5219	3.168276	0.000297	2.965960	1.004895	0.023861
  64	3.1500e-02	2.5475	3.232419	0.000159	1.594602	0.540266	0.012829
  65	3.2000e-02	2.5892	3.202913	-0.000073	-0.733517	-0.248522	-0.005901
  66	3.2500e-02	2.6309	3.515507	0.000777	7.771028	2.632896	0.062519
  67	3.3000e-02	2.6646	3.545441	0.000074	0.744148	0.252124	0.005987
  68	3.3500e-02	2.6903	3.675012	0.000322	3.221097	1.091337	0.025914
  69	3.4000e-02	2.7561	3.657051	-0.000045	-0.446489	-0.151274	-0.003592
  70	3.4500e-02	2.8058	3.850338	0.000481	4.805068	1.628001	0.038657
  71	3.5000e-02	2.8026	3.995731	-0.000361	-3.614432	-1.224603	0.029079
  72	3.5500e-02	2.8652	4.012408	0.000041	0.414597	0.140469	0.003335
  73	3.6000e-02	2.9053	4.025237	0.000032	0.318920	0.108053	0.002566
  74	3.6500e-02	2.9518	4.156945	0.000327	3.274250	1.109346	0.026342
  75	3.7000e-02	2.9919	4.222372	0.000163	1.626494	0.551071	0.013085
  76	3.7500e-02	3.0336	4.287799	0.000163	1.626494	0.551071	0.013085
  77	3.8000e-02	3.0496	4.502467	0.000534	5.336602	1.808090	0.042934
  78	3.8500e-02	3.1170	4.650425	0.000368	3.678216	1.246213	0.029592
  79	3.9000e-02	3.1587	4.634175	-0.000040	-0.403966	-0.136867	-0.003250
  80	3.9500e-02	3.1732	4.816771	0.000454	4.539301	1.537957	0.036519
  81	4.0000e-02	3.2325	4.965585	0.000370	3.699477	1.253417	0.029763
  82	4.0500e-02	3.2486	5.022886	0.000142	1.424511	0.482638	0.011460
  83	4.1000e-02	3.2887	5.107984	0.000212	2.115506	0.716753	0.017019
  84	4.1500e-02	3.3368	5.067360	-0.000101	-1.009915	-0.342168	-0.008125
  85	4.2000e-02	3.3881	5.298277	0.000574	5.740568	1.944957	0.046184
  86	4.2500e-02	3.4186	5.520215	0.000552	5.517324	1.869320	0.044388
  87	4.3000e-02	3.4780	5.464623	-0.000138	-1.381989	-0.468230	-0.011118
  88	4.3500e-02	3.5085	5.504820	0.000100	0.999284	0.338567	0.008039
  89	4.4000e-02	3.5486	5.496268	-0.000021	-0.212614	-0.072035	-0.001711
  90	4.4500e-02	3.5758	5.670739	0.000434	4.337318	1.469523	0.034894
  91	4.5000e-02	3.6448	5.719916	0.000122	1.222528	0.414204	0.009835
