»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 10:41:14
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 10:40:38 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0112	-2.646708	0.000175	1.747126	0.591942	0.000070
   2	9.9500e-02	0.0369	-2.576645	0.000175	1.747126	0.591942	0.000070
   3	1.9900e-01	0.0882	-2.473180	0.000258	2.580058	0.874147	0.000104
   4	2.9850e-01	0.1043	-2.375825	0.000243	2.427693	0.822525	0.000098
   5	3.9800e-01	0.1668	-2.278063	0.000244	2.437851	0.825966	0.000098
   6	4.9750e-01	0.1925	-2.176228	0.000254	2.539428	0.860381	0.000102
   7	5.9700e-01	0.2246	-2.079687	0.000241	2.407377	0.815642	0.000097
   8	6.9650e-01	0.2775	-1.975815	0.000259	2.590216	0.877589	0.000104
   9	7.9600e-01	0.2984	-1.879682	0.000240	2.397220	0.812200	0.000097
  10	8.9550e-01	0.3353	-1.779883	0.000249	2.488639	0.843174	0.000100
  11	9.9500e-01	0.4059	-1.682528	0.000243	2.427693	0.822525	0.000098
  12	1.0945e+00	0.4412	-1.578656	0.000259	2.590216	0.877589	0.000104
  13	1.1940e+00	0.4781	-1.475191	0.000258	2.580058	0.874147	0.000104
  14	1.2935e+00	0.5246	-1.372541	0.000256	2.559743	0.867264	0.000103
  15	1.3930e+00	0.5454	-1.280889	0.000229	2.285485	0.774343	0.000092
  16	1.4925e+00	0.5984	-1.179460	0.000253	2.529270	0.856940	0.000102
  17	1.5920e+00	0.6385	-1.076810	0.000256	2.559743	0.867264	0.000103
  18	1.6915e+00	0.6866	-0.972123	0.000261	2.610532	0.884472	0.000105
  19	1.7910e+00	0.7203	-0.882100	0.000224	2.244854	0.760577	0.000090
  20	1.8905e+00	0.7781	-0.775377	0.000266	2.661320	0.901680	0.000107
  21	1.9900e+00	0.8021	-0.680058	0.000238	2.376904	0.805317	0.000096
  22	2.0895e+00	0.8198	-0.574149	0.000264	2.641005	0.894797	0.000106
  23	2.1890e+00	0.8663	-0.475165	0.000247	2.468324	0.836291	0.000099
  24	2.2885e+00	0.9048	-0.376181	0.000247	2.468324	0.836291	0.000099
  25	2.3880e+00	0.9481	-0.275975	0.000250	2.498797	0.846615	0.000101
  26	2.4875e+00	0.9978	-0.166399	0.000273	2.732424	0.925770	0.000110
  27	2.5870e+00	1.0283	-0.070674	0.000239	2.387062	0.808758	0.000096
  28	2.6865e+00	1.0780	0.028310	0.000247	2.468324	0.836291	0.000099
  29	2.7860e+00	1.1005	0.128109	0.000249	2.488639	0.843174	0.000100
  30	2.8855e+00	1.1615	0.236870	0.000271	2.712109	0.918887	0.000109
