»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 10:46:50
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 10:45:43 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0064	-2.212481	0.000148	1.484745	0.503045	0.000060
   2	9.9500e-02	0.0738	-2.153009	0.000148	1.484745	0.503045	0.000060
   3	1.9900e-01	0.0610	-2.065430	-0.000219	-2.186440	-0.740786	0.000088
   4	2.9850e-01	0.1251	-1.975408	0.000225	2.247457	0.761459	0.000090
   5	3.9800e-01	0.1620	-1.884163	0.000228	2.277965	0.771796	0.000092
   6	4.9750e-01	0.2037	-1.792918	0.000228	2.277965	0.771796	0.000092
   7	5.9700e-01	0.2647	-1.700044	0.000232	2.318643	0.785578	0.000093
   8	6.9650e-01	0.2775	-1.610429	0.000224	2.237288	0.758014	0.000090
   9	7.9600e-01	0.3545	-1.515518	0.000237	2.369491	0.802805	0.000095
  10	8.9550e-01	0.3610	-1.428754	0.000217	2.166101	0.733895	0.000087
  11	9.9500e-01	0.4171	-1.337917	0.000227	2.267796	0.768350	0.000091
  12	1.0945e+00	0.4364	-1.247894	0.000225	2.247457	0.761459	0.000090
  13	1.1940e+00	0.5166	-1.157464	0.000226	2.257626	0.764905	0.000091
  14	1.2935e+00	0.5230	-1.064997	0.000231	2.308474	0.782132	0.000093
  15	1.3930e+00	0.5631	-0.978233	0.000217	2.166101	0.733895	0.000087
  16	1.4925e+00	0.6144	-0.885359	0.000232	2.318643	0.785578	0.000093
  17	1.5920e+00	0.6481	-0.794114	0.000228	2.277965	0.771796	0.000092
  18	1.6915e+00	0.6946	-0.693908	0.000250	2.501694	0.847597	0.000101
  19	1.7910e+00	0.7283	-0.607959	0.000215	2.145762	0.727004	0.000086
  20	1.8905e+00	0.7813	-0.510604	0.000243	2.430508	0.823478	0.000098
  21	1.9900e+00	0.8021	-0.422211	0.000221	2.206779	0.747677	0.000089
  22	2.0895e+00	0.8615	-0.321597	0.000251	2.511864	0.851042	0.000101
  23	2.1890e+00	0.8727	-0.230352	0.000228	2.277965	0.771796	0.000092
  24	2.2885e+00	0.9160	-0.140737	0.000224	2.237288	0.758014	0.000090
  25	2.3880e+00	0.9706	-0.045826	0.000237	2.369491	0.802805	0.000095
  26	2.4875e+00	0.9898	0.051529	0.000243	2.430508	0.823478	0.000098
  27	2.5870e+00	1.0315	0.145625	0.000235	2.349152	0.795914	0.000095
  28	2.6865e+00	1.0909	0.233611	0.000220	2.196610	0.744231	0.000088
  29	2.7860e+00	1.1358	0.326892	0.000233	2.328813	0.789023	0.000094
  30	2.8855e+00	1.1422	0.423840	0.000242	2.420338	0.820033	0.000097
  31	2.9850e+00	1.1935	0.520380	0.000241	2.410169	0.816587	0.000097
  32	3.0845e+00	1.2369	0.607959	0.000219	2.186440	0.740786	0.000088
  33	3.1840e+00	1.2962	0.700426	0.000231	2.308474	0.782132	0.000093
  34	3.2835e+00	1.3604	0.795336	0.000237	2.369491	0.802805	0.000095
  35	3.3830e+00	1.3893	0.893099	0.000244	2.440677	0.826924	0.000098
  36	3.4825e+00	1.4117	0.981899	0.000222	2.216949	0.751122	0.000089
  37	3.5820e+00	1.4631	1.078032	0.000240	2.399999	0.813142	0.000097
  38	3.6815e+00	1.4743	1.168055	0.000225	2.247457	0.761459	0.000090
  39	3.7810e+00	1.5385	1.265002	0.000242	2.420338	0.820033	0.000097
  40	3.8805e+00	1.5497	1.356654	0.000229	2.288135	0.775241	0.000092
  41	3.9800e+00	1.6139	1.449528	0.000232	2.318643	0.785578	0.000093
  42	4.0795e+00	1.6379	1.544439	0.000237	2.369491	0.802805	0.000095
  43	4.1790e+00	1.6764	1.636499	0.000230	2.298304	0.778687	0.000093
  44	4.2785e+00	1.7310	1.733446	0.000242	2.420338	0.820033	0.000097
  45	4.3780e+00	1.7631	1.826728	0.000233	2.328813	0.789023	0.000094
  46	4.4775e+00	1.8032	1.922046	0.000238	2.379660	0.806251	0.000096
  47	4.5770e+00	1.8433	2.015327	0.000233	2.328813	0.789023	0.000094
  48	4.6765e+00	1.8930	2.112682	0.000243	2.430508	0.823478	0.000098
  49	4.7760e+00	1.9187	2.206778	0.000235	2.349152	0.795914	0.000095
  50	4.8755e+00	1.9620	2.298838	0.000230	2.298304	0.778687	0.000093
  51	4.9750e+00	2.0245	2.404747	0.000264	2.644067	0.895834	0.000106
  52	5.0745e+00	2.0294	2.496806	0.000230	2.298304	0.778687	0.000093
  53	5.1740e+00	2.0871	2.594568	0.000244	2.440677	0.826924	0.000098
  54	5.2735e+00	2.1096	2.691109	0.000241	2.410169	0.816587	0.000097
  55	5.3730e+00	2.1705	2.789685	0.000246	2.461016	0.833815	0.000099
  56	5.4725e+00	2.2203	2.888670	0.000247	2.471186	0.837260	0.000099
  57	5.5720e+00	2.2219	2.988876	0.000250	2.501694	0.847597	0.000101
  58	5.6715e+00	2.2620	3.086231	0.000243	2.430508	0.823478	0.000098
  59	5.7710e+00	2.3261	3.180327	0.000235	2.349152	0.795914	0.000095
  60	5.8705e+00	2.3454	3.280533	0.000250	2.501694	0.847597	0.000101
  61	5.9700e+00	2.3999	3.374629	0.000235	2.349152	0.795914	0.000095
  62	6.0695e+00	2.4272	3.480538	0.000264	2.644067	0.895834	0.000106
  63	6.1690e+00	2.4882	3.566488	0.000215	2.145762	0.727004	0.000086
  64	6.2685e+00	2.5219	3.672804	0.000265	2.654237	0.899280	0.000107
  65	6.3680e+00	2.5555	3.767715	0.000237	2.369491	0.802805	0.000095
  66	6.4675e+00	2.6005	3.869143	0.000253	2.532203	0.857933	0.000102
  67	6.5670e+00	2.6502	3.965683	0.000241	2.410169	0.816587	0.000097
  68	6.6665e+00	2.6903	4.061409	0.000239	2.389830	0.809696	0.000096
  69	6.7660e+00	2.7176	4.157542	0.000240	2.399999	0.813142	0.000097
  70	6.8655e+00	2.7561	4.262229	0.000261	2.613559	0.885498	0.000105
  71	6.9650e+00	2.7898	4.358769	0.000241	2.410169	0.816587	0.000097
  72	7.0645e+00	2.8395	4.458161	0.000248	2.481355	0.840706	0.000100
  73	7.1640e+00	2.8812	4.554293	0.000240	2.399999	0.813142	0.000097
  74	7.2635e+00	2.9277	4.656129	0.000254	2.542372	0.861379	0.000102
  75	7.3630e+00	2.9566	4.757150	0.000252	2.522033	0.854488	0.000102
  76	7.4625e+00	3.0127	4.843914	0.000217	2.166101	0.733895	0.000087
  77	7.5620e+00	3.0240	4.948601	0.000261	2.613559	0.885498	0.000105
  78	7.6615e+00	3.0785	5.051251	0.000256	2.562711	0.868270	0.000103
  79	7.7610e+00	3.1106	5.147384	0.000240	2.399999	0.813142	0.000097
  80	7.8605e+00	3.1700	5.247998	0.000251	2.511864	0.851042	0.000101
  81	7.9600e+00	3.2069	5.346982	0.000247	2.471186	0.837260	0.000099
  82	8.0595e+00	3.2373	5.443115	0.000240	2.399999	0.813142	0.000097
  83	8.1590e+00	3.2774	5.546580	0.000258	2.583050	0.875161	0.000104
  84	8.2585e+00	3.3224	5.648823	0.000255	2.552542	0.864825	0.000103
  85	8.3580e+00	3.3432	5.749029	0.000250	2.501694	0.847597	0.000101
  86	8.4575e+00	3.3817	5.850050	0.000252	2.522033	0.854488	0.000102
  87	8.5570e+00	3.4379	5.954330	0.000260	2.603389	0.882052	0.000105
