»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 11:8:4
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 11:06:41 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0802	-2.590470	0.000051	0.506602	0.171641	0.400494
   2	1.0000e-04	0.6305	-2.189976	0.000051	0.506602	0.171641	0.400494
   3	2.0000e-04	1.5304	1.458164	0.000461	4.614686	1.563498	3.648139
   4	3.0000e-04	2.2604	3.773749	0.000293	2.929082	0.992400	2.315585
   5	4.0000e-04	3.1379	3.948510	0.000022	0.221063	0.074898	0.174761
   6	5.0000e-04	3.8325	6.398807	0.000310	3.099485	1.050134	2.450297
   7	6.0000e-04	4.6410	9.071197	0.000338	3.380419	1.145317	2.672390
   8	7.0000e-04	5.4752	10.603998	0.000194	1.938905	0.656919	1.532801
   9	8.0000e-04	6.2886	12.300638	0.000215	2.146151	0.727136	1.696640
  10	9.0000e-04	7.0715	14.758217	0.000311	3.108696	1.053255	2.457579
  11	1.0000e-03	7.8832	16.680590	0.000243	2.431691	0.823879	1.922373
  12	1.1000e-03	8.6725	18.300771	0.000205	2.049436	0.694368	1.620182
  13	1.2000e-03	9.4602	20.558103	0.000286	2.855395	0.967434	2.257332
  14	1.3000e-03	10.2671	22.516884	0.000248	2.477746	0.839483	1.958781
  15	1.4000e-03	11.0435	24.246292	0.000219	2.187601	0.741179	1.729407
  16	1.5000e-03	11.8601	26.121334	0.000237	2.371820	0.803594	1.875042
  17	1.6000e-03	12.6526	28.291285	0.000274	2.744863	0.929985	2.169951
  18	1.7000e-03	13.4900	30.388419	0.000265	2.652754	0.898777	2.097134
  19	1.8000e-03	14.2424	32.216129	0.000231	2.311948	0.783309	1.827711
  20	1.9000e-03	15.0461	33.989227	0.000224	2.242866	0.759904	1.773098
  21	2.0000e-03	15.8546	36.166460	0.000275	2.754074	0.933106	2.177233
  22	2.1000e-03	16.6423	38.136164	0.000249	2.491562	0.844164	1.969704
  23	2.2000e-03	17.4573	39.942029	0.000228	2.284316	0.773947	1.805865
  24	2.3000e-03	18.2578	41.889888	0.000246	2.463929	0.834802	1.947859
  25	2.4000e-03	19.0599	43.586528	0.000215	2.146151	0.727136	1.696640
  26	2.5000e-03	19.8492	45.676380	0.000264	2.643543	0.895656	2.089852
  27	2.6000e-03	19.5781	46.342657	-0.000084	-0.842802	-0.285549	0.666277
  28	2.7000e-03	18.4535	41.591338	0.000601	6.010145	2.036292	-4.751319
  29	2.8000e-03	17.7861	38.376461	0.000407	4.066634	1.377813	-3.214877
  30	2.9000e-03	16.8509	40.371651	-0.000252	-2.523800	-0.855087	1.995190
  31	3.0000e-03	16.2894	37.517218	0.000361	3.610692	1.223336	-2.854432
  32	3.1000e-03	15.4231	34.367876	0.000398	3.983736	1.349726	-3.149342
  33	3.2000e-03	14.5215	33.690677	0.000086	0.856618	0.290230	-0.677200
  34	3.3000e-03	13.8189	32.390890	0.000164	1.644155	0.557055	-1.299786
  35	3.4000e-03	12.9590	29.674811	0.000344	3.435684	1.164041	-2.716080
  36	3.5000e-03	12.2178	27.588599	0.000264	2.638937	0.894096	-2.086211
  37	3.6000e-03	11.3660	26.317940	0.000161	1.607311	0.544572	-1.270659
