»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 11:55:17
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 11:54:31 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0032	-3.126762	0.000233	2.330595	0.789627	0.000093
   2	9.9500e-02	0.0305	-3.033908	0.000233	2.330595	0.789627	0.000093
   3	1.9900e-01	0.0722	-2.961239	0.000182	1.823944	0.617969	0.000073
   4	2.9850e-01	0.1187	-2.815902	0.000365	3.647888	1.235938	0.000146
   5	3.9800e-01	0.1524	-2.719011	0.000243	2.431925	0.823959	0.000097
   6	4.9750e-01	0.1941	-2.573674	0.000365	3.647888	1.235938	0.000146
   7	5.9700e-01	0.2246	-2.476783	0.000243	2.431925	0.823959	0.000097
   8	6.9650e-01	0.2711	-2.400077	0.000193	1.925274	0.652301	0.000077
   9	7.9600e-01	0.3064	-2.283000	0.000294	2.938577	0.995617	0.000118
  10	8.9550e-01	0.3610	-2.129589	0.000385	3.850549	1.304601	0.000154
  11	9.9500e-01	0.3882	-2.016549	0.000284	2.837246	0.961285	0.000114
  12	1.0945e+00	0.4380	-1.927732	0.000223	2.229265	0.755295	0.000089
  13	1.1940e+00	0.4652	-1.855064	0.000182	1.823944	0.617969	0.000073
  14	1.2935e+00	0.5150	-1.705690	0.000375	3.749218	1.270270	0.000150
  15	1.3930e+00	0.5422	-1.584576	0.000304	3.039907	1.029948	0.000122
  16	1.4925e+00	0.5936	-1.479610	0.000263	2.634586	0.892622	0.000105
  17	1.5920e+00	0.6337	-1.342348	0.000345	3.445228	1.167275	0.000138
  18	1.6915e+00	0.6770	-1.257568	0.000213	2.127935	0.720964	0.000085
  19	1.7910e+00	0.7059	-1.144528	0.000284	2.837246	0.961285	0.000114
  20	1.8905e+00	0.7636	-1.035525	0.000274	2.735916	0.926953	0.000110
  21	1.9900e+00	0.7941	-0.934597	0.000253	2.533256	0.858290	0.000101
  22	2.0895e+00	0.8374	-0.785223	0.000375	3.749218	1.270270	0.000150
  23	2.1890e+00	0.8663	-0.692369	0.000233	2.330595	0.789627	0.000093
  24	2.2885e+00	0.9096	-0.603552	0.000223	2.229265	0.755295	0.000089
