»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 11:35:24
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 11:34:47 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0353	-2.293354	-0.000485	-4.850122	-1.643266	0.038999
   2	5.0000e-04	0.0193	-2.098357	-0.000485	-4.850122	-1.643266	0.038999
   3	1.0000e-03	0.1139	-2.089805	0.000021	0.212725	0.072073	0.001711
   4	1.5000e-03	0.1556	-2.101778	-0.000030	-0.297815	-0.100902	-0.002395
   5	2.0000e-03	0.1893	-1.931156	0.000424	4.243857	1.437858	0.034124
   6	2.5000e-03	0.2198	-1.833657	0.000243	2.425061	0.821633	0.019500
   7	3.0000e-03	0.2807	-1.775073	0.000146	1.457164	0.493701	0.011717
   8	3.5000e-03	0.3225	-1.660469	0.000285	2.850510	0.965779	0.022921
   9	4.0000e-03	0.3577	-1.556556	0.000258	2.584605	0.875688	0.020783
  10	4.5000e-03	0.4219	-1.605305	-0.000121	-1.212531	-0.410816	-0.009750
  11	5.0000e-03	0.4283	-1.339750	0.000661	6.605101	2.237869	0.053111
  12	5.5000e-03	0.4620	-1.232844	0.000266	2.659058	0.900913	0.021381
  13	6.0000e-03	0.5326	-1.128075	0.000261	2.605877	0.882895	0.020954
  14	6.5000e-03	0.5759	-1.121233	0.000017	0.170180	0.057658	0.001368
  15	7.0000e-03	0.6080	-1.024590	0.000240	2.403789	0.814426	0.019329
  16	7.5000e-03	0.6257	-0.870645	0.000383	3.829044	1.297315	0.030789
  17	8.0000e-03	0.6497	-0.581998	0.000718	7.179457	2.432466	0.057729
  18	8.5000e-03	0.7139	-0.761173	-0.000446	-4.456582	-1.509931	-0.035835
  19	9.0000e-03	0.7476	-0.587985	0.000431	4.307674	1.459480	0.034638
  20	9.5000e-03	0.7925	-0.367330	0.000549	5.488296	1.859485	0.044131
  21	1.0000e-02	0.8583	-0.381442	-0.000035	-0.350996	-0.118921	-0.002822
  22	1.0500e-02	0.8936	-0.295489	0.000214	2.137883	0.724334	0.017191
  23	1.1000e-02	0.9080	-0.165919	0.000322	3.222779	1.091907	0.025914
  24	1.1500e-02	0.9609	-0.048322	0.000292	2.924964	0.991005	0.023519
