»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 12:20:28
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 12:19:38 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0128	-2.408151	0.000071	0.709596	0.240418	0.000028
   2	9.9500e-02	0.0273	-2.379892	0.000071	0.709596	0.240418	0.000028
   3	1.9900e-01	0.0754	-2.238592	0.000355	3.547981	1.202088	0.000142
   4	2.9850e-01	0.1107	-2.133626	0.000264	2.635643	0.892980	0.000105
   5	3.9800e-01	0.1620	-2.000401	0.000335	3.345239	1.133398	0.000134
   6	4.9750e-01	0.1925	-1.899472	0.000253	2.534272	0.858635	0.000101
   7	5.9700e-01	0.2342	-1.830841	0.000172	1.723305	0.583872	0.000069
   8	6.9650e-01	0.2743	-1.737987	0.000233	2.331530	0.789944	0.000093
   9	7.9600e-01	0.3192	-1.616873	0.000304	3.041126	1.030362	0.000122
  10	8.9550e-01	0.3561	-1.532093	0.000213	2.128789	0.721253	0.000085
  11	9.9500e-01	0.3978	-1.423090	0.000274	2.737014	0.927325	0.000110
  12	1.0945e+00	0.4299	-1.310051	0.000284	2.838385	0.961671	0.000114
  13	1.1940e+00	0.4684	-1.217196	0.000233	2.331530	0.789944	0.000093
  14	1.2935e+00	0.5182	-1.120305	0.000243	2.432901	0.824289	0.000097
  15	1.3930e+00	0.5454	-0.958820	0.000405	4.054835	1.373815	0.000162
  16	1.4925e+00	0.5984	-0.890188	0.000172	1.723305	0.583872	0.000069
  17	1.5920e+00	0.6273	-0.781186	0.000274	2.737014	0.927325	0.000110
  18	1.6915e+00	0.6738	-0.672183	0.000274	2.737014	0.927325	0.000110
  19	1.7910e+00	0.7059	-0.575292	0.000243	2.432901	0.824289	0.000097
  20	1.8905e+00	0.7508	-0.494549	0.000203	2.027418	0.686908	0.000081
  21	1.9900e+00	0.7861	-0.401695	0.000233	2.331530	0.789944	0.000093
  22	2.0895e+00	0.8294	-0.300767	0.000253	2.534272	0.858635	0.000101
  23	2.1890e+00	0.8695	-0.147355	0.000385	3.852093	1.305125	0.000154
  24	2.2885e+00	0.9080	-0.054501	0.000233	2.331530	0.789944	0.000093
  25	2.3880e+00	0.9417	0.030279	0.000213	2.128789	0.721253	0.000085
  26	2.4875e+00	0.9930	0.143318	0.000284	2.838385	0.961671	0.000114
  27	2.5870e+00	1.0315	0.236172	0.000233	2.331530	0.789944	0.000093
  28	2.6865e+00	1.0620	0.349212	0.000284	2.838385	0.961671	0.000114
  29	2.7860e+00	1.1053	0.438029	0.000223	2.230159	0.755598	0.000089
  30	2.8855e+00	1.1422	0.547032	0.000274	2.737014	0.927325	0.000110
  31	2.9850e+00	1.1791	0.647960	0.000253	2.534272	0.858635	0.000101
  32	3.0845e+00	1.2337	0.797334	0.000375	3.750723	1.270779	0.000150
  33	3.1840e+00	1.2706	0.882114	0.000213	2.128789	0.721253	0.000085
  34	3.2835e+00	1.3074	0.950745	0.000172	1.723305	0.583872	0.000069
  35	3.3830e+00	1.3411	1.112231	0.000405	4.054835	1.373815	0.000162
  36	3.4825e+00	1.3909	1.164714	0.000132	1.317821	0.446490	0.000053
  37	3.5820e+00	1.4294	1.249494	0.000213	2.128789	0.721253	0.000085
  38	3.6815e+00	1.4711	1.386756	0.000345	3.446610	1.167743	0.000138
  39	3.7810e+00	1.5112	1.503833	0.000294	2.939756	0.996016	0.000118
  40	3.8805e+00	1.5465	1.612836	0.000274	2.737014	0.927325	0.000110
  41	3.9800e+00	1.5914	1.713764	0.000253	2.534272	0.858635	0.000101
  42	4.0795e+00	1.6235	1.806618	0.000233	2.331530	0.789944	0.000093
  43	4.1790e+00	1.6700	1.867175	0.000152	1.520563	0.515181	0.000061
  44	4.2785e+00	1.6973	1.988289	0.000304	3.041126	1.030362	0.000122
  45	4.3780e+00	1.7454	2.129589	0.000355	3.547981	1.202088	0.000142
  46	4.4775e+00	1.7807	2.210332	0.000203	2.027418	0.686908	0.000081
  47	4.5770e+00	1.8224	2.311260	0.000253	2.534272	0.858635	0.000101
  48	4.6765e+00	1.8657	2.392003	0.000203	2.027418	0.686908	0.000081
  49	4.7760e+00	1.9026	2.533303	0.000355	3.547981	1.202088	0.000142
  50	4.8755e+00	1.9491	2.605971	0.000182	1.824676	0.618217	0.000073
  51	4.9750e+00	1.9764	2.714974	0.000274	2.737014	0.927325	0.000110
  52	5.0745e+00	2.0229	2.811865	0.000243	2.432901	0.824289	0.000097
  53	5.1740e+00	2.0695	2.945091	0.000335	3.345239	1.133398	0.000134
  54	5.2735e+00	2.1015	3.021796	0.000193	1.926047	0.652562	0.000077
  55	5.3730e+00	2.1465	3.142910	0.000304	3.041126	1.030362	0.000122
  56	5.4725e+00	2.1914	3.235764	0.000233	2.331530	0.789944	0.000093
  57	5.5720e+00	2.2299	3.364953	0.000324	3.243868	1.099052	0.000130
  58	5.6715e+00	2.2684	3.482030	0.000294	2.939756	0.996016	0.000118
  59	5.7710e+00	2.3021	3.599107	0.000294	2.939756	0.996016	0.000118
  60	5.8705e+00	2.3454	3.691961	0.000233	2.331530	0.789944	0.000093
  61	5.9700e+00	2.3935	3.780778	0.000223	2.230159	0.755598	0.000089
  62	6.0695e+00	2.4304	3.914003	0.000335	3.345239	1.133398	0.000134
  63	6.1690e+00	2.4609	3.970523	0.000142	1.419192	0.480835	0.000057
  64	6.2685e+00	2.4994	4.095674	0.000314	3.142497	1.064707	0.000126
  65	6.3680e+00	2.5379	4.228900	0.000335	3.345239	1.133398	0.000134
  66	6.4675e+00	2.5812	4.297531	0.000172	1.723305	0.583872	0.000069
  67	6.5670e+00	2.6309	4.430756	0.000335	3.345239	1.133398	0.000134
  68	6.6665e+00	2.6662	4.543796	0.000284	2.838385	0.961671	0.000114
  69	6.7660e+00	2.7079	4.656836	0.000284	2.838385	0.961671	0.000114
  70	6.8655e+00	2.7481	4.733542	0.000193	1.926047	0.652562	0.000077
