»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 14:21:4
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 02:20:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0273	-2.666244	0.000677	6.770368	2.293863	0.054308
   2	5.0000e-04	0.0642	-2.394702	0.000677	6.770368	2.293863	0.054308
   3	1.0000e-03	0.1348	-2.653842	-0.000646	-6.461170	-2.189104	-0.051828
   4	1.5000e-03	0.1588	-2.551640	0.000255	2.548217	0.863359	0.020440
   5	2.0000e-03	0.1861	-2.291216	0.000649	6.493156	2.199941	0.052085
   6	2.5000e-03	0.2551	-2.270263	0.000052	0.522438	0.177007	0.004191
   7	3.0000e-03	0.2503	-1.836223	-0.001082	-10.821927	-3.666568	0.086808
   8	3.5000e-03	0.3337	-2.013687	-0.000442	-4.424729	-1.499139	-0.035493
   9	4.0000e-03	0.3577	-1.795599	0.000544	5.437619	1.842315	0.043618
  10	4.5000e-03	0.3834	-1.744283	0.000128	1.279440	0.433486	0.010263
  11	5.0000e-03	0.4315	-1.596753	0.000368	3.678389	1.246272	0.029506
  12	5.5000e-03	0.4700	-1.400900	0.000488	4.883195	1.654471	0.039170
  13	6.0000e-03	0.5182	-1.532181	-0.000327	-3.273233	-1.109001	-0.026256
  14	6.5000e-03	0.5551	-1.370539	0.000403	4.030235	1.365481	0.032328
  15	7.0000e-03	0.5968	-1.308106	0.000156	1.556652	0.527408	0.012487
  16	7.5000e-03	0.6289	-1.018603	0.000722	7.218172	2.445583	0.057900
  17	8.0000e-03	0.6658	-1.015610	0.000007	0.074634	0.025287	0.000599
  18	8.5000e-03	0.7107	-0.876632	0.000347	3.465149	1.174024	0.027796
  19	9.0000e-03	0.7556	-0.655977	0.000550	5.501591	1.863989	0.044131
  20	9.5000e-03	0.8005	-0.620057	0.000090	0.895608	0.303440	0.007184
  21	1.0000e-02	0.8133	-0.515716	0.000260	2.601527	0.881421	0.020868
  22	1.0500e-02	0.8823	-0.403678	0.000279	2.793443	0.946444	0.022408
  23	1.1000e-02	0.8968	-0.304897	0.000246	2.462921	0.834460	0.019756
  24	1.1500e-02	0.9433	-0.236904	0.000170	1.695258	0.574369	0.013598
