»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 15:6:22
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 03:05:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0144	-2.698143	0.000252	2.524842	0.855440	0.020165
   2	5.0000e-04	0.0321	-2.597315	0.000252	2.524842	0.855440	0.020165
   3	1.0000e-03	0.0561	-2.589249	0.000020	0.201987	0.068435	0.001613
   4	1.5000e-03	0.1059	-2.496488	0.000232	2.322855	0.787004	0.018552
   5	2.0000e-03	0.1348	-2.480356	0.000040	0.403975	0.136870	0.003226
   6	2.5000e-03	0.1668	-2.367429	0.000283	2.827823	0.958092	0.022585
   7	3.0000e-03	0.2118	-2.165774	0.000505	5.049684	1.710879	0.040331
   8	3.5000e-03	0.2551	-2.081079	0.000212	2.120867	0.718569	0.016939
   9	4.0000e-03	0.2920	-1.972185	0.000273	2.726829	0.923875	0.021779
  10	4.5000e-03	0.3369	-1.943954	0.000071	0.706956	0.239523	0.005646
  11	5.0000e-03	0.3770	-1.766497	0.000444	4.443722	1.505574	0.035491
  12	5.5000e-03	0.4091	-1.645504	0.000303	3.029811	1.026528	0.024199
  13	6.0000e-03	0.4556	-1.609206	0.000091	0.908943	0.307958	0.007260
  14	6.5000e-03	0.4877	-1.455949	0.000384	3.837760	1.300268	0.030652
  15	7.0000e-03	0.5342	-1.338989	0.000293	2.928817	0.992310	0.023392
  16	7.5000e-03	0.5823	-1.242194	0.000242	2.423848	0.821222	0.019359
  17	8.0000e-03	0.6160	-1.117168	0.000313	3.130804	1.060745	0.025005
  18	8.5000e-03	0.6625	-0.971977	0.000364	3.635773	1.231833	0.029038
  19	9.0000e-03	0.6978	-0.907447	0.000162	1.615899	0.547481	0.012906
  20	9.5000e-03	0.7428	-0.867116	0.000101	1.009937	0.342176	0.008066
  21	1.0000e-02	0.7732	-0.725958	0.000353	3.534779	1.197616	0.028232
  22	1.0500e-02	0.8198	-0.645296	0.000202	2.019874	0.684352	0.016132
  23	1.1000e-02	0.8551	-0.435575	0.000525	5.251672	1.779314	0.041944
  24	1.1500e-02	0.8936	-0.362979	0.000182	1.817886	0.615917	0.014519
