»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 16:4:54
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 04:01:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0016	-2.333464	0.000142	1.418965	0.480758	0.000057
   2	9.9500e-02	0.0321	-2.276945	0.000142	1.418965	0.480758	0.000057
   3	1.9900e-01	0.0690	-2.180053	0.000243	2.432511	0.824157	0.000097
   4	2.9850e-01	0.1139	-2.058939	0.000304	3.040638	1.030196	0.000122
   5	3.9800e-01	0.1556	-1.970122	0.000223	2.229802	0.755477	0.000089
   6	4.9750e-01	0.1909	-1.853045	0.000294	2.939284	0.995856	0.000118
   7	5.9700e-01	0.2390	-1.740006	0.000284	2.837929	0.961516	0.000114
   8	6.9650e-01	0.2743	-1.614854	0.000314	3.141993	1.064536	0.000126
   9	7.9600e-01	0.3080	-1.526037	0.000223	2.229802	0.755477	0.000089
  10	8.9550e-01	0.3545	-1.429146	0.000243	2.432511	0.824157	0.000097
  11	9.9500e-01	0.3914	-1.328218	0.000253	2.533865	0.858497	0.000101
  12	1.0945e+00	0.4283	-1.199029	0.000324	3.243348	1.098876	0.000130
  13	1.1940e+00	0.4732	-1.122324	0.000193	1.925738	0.652458	0.000077
  14	1.2935e+00	0.5053	-1.037544	0.000213	2.128447	0.721137	0.000085
  15	1.3930e+00	0.5551	-0.896244	0.000355	3.547412	1.201896	0.000142
  16	1.4925e+00	0.5871	-0.839724	0.000142	1.418965	0.480758	0.000057
  17	1.5920e+00	0.6385	-0.702462	0.000345	3.446057	1.167556	0.000138
  18	1.6915e+00	0.6706	-0.645942	0.000142	1.418965	0.480758	0.000057
  19	1.7910e+00	0.7091	-0.593459	0.000132	1.317610	0.446418	0.000053
  20	1.8905e+00	0.7540	-0.476382	0.000294	2.939284	0.995856	0.000118
  21	1.9900e+00	0.7957	-0.375454	0.000253	2.533865	0.858497	0.000101
  22	2.0895e+00	0.8342	-0.234154	0.000355	3.547412	1.201896	0.000142
  23	2.1890e+00	0.8695	-0.117077	0.000294	2.939284	0.995856	0.000118
  24	2.2885e+00	0.9064	-0.008074	0.000274	2.736575	0.927177	0.000110
  25	2.3880e+00	0.9545	0.129188	0.000345	3.446057	1.167556	0.000138
  26	2.4875e+00	0.9866	0.205894	0.000193	1.925738	0.652458	0.000077
  27	2.5870e+00	1.0299	0.343157	0.000345	3.446057	1.167556	0.000138
  28	2.6865e+00	1.0732	0.423899	0.000203	2.027092	0.686797	0.000081
  29	2.7860e+00	1.1101	0.524828	0.000253	2.533865	0.858497	0.000101
  30	2.8855e+00	1.1502	0.621719	0.000243	2.432511	0.824157	0.000097
  31	2.9850e+00	1.1968	0.714573	0.000233	2.331156	0.789817	0.000093
  32	3.0845e+00	1.2240	0.835687	0.000304	3.040638	1.030196	0.000122
  33	3.1840e+00	1.2754	0.928541	0.000233	2.331156	0.789817	0.000093
  34	3.2835e+00	1.3091	1.057730	0.000324	3.243348	1.098876	0.000130
  35	3.3830e+00	1.3508	1.130398	0.000182	1.824383	0.618118	0.000073
  36	3.4825e+00	1.3989	1.239401	0.000274	2.736575	0.927177	0.000110
  37	3.5820e+00	1.4310	1.320143	0.000203	2.027092	0.686797	0.000081
  38	3.6815e+00	1.4791	1.421072	0.000253	2.533865	0.858497	0.000101
  39	3.7810e+00	1.5000	1.538149	0.000294	2.939284	0.995856	0.000118
  40	3.8805e+00	1.5529	1.626966	0.000223	2.229802	0.755477	0.000089
  41	3.9800e+00	1.5946	1.760191	0.000334	3.344702	1.133216	0.000134
  42	4.0795e+00	1.6363	1.905528	0.000365	3.648766	1.236235	0.000146
  43	4.1790e+00	1.6796	1.970122	0.000162	1.621674	0.549438	0.000065
  44	4.2785e+00	1.7149	2.119496	0.000375	3.750121	1.270575	0.000150
  45	4.3780e+00	1.7486	2.244647	0.000314	3.141993	1.064536	0.000126
  46	4.4775e+00	1.7951	2.309242	0.000162	1.621674	0.549438	0.000065
