»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/17/2025 - 16:29:19
Configured:	06/17/25 10:39:14 AM
Executed:	06/17/25 04:27:59 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-180
Volts:	20.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0626	-2.874457	0.000060	0.602453	0.204117	0.473312
   2	1.0000e-04	0.5791	-2.401146	0.000060	0.602453	0.204117	0.473312
   3	2.0000e-04	1.3973	0.358624	0.000351	3.512763	1.190156	2.759770
   4	3.0000e-04	2.2379	3.624474	0.000416	4.156924	1.408404	3.265849
   5	4.0000e-04	3.1395	4.257983	0.000081	0.806360	0.273202	0.633509
   6	5.0000e-04	3.7523	6.340554	0.000265	2.650792	0.898113	2.082571
   7	6.0000e-04	4.6282	9.184064	0.000362	3.619350	1.226269	2.843510
   8	7.0000e-04	5.3678	10.938957	0.000223	2.233709	0.756801	1.754893
   9	8.0000e-04	6.2934	13.170803	0.000284	2.840796	0.962488	2.231846
  10	9.0000e-04	7.0586	15.460902	0.000291	2.914944	0.987610	2.290099
  11	1.0000e-03	7.7741	17.284972	0.000232	2.321760	0.786634	1.824070
  12	1.1000e-03	8.6276	19.360261	0.000264	2.641523	0.894972	2.075289
  13	1.2000e-03	9.3799	21.315401	0.000249	2.488593	0.843158	1.955141
  14	1.3000e-03	10.2928	23.692881	0.000303	3.026166	1.025293	2.377480
  15	1.4000e-03	11.0692	25.735403	0.000260	2.599815	0.880841	2.042521
  16	1.5000e-03	11.7446	27.413838	0.000214	2.136390	0.723829	1.678435
  17	1.6000e-03	12.6365	29.703938	0.000291	2.914944	0.987610	2.290099
  18	1.7000e-03	13.4002	31.520726	0.000231	2.312492	0.783493	1.816788
  19	1.8000e-03	14.2680	33.785339	0.000288	2.882504	0.976619	2.264613
  20	1.9000e-03	15.0686	35.489260	0.000217	2.168830	0.734819	1.703921
  21	2.0000e-03	15.7680	37.415274	0.000245	2.451519	0.830597	1.926014
  22	2.1000e-03	16.6535	39.752705	0.000298	2.975190	1.008021	2.337431
  23	2.2000e-03	17.3658	41.325555	0.000200	2.001997	0.678295	1.572851
  24	2.3000e-03	18.2754	43.448175	0.000270	2.701769	0.915384	2.122620
  25	2.4000e-03	19.0791	45.388752	0.000247	2.470056	0.836878	1.940577
  26	2.5000e-03	19.7465	47.125442	0.000221	2.210538	0.748951	1.736689
  27	2.6000e-03	19.6134	48.119396	-0.000127	-1.265151	-0.428645	0.993954
  28	2.7000e-03	18.6701	44.762525	0.000427	4.272780	1.447657	-3.356871
  29	2.8000e-03	17.8310	41.070695	0.000470	4.699131	1.592109	-3.691830
  30	2.9000e-03	16.8829	42.053727	-0.000125	-1.251248	-0.423934	0.983032
  31	3.0000e-03	16.2958	39.836444	0.000282	2.822259	0.956207	-2.217282
  32	3.1000e-03	15.4054	36.668898	0.000403	4.031799	1.366010	-3.167546
  33	3.2000e-03	14.6274	35.289013	0.000176	1.756381	0.595078	-1.379885
  34	3.3000e-03	13.8076	33.483148	0.000230	2.298589	0.778783	-1.805865
  35	3.4000e-03	12.9397	31.327760	0.000274	2.743477	0.929515	-2.155388
  36	3.5000e-03	12.3045	29.951516	0.000175	1.751747	0.593508	-1.376244
  37	3.6000e-03	11.3852	28.021861	0.000246	2.456153	0.832167	-1.929655
  38	3.7000e-03	10.7099	26.114052	0.000243	2.428348	0.822747	-1.907809
  39	3.8000e-03	9.7650	23.736572	0.000303	3.026166	1.025293	-2.377480
  40	3.9000e-03	8.9837	21.704973	0.000259	2.585912	0.876131	-2.031599
  41	4.0000e-03	8.3244	20.263194	0.000184	1.835164	0.621770	-1.441780
  42	4.1000e-03	7.4180	17.871150	0.000304	3.044703	1.031573	-2.392044
  43	4.2000e-03	6.6864	15.908728	0.000250	2.497862	0.846298	-1.962422
  44	4.3000e-03	5.7801	13.476635	0.000310	3.095680	1.048845	-2.432093
  45	4.4000e-03	4.9876	11.619797	0.000236	2.363468	0.800765	-1.856837
  46	4.5000e-03	4.3218	9.759319	0.000237	2.368103	0.802335	-1.860478
  47	4.6000e-03	3.4026	7.283536	0.000315	3.151291	1.067686	-2.475783
  48	4.7000e-03	2.7176	5.477670	0.000230	2.298589	0.778783	-1.805865
  49	4.8000e-03	1.7534	2.939993	0.000323	3.230073	1.094378	-2.537678
  50	4.9000e-03	0.9754	0.922957	0.000257	2.567375	0.869850	-2.017035
  51	5.0000e-03	0.3000	-0.930239	0.000236	2.358834	0.799195	-1.853197
  52	5.1000e-03	-0.5807	-3.351410	0.000308	3.081777	1.044134	-2.421170
  53	5.2000e-03	-1.2898	-4.997077	0.000209	2.094682	0.709697	-1.645668
  54	5.3000e-03	-2.2411	-7.643981	0.000337	3.369101	1.141482	-2.646904
  55	5.4000e-03	-2.9919	-9.650093	0.000255	2.553473	0.865140	-2.006113
  56	5.5000e-03	-3.6929	-11.430473	0.000227	2.266149	0.767792	-1.780379
  57	5.6000e-03	-4.5769	-13.644114	0.000282	2.817625	0.954637	-2.213641
  58	5.7000e-03	-5.2892	-15.282500	0.000209	2.085413	0.706557	-1.638386
  59	5.8000e-03	-6.2276	-17.670903	0.000304	3.040069	1.030003	-2.388403
  60	5.9000e-03	-7.0474	-19.655170	0.000253	2.525667	0.855719	-1.984267
  61	6.0000e-03	-7.6891	-21.457395	0.000229	2.293955	0.777213	-1.802225
  62	6.1000e-03	-8.6035	-23.223211	0.000225	2.247612	0.761512	-1.765816
  63	6.2000e-03	-9.2917	-25.163788	0.000247	2.470056	0.836878	-1.940577
  64	6.3000e-03	-10.2478	-27.224513	0.000262	2.622986	0.888692	-2.060725
  65	6.4000e-03	-11.0532	-28.946639	0.000219	2.192001	0.742670	-1.722126
  66	6.5000e-03	-11.7141	-30.639638	0.000215	2.154927	0.730109	-1.692999
  67	6.6000e-03	-12.6253	-32.671237	0.000259	2.585912	0.876131	-2.031599
  68	6.7000e-03	-13.3183	-34.346031	0.000213	2.131756	0.722258	-1.674795
  69	6.8000e-03	-14.2568	-36.068157	0.000219	2.192001	0.742670	-1.722126
  70	6.9000e-03	-15.0557	-37.560908	0.000190	1.900043	0.643752	-1.492752
  71	7.0000e-03	-15.7022	-39.097350	0.000196	1.955654	0.662594	-1.536442
  72	7.1000e-03	-16.6118	-40.997878	0.000242	2.419079	0.819606	-1.900528
  73	7.2000e-03	-17.2920	-42.261256	0.000161	1.608085	0.544834	-1.263378
  74	7.3000e-03	-18.2578	-44.205474	0.000247	2.474690	0.838448	-1.944218
  75	7.4000e-03	-19.0326	-45.858423	0.000210	2.103950	0.712838	-1.652949
  76	7.5000e-03	-19.7048	-47.241949	0.000176	1.761016	0.596648	-1.383526
  77	7.6000e-03	-19.4690	-48.119396	-0.000112	-1.116855	-0.378401	-0.877447
  78	7.7000e-03	-18.5481	-44.846265	0.000417	4.166192	1.411544	3.273131
  79	7.8000e-03	-17.6931	-42.916610	0.000246	2.456153	0.832167	1.929655
