»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 11:37:49
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 11:37:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0053	-10.988900	0.000248	2.479754	0.420082	0.004960
   2	5.0000e-04	0.0065	-10.964098	0.000248	2.479754	0.420082	0.004960
   3	1.0000e-03	0.0173	-10.923901	0.000402	4.018911	0.680822	0.008039
   4	1.5000e-03	0.0259	-10.902948	0.000209	2.094964	0.354897	0.004191
   5	2.0000e-03	0.0350	-10.880284	0.000227	2.265982	0.383868	0.004533
   6	2.5000e-03	0.0455	-10.830679	0.000496	4.959507	0.840163	0.009921
   7	3.0000e-03	0.0549	-10.809298	0.000214	2.137719	0.362139	0.004276
   8	3.5000e-03	0.0673	-10.782357	0.000269	2.693525	0.456296	0.005388
   9	4.0000e-03	0.0743	-10.751141	0.000312	3.121069	0.528723	0.006243
  10	4.5000e-03	0.0856	-10.729332	0.000218	2.180473	0.369382	0.004362
  11	5.0000e-03	0.0976	-10.699826	0.000295	2.950052	0.499752	0.005901
  12	5.5000e-03	0.1047	-10.675451	0.000244	2.436999	0.412839	0.004875
  13	6.0000e-03	0.1170	-10.634827	0.000406	4.061665	0.688065	0.008125
  14	6.5000e-03	0.1287	-10.612590	0.000222	2.223227	0.376625	0.004447
  15	7.0000e-03	0.1354	-10.583939	0.000286	2.864543	0.485267	0.005730
  16	7.5000e-03	0.1463	-10.549302	0.000346	3.463104	0.586666	0.006928
  17	8.0000e-03	0.1586	-10.521506	0.000278	2.779034	0.470781	0.005559
  18	8.5000e-03	0.1665	-10.498414	0.000231	2.308736	0.391110	0.004618
  19	9.0000e-03	0.1752	-10.469336	0.000291	2.907297	0.492510	0.005816
  20	9.5000e-03	0.1865	-10.441540	0.000278	2.779034	0.470781	0.005559
  21	1.0000e-02	0.1992	-10.409896	0.000316	3.163824	0.535966	0.006329
  22	1.0500e-02	0.2055	-10.385094	0.000248	2.479754	0.420082	0.004960
  23	1.1000e-02	0.2162	-10.354732	0.000304	3.035560	0.514238	0.006072
  24	1.1500e-02	0.2264	-10.326937	0.000278	2.779034	0.470781	0.005559
  25	1.2000e-02	0.2380	-10.291871	0.000351	3.505859	0.593909	0.007013
  26	1.2500e-02	0.2467	-10.255523	0.000363	3.634122	0.615637	0.007270
  27	1.3000e-02	0.2555	-10.235852	0.000197	1.966701	0.333168	0.003934
  28	1.3500e-02	0.2641	-10.203353	0.000325	3.249332	0.550452	0.006500
  29	1.4000e-02	0.2753	-10.176412	0.000269	2.693525	0.456296	0.005388
  30	1.4500e-02	0.2881	-10.142202	0.000342	3.420350	0.579423	0.006842
  31	1.5000e-02	0.2955	-10.117828	0.000244	2.436999	0.412839	0.004875
  32	1.5500e-02	0.3041	-10.088749	0.000291	2.907297	0.492510	0.005816
  33	1.6000e-02	0.3160	-10.063092	0.000257	2.565262	0.434567	0.005132
  34	1.6500e-02	0.3270	-10.034013	0.000291	2.907297	0.492510	0.005816
  35	1.7000e-02	0.3361	-10.001086	0.000329	3.292087	0.557695	0.006585
  36	1.7500e-02	0.3458	-9.972008	0.000291	2.907297	0.492510	0.005816
  37	1.8000e-02	0.3543	-9.948488	0.000235	2.351490	0.398353	0.004704
  38	1.8500e-02	0.3635	-9.915133	0.000333	3.334841	0.564937	0.006671
  39	1.9000e-02	0.3749	-9.894180	0.000209	2.094964	0.354897	0.004191
  40	1.9500e-02	0.3864	-9.864246	0.000299	2.992806	0.506995	0.005987
  41	2.0000e-02	0.3947	-9.828326	0.000359	3.591367	0.608394	0.007184
  42	2.0500e-02	0.4037	-9.794115	0.000342	3.420350	0.579423	0.006842
  43	2.1000e-02	0.4137	-9.780859	0.000133	1.325386	0.224526	0.002651
  44	2.1500e-02	0.4244	-9.737241	0.000436	4.360946	0.738764	0.008724
  45	2.2000e-02	0.4368	-9.717143	0.000201	2.009456	0.340411	0.004020
  46	2.2500e-02	0.4441	-9.689775	0.000274	2.736280	0.463538	0.005474
  47	2.3000e-02	0.4574	-9.661552	0.000282	2.821789	0.478024	0.005645
  48	2.3500e-02	0.4648	-9.643164	0.000184	1.838438	0.311440	0.003678
  49	2.4000e-02	0.4768	-9.606816	0.000363	3.634122	0.615637	0.007270
  50	2.4500e-02	0.4861	-9.575171	0.000316	3.163824	0.535966	0.006329
  51	2.5000e-02	0.4963	-9.545665	0.000295	2.950052	0.499752	0.005901
  52	2.5500e-02	0.5058	-9.514449	0.000312	3.121069	0.528723	0.006243
  53	2.6000e-02	0.5145	-9.492640	0.000218	2.180473	0.369382	0.004362
  54	2.6500e-02	0.5232	-9.452871	0.000398	3.976157	0.673579	0.007954
  55	2.7000e-02	0.5349	-9.432344	0.000205	2.052210	0.347654	0.004105
  56	2.7500e-02	0.5458	-9.397707	0.000346	3.463104	0.586666	0.006928
  57	2.8000e-02	0.5578	-9.375898	0.000218	2.180473	0.369382	0.004362
  58	2.8500e-02	0.5673	-9.351523	0.000244	2.436999	0.412839	0.004875
  59	2.9000e-02	0.5756	-9.314320	0.000372	3.719630	0.630122	0.007441
  60	2.9500e-02	0.5874	-9.293366	0.000209	2.094964	0.354897	0.004191
  61	3.0000e-02	0.5952	-9.258729	0.000346	3.463104	0.586666	0.006928
  62	3.0500e-02	0.6088	-9.224091	0.000346	3.463104	0.586666	0.006928
  63	3.1000e-02	0.6165	-9.201854	0.000222	2.223227	0.376625	0.004447
  64	3.1500e-02	0.6253	-9.185177	0.000167	1.667421	0.282469	0.003335
  65	3.2000e-02	0.6363	-9.149684	0.000355	3.548613	0.601151	0.007099
  66	3.2500e-02	0.6475	-9.122744	0.000269	2.693525	0.456296	0.005388
  67	3.3000e-02	0.6563	-9.102645	0.000201	2.009456	0.340411	0.004020
  68	3.3500e-02	0.6666	-9.067153	0.000355	3.548613	0.601151	0.007099
  69	3.4000e-02	0.6767	-9.040212	0.000269	2.693525	0.456296	0.005388
  70	3.4500e-02	0.6850	-9.017548	0.000227	2.265982	0.383868	0.004533
  71	3.5000e-02	0.6978	-8.985476	0.000321	3.206578	0.543209	0.006414
  72	3.5500e-02	0.7059	-8.950838	0.000346	3.463104	0.586666	0.006928
  73	3.6000e-02	0.7137	-8.922615	0.000282	2.821789	0.478024	0.005645
  74	3.6500e-02	0.7271	-8.889688	0.000329	3.292087	0.557695	0.006585
  75	3.7000e-02	0.7373	-8.862320	0.000274	2.736280	0.463538	0.005474
  76	3.7500e-02	0.7471	-8.830676	0.000316	3.163824	0.535966	0.006329
  77	3.8000e-02	0.7572	-8.812288	0.000184	1.838438	0.311440	0.003678
  78	3.8500e-02	0.7626	-8.785775	0.000265	2.650771	0.449053	0.005303
  79	3.9000e-02	0.7769	-8.759690	0.000261	2.608017	0.441810	0.005217
  80	3.9500e-02	0.7848	-8.732322	0.000274	2.736280	0.463538	0.005474
  81	4.0000e-02	0.7961	-8.698540	0.000338	3.377595	0.572180	0.006756
  82	4.0500e-02	0.8075	-8.671172	0.000274	2.736280	0.463538	0.005474
  83	4.1000e-02	0.8161	-8.645942	0.000252	2.522508	0.427324	0.005046
  84	4.1500e-02	0.8240	-8.616863	0.000291	2.907297	0.492510	0.005816
  85	4.2000e-02	0.8356	-8.584364	0.000325	3.249332	0.550452	0.006500
  86	4.2500e-02	0.8448	-8.558278	0.000261	2.608017	0.441810	0.005217
  87	4.3000e-02	0.8560	-8.536470	0.000218	2.180473	0.369382	0.004362
  88	4.3500e-02	0.8660	-8.508674	0.000278	2.779034	0.470781	0.005559
  89	4.4000e-02	0.8765	-8.471898	0.000368	3.676876	0.622880	0.007355
  90	4.4500e-02	0.8868	-8.450089	0.000218	2.180473	0.369382	0.004362
  91	4.5000e-02	0.8966	-8.422721	0.000274	2.736280	0.463538	0.005474
  92	4.5500e-02	0.9081	-8.388511	0.000342	3.420350	0.579423	0.006842
  93	4.6000e-02	0.9161	-8.368840	0.000197	1.966701	0.333168	0.003934
  94	4.6500e-02	0.9247	-8.331637	0.000372	3.719630	0.630122	0.007441
  95	4.7000e-02	0.9380	-8.303841	0.000278	2.779034	0.470781	0.005559
  96	4.7500e-02	0.9481	-8.282460	0.000214	2.137719	0.362139	0.004276
  97	4.8000e-02	0.9569	-8.262362	0.000201	2.009456	0.340411	0.004020
  98	4.8500e-02	0.9657	-8.222165	0.000402	4.018911	0.680822	0.008039
  99	4.9000e-02	0.9751	-8.202922	0.000192	1.923947	0.325925	0.003849
 100	4.9500e-02	0.9851	-8.161015	0.000419	4.189929	0.709793	0.008381
 101	5.0000e-02	0.9978	-8.152034	0.000090	0.897842	0.152099	0.001796
 102	5.0500e-02	1.0059	-8.113548	0.000385	3.847894	0.651851	0.007697
 103	5.1000e-02	1.0172	-8.086180	0.000274	2.736280	0.463538	0.005474
 104	5.1500e-02	1.0272	-8.057102	0.000291	2.907297	0.492510	0.005816
 105	5.2000e-02	1.0345	-8.033155	0.000239	2.394245	0.405596	0.004789
 106	5.2500e-02	1.0493	-8.007925	0.000252	2.522508	0.427324	0.005046
 107	5.3000e-02	1.0556	-7.976280	0.000316	3.163824	0.535966	0.006329
 108	5.3500e-02	1.0681	-7.947630	0.000286	2.864543	0.485267	0.005730
 109	5.4000e-02	1.0765	-7.921972	0.000257	2.565262	0.434567	0.005132
 110	5.4500e-02	1.0889	-7.900163	0.000218	2.180473	0.369382	0.004362
 111	5.5000e-02	1.0956	-7.859111	0.000410	4.104420	0.695308	0.008210
