»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 12:0:9
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 11:59:43 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0036	-13.142849	0.000372	3.719517	0.630103	0.007441
   2	5.0000e-04	0.0072	-13.105646	0.000372	3.719517	0.630103	0.007441
   3	1.0000e-03	0.0187	-13.061600	0.000440	4.403566	0.745984	0.008809
   4	1.5000e-03	0.0271	-13.023542	0.000381	3.805023	0.644588	0.007612
   5	2.0000e-03	0.0366	-12.983772	0.000398	3.976035	0.673559	0.007954
   6	2.5000e-03	0.0470	-12.953411	0.000304	3.035468	0.514222	0.006072
   7	3.0000e-03	0.0555	-12.910648	0.000428	4.275307	0.724257	0.008553
   8	3.5000e-03	0.0671	-12.884991	0.000257	2.565184	0.434554	0.005132
   9	4.0000e-03	0.0786	-12.834531	0.000504	5.044862	0.854623	0.010092
  10	4.5000e-03	0.0840	-12.808874	0.000257	2.565184	0.434554	0.005132
  11	5.0000e-03	0.0957	-12.780650	0.000282	2.821703	0.478009	0.005645
  12	5.5000e-03	0.1068	-12.754993	0.000257	2.565184	0.434554	0.005132
  13	6.0000e-03	0.1144	-12.703678	0.000513	5.130368	0.869108	0.010263
  14	6.5000e-03	0.1254	-12.661771	0.000419	4.189801	0.709771	0.008381
  15	7.0000e-03	0.1364	-12.641672	0.000201	2.009394	0.340401	0.004020
  16	7.5000e-03	0.1453	-12.610456	0.000312	3.120974	0.528707	0.006243
  17	8.0000e-03	0.1566	-12.565983	0.000445	4.446319	0.753227	0.008895
  18	8.5000e-03	0.1669	-12.544174	0.000218	2.180406	0.369371	0.004362
  19	9.0000e-03	0.1781	-12.510819	0.000333	3.334739	0.564920	0.006671
  20	9.5000e-03	0.1862	-12.465063	0.000457	4.574578	0.774955	0.009151
  21	1.0000e-02	0.1991	-12.440261	0.000248	2.479678	0.420069	0.004960
  22	1.0500e-02	0.2058	-12.400492	0.000398	3.976035	0.673559	0.007954
  23	1.1000e-02	0.2145	-12.364143	0.000363	3.634011	0.615618	0.007270
  24	1.1500e-02	0.2259	-12.322236	0.000419	4.189801	0.709771	0.008381
