»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 14:21:47
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 02:21:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0050	-15.639753	0.000419	4.191303	0.710026	0.008381
   2	5.0000e-04	0.0078	-15.597846	0.000419	4.191303	0.710026	0.008381
   3	1.0000e-03	0.0153	-15.557649	0.000402	4.020230	0.681045	0.008039
   4	1.5000e-03	0.0277	-15.537123	0.000205	2.052883	0.347768	0.004105
   5	2.0000e-03	0.0356	-15.483670	0.000535	5.346050	0.905645	0.010691
   6	2.5000e-03	0.0448	-15.439197	0.000445	4.447914	0.753497	0.008895
   7	3.0000e-03	0.0565	-15.398572	0.000406	4.062998	0.688291	0.008125
   8	3.5000e-03	0.0637	-15.355382	0.000432	4.319608	0.731761	0.008638
   9	4.0000e-03	0.0748	-15.319462	0.000359	3.592546	0.608594	0.007184
  10	4.5000e-03	0.0863	-15.290811	0.000287	2.865483	0.485426	0.005730
  11	5.0000e-03	0.0965	-15.261305	0.000295	2.951020	0.499916	0.005901
  12	5.5000e-03	0.1048	-15.204858	0.000565	5.645429	0.956362	0.011289
  13	6.0000e-03	0.1161	-15.178773	0.000261	2.608872	0.441955	0.005217
  14	6.5000e-03	0.1266	-15.123609	0.000552	5.517124	0.934626	0.011033
  15	7.0000e-03	0.1352	-15.085123	0.000385	3.849156	0.652065	0.007697
  16	7.5000e-03	0.1450	-15.051341	0.000338	3.378704	0.572368	0.006756
  17	8.0000e-03	0.1552	-15.007723	0.000436	4.362377	0.739007	0.008724
  18	8.5000e-03	0.1656	-14.957691	0.000500	5.003903	0.847684	0.010006
  19	9.0000e-03	0.1755	-14.932461	0.000252	2.523336	0.427465	0.005046
  20	9.5000e-03	0.1846	-14.897396	0.000351	3.507009	0.594103	0.007013
  21	1.0000e-02	0.1949	-14.839666	0.000577	5.773734	0.978097	0.011546
  22	1.0500e-02	0.2045	-14.806311	0.000334	3.335935	0.565123	0.006671
  23	1.1000e-02	0.2158	-14.766970	0.000393	3.934693	0.666555	0.007868
  24	1.1500e-02	0.2251	-14.731905	0.000351	3.507009	0.594103	0.007013
  25	1.2000e-02	0.2375	-14.695984	0.000359	3.592546	0.608594	0.007184
  26	1.2500e-02	0.2458	-14.649800	0.000462	4.618987	0.782478	0.009237
  27	1.3000e-02	0.2556	-14.609604	0.000402	4.020230	0.681045	0.008039
