»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 15:23:36
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 03:22:26 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1505	-15.615639	0.000282	2.823765	0.478359	0.557051
   2	1.0000e-04	0.3628	-15.058587	0.000282	2.823765	0.478359	0.557051
   3	2.0000e-04	0.5344	-14.141091	0.000465	4.650908	0.787885	0.917496
   4	3.0000e-04	0.7497	-13.281849	0.000436	4.355612	0.737861	0.859242
   5	4.0000e-04	0.9445	-12.415325	0.000439	4.392524	0.744114	0.866524
   6	5.0000e-04	1.1444	-11.599773	0.000413	4.134140	0.700342	0.815552
   7	6.0000e-04	1.3516	-10.787861	0.000412	4.115684	0.697216	0.811911
   8	7.0000e-04	1.5405	-9.939542	0.000430	4.300244	0.728481	0.848320
   9	8.0000e-04	1.7441	-9.127630	0.000412	4.115684	0.697216	0.811911
  10	9.0000e-04	1.9482	-8.355768	0.000391	3.912668	0.662824	0.771862
  11	1.0000e-03	2.1463	-7.551139	0.000408	4.078772	0.690963	0.804630
  12	1.1000e-03	2.3447	-6.819326	0.000371	3.709653	0.628432	0.731812
  13	1.2000e-03	2.5528	-6.051105	0.000389	3.894212	0.659697	0.768221
  14	1.3000e-03	2.7438	-5.395751	0.000332	3.322077	0.562775	0.655354
  15	1.4000e-03	2.9514	-4.609326	0.000399	3.986492	0.675330	0.786425
  16	1.5000e-03	3.1506	-3.837464	0.000391	3.912668	0.662824	0.771862
  17	1.6000e-03	3.3450	-3.193032	0.000327	3.266709	0.553395	0.644432
  18	1.7000e-03	3.5471	-2.479424	0.000362	3.617373	0.612800	0.713608
  19	1.8000e-03	3.7558	-1.765816	0.000362	3.617373	0.612800	0.713608
  20	1.9000e-03	3.9432	-1.125025	0.000325	3.248253	0.550269	0.640791
  21	2.0000e-03	4.1507	-0.451466	0.000341	3.414357	0.578408	0.673559
  22	2.1000e-03	4.3466	0.112867	0.000286	2.860677	0.484612	0.564333
  23	2.2000e-03	4.5499	0.790066	0.000343	3.432813	0.581534	0.677200
  24	2.3000e-03	4.7449	1.405371	0.000312	3.119061	0.528383	0.615305
  25	2.4000e-03	4.9503	1.998831	0.000301	3.008325	0.509624	0.593460
  26	2.5000e-03	5.1553	2.657826	0.000334	3.340533	0.565902	0.658995
  27	2.6000e-03	5.3482	3.203955	0.000277	2.768397	0.468979	0.546129
  28	2.7000e-03	5.5515	3.790133	0.000297	2.971413	0.503371	0.586178
  29	2.8000e-03	5.7553	4.412720	0.000316	3.155973	0.534636	0.622587
  30	2.9000e-03	5.9476	4.937003	0.000266	2.657662	0.450220	0.524284
  31	3.0000e-03	6.1502	5.537745	0.000305	3.045237	0.515877	0.600742
  32	3.1000e-03	6.3550	6.094796	0.000282	2.823765	0.478359	0.557051
  33	3.2000e-03	6.5463	6.651847	0.000282	2.823765	0.478359	0.557051
  34	3.3000e-03	6.7520	7.143363	0.000249	2.491558	0.422081	0.491516
  35	3.4000e-03	6.9516	7.693132	0.000279	2.786853	0.472106	0.549770
  36	3.5000e-03	7.1500	8.242902	0.000279	2.786853	0.472106	0.549770
  37	3.6000e-03	7.3514	8.738058	0.000251	2.510014	0.425208	0.495157
  38	3.7000e-03	7.5571	9.276905	0.000273	2.731485	0.462726	0.538847
  39	3.8000e-03	7.7475	9.786625	0.000258	2.583838	0.437714	0.509720
  40	3.9000e-03	7.9498	10.249014	0.000234	2.343910	0.397069	0.462389
  41	4.0000e-03	8.1522	10.773298	0.000266	2.657662	0.450220	0.524284
  42	4.1000e-03	8.3469	11.261173	0.000247	2.473102	0.418955	0.487875
  43	4.2000e-03	8.5501	11.745407	0.000245	2.454646	0.415828	0.484234
  44	4.3000e-03	8.7460	12.247845	0.000255	2.546926	0.431461	0.502438
  45	4.4000e-03	8.9560	12.710234	0.000234	2.343910	0.397069	0.462389
  46	4.5000e-03	9.1409	13.249081	0.000273	2.731485	0.462726	0.538847
  47	4.6000e-03	9.3478	13.660498	0.000209	2.085526	0.353298	0.411417
  48	4.7000e-03	9.5508	14.152014	0.000249	2.491558	0.422081	0.491516
  49	4.8000e-03	9.7482	14.647171	0.000251	2.510014	0.425208	0.495157
