»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 14:56:51
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 02:56:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0058	-17.126921	0.000369	3.685201	0.624290	0.000037
   2	9.9500e-02	0.0092	-17.090260	0.000369	3.685201	0.624290	0.000037
   3	1.9900e-01	0.0142	-17.045860	0.000446	4.463187	0.756084	0.000045
   4	2.9850e-01	0.0243	-16.999830	0.000463	4.626974	0.783831	0.000046
   5	3.9800e-01	0.0368	-16.957874	0.000422	4.217507	0.714465	0.000042
   6	4.9750e-01	0.0446	-16.912252	0.000459	4.586027	0.776894	0.000046
   7	5.9700e-01	0.0542	-16.867851	0.000446	4.463187	0.756084	0.000045
   8	6.9650e-01	0.0647	-16.832820	0.000352	3.521414	0.596544	0.000035
   9	7.9600e-01	0.0761	-16.786790	0.000463	4.626974	0.783831	0.000046
  10	8.9550e-01	0.0836	-16.742390	0.000446	4.463187	0.756084	0.000045
  11	9.9500e-01	0.0950	-16.699619	0.000430	4.299401	0.728338	0.000043
  12	1.0945e+00	0.1057	-16.655626	0.000442	4.422241	0.749148	0.000044
  13	1.1940e+00	0.1153	-16.615706	0.000401	4.012774	0.679782	0.000040
  14	1.2935e+00	0.1246	-16.571306	0.000446	4.463187	0.756084	0.000045
  15	1.3930e+00	0.1331	-16.532201	0.000393	3.930881	0.665909	0.000039
  16	1.4925e+00	0.1441	-16.482913	0.000495	4.954548	0.839323	0.000050
  17	1.5920e+00	0.1549	-16.445437	0.000377	3.767094	0.638163	0.000038
  18	1.6915e+00	0.1652	-16.402259	0.000434	4.340347	0.735275	0.000043
  19	1.7910e+00	0.1751	-16.365191	0.000373	3.726147	0.631226	0.000037
  20	1.8905e+00	0.1821	-16.320383	0.000450	4.504134	0.763021	0.000045
  21	1.9900e+00	0.1947	-16.280463	0.000401	4.012774	0.679782	0.000040
  22	2.0895e+00	0.2036	-16.241359	0.000393	3.930881	0.665909	0.000039
  23	2.1890e+00	0.2157	-16.197773	0.000438	4.381294	0.742211	0.000044
  24	2.2885e+00	0.2243	-16.155002	0.000430	4.299401	0.728338	0.000043
  25	2.3880e+00	0.2364	-16.113453	0.000418	4.176561	0.707529	0.000042
  26	2.4875e+00	0.2421	-16.071089	0.000426	4.258454	0.721402	0.000043
  27	2.5870e+00	0.2531	-16.025874	0.000455	4.545081	0.769958	0.000045
  28	2.6865e+00	0.2653	-15.983918	0.000422	4.217507	0.714465	0.000042
  29	2.7860e+00	0.2717	-15.942369	0.000418	4.176561	0.707529	0.000042
  30	2.8855e+00	0.2830	-15.900005	0.000426	4.258454	0.721402	0.000043
  31	2.9850e+00	0.2965	-15.856827	0.000434	4.340347	0.735275	0.000043
  32	3.0845e+00	0.3040	-15.815686	0.000414	4.135614	0.700592	0.000041
  33	3.1840e+00	0.3174	-15.769249	0.000467	4.667921	0.790767	0.000047
  34	3.2835e+00	0.3252	-15.726070	0.000434	4.340347	0.735275	0.000043
  35	3.3830e+00	0.3356	-15.684114	0.000422	4.217507	0.714465	0.000042
  36	3.4825e+00	0.3451	-15.640936	0.000434	4.340347	0.735275	0.000043
  37	3.5820e+00	0.3513	-15.596128	0.000450	4.504134	0.763021	0.000045
  38	3.6815e+00	0.3642	-15.553357	0.000430	4.299401	0.728338	0.000043
  39	3.7810e+00	0.3728	-15.508142	0.000455	4.545081	0.769958	0.000045
  40	3.8805e+00	0.3848	-15.463742	0.000446	4.463187	0.756084	0.000045
  41	3.9800e+00	0.3916	-15.416490	0.000475	4.749814	0.804640	0.000047
  42	4.0795e+00	0.4041	-15.374534	0.000422	4.217507	0.714465	0.000042
  43	4.1790e+00	0.4113	-15.328504	0.000463	4.626974	0.783831	0.000046
  44	4.2785e+00	0.4224	-15.282882	0.000459	4.586027	0.776894	0.000046
  45	4.3780e+00	0.4337	-15.238074	0.000450	4.504134	0.763021	0.000045
  46	4.4775e+00	0.4409	-15.191637	0.000467	4.667921	0.790767	0.000047
  47	4.5770e+00	0.4535	-15.146829	0.000450	4.504134	0.763021	0.000045
  48	4.6765e+00	0.4633	-15.102836	0.000442	4.422241	0.749148	0.000044
  49	4.7760e+00	0.4709	-15.054770	0.000483	4.831707	0.818513	0.000048
  50	4.8755e+00	0.4819	-15.009147	0.000459	4.586027	0.776894	0.000046
  51	4.9750e+00	0.4944	-14.966376	0.000430	4.299401	0.728338	0.000043
  52	5.0745e+00	0.5024	-14.917088	0.000495	4.954548	0.839323	0.000050
  53	5.1740e+00	0.5153	-14.875132	0.000422	4.217507	0.714465	0.000042
  54	5.2735e+00	0.5235	-14.831953	0.000434	4.340347	0.735275	0.000043
  55	5.3730e+00	0.5328	-14.785516	0.000467	4.667921	0.790767	0.000047
  56	5.4725e+00	0.5451	-14.737857	0.000479	4.790761	0.811577	0.000048
  57	5.5720e+00	0.5538	-14.694272	0.000438	4.381294	0.742211	0.000044
  58	5.6715e+00	0.5633	-14.645798	0.000487	4.872654	0.825450	0.000049
  59	5.7710e+00	0.5726	-14.604656	0.000414	4.135614	0.700592	0.000041
  60	5.8705e+00	0.5822	-14.556182	0.000487	4.872654	0.825450	0.000049
  61	5.9700e+00	0.5907	-14.513004	0.000434	4.340347	0.735275	0.000043
  62	6.0695e+00	0.6018	-14.465345	0.000479	4.790761	0.811577	0.000048
  63	6.1690e+00	0.6103	-14.418501	0.000471	4.708867	0.797704	0.000047
  64	6.2685e+00	0.6252	-14.374915	0.000438	4.381294	0.742211	0.000044
  65	6.3680e+00	0.6304	-14.326441	0.000487	4.872654	0.825450	0.000049
  66	6.4675e+00	0.6439	-14.282041	0.000446	4.463187	0.756084	0.000045
  67	6.5670e+00	0.6535	-14.239270	0.000430	4.299401	0.728338	0.000043
  68	6.6665e+00	0.6628	-14.187537	0.000520	5.200228	0.880942	0.000052
  69	6.7660e+00	0.6747	-14.142730	0.000450	4.504134	0.763021	0.000045
  70	6.8655e+00	0.6806	-14.100773	0.000422	4.217507	0.714465	0.000042
  71	6.9650e+00	0.6930	-14.053522	0.000475	4.749814	0.804640	0.000047
  72	7.0645e+00	0.7010	-14.007899	0.000459	4.586027	0.776894	0.000046
  73	7.1640e+00	0.7120	-13.962277	0.000459	4.586027	0.776894	0.000046
  74	7.2635e+00	0.7235	-13.918284	0.000442	4.422241	0.749148	0.000044
  75	7.3630e+00	0.7314	-13.867773	0.000508	5.077388	0.860133	0.000051
  76	7.4625e+00	0.7426	-13.822558	0.000455	4.545081	0.769958	0.000045
  77	7.5620e+00	0.7508	-13.781010	0.000418	4.176561	0.707529	0.000042
  78	7.6615e+00	0.7632	-13.731314	0.000500	4.995494	0.846260	0.000050
  79	7.7610e+00	0.7710	-13.685284	0.000463	4.626974	0.783831	0.000046
  80	7.8605e+00	0.7810	-13.640476	0.000450	4.504134	0.763021	0.000045
  81	7.9600e+00	0.7919	-13.594039	0.000467	4.667921	0.790767	0.000047
  82	8.0595e+00	0.8031	-13.546380	0.000479	4.790761	0.811577	0.000048
  83	8.1590e+00	0.8105	-13.504831	0.000418	4.176561	0.707529	0.000042
  84	8.2585e+00	0.8208	-13.460431	0.000446	4.463187	0.756084	0.000045
  85	8.3580e+00	0.8312	-13.413994	0.000467	4.667921	0.790767	0.000047
  86	8.4575e+00	0.8405	-13.367149	0.000471	4.708867	0.797704	0.000047
  87	8.5570e+00	0.8553	-13.317861	0.000495	4.954548	0.839323	0.000050
  88	8.6565e+00	0.8610	-13.271424	0.000467	4.667921	0.790767	0.000047
  89	8.7560e+00	0.8706	-13.230690	0.000409	4.094667	0.693655	0.000041
  90	8.8555e+00	0.8800	-13.179772	0.000512	5.118334	0.867069	0.000051
  91	8.9550e+00	0.8894	-13.136594	0.000434	4.340347	0.735275	0.000043
  92	9.0545e+00	0.9014	-13.086898	0.000500	4.995494	0.846260	0.000050
  93	9.1540e+00	0.9097	-13.040053	0.000471	4.708867	0.797704	0.000047
  94	9.2535e+00	0.9226	-12.993616	0.000467	4.667921	0.790767	0.000047
  95	9.3530e+00	0.9327	-12.947994	0.000459	4.586027	0.776894	0.000046
  96	9.4525e+00	0.9412	-12.899928	0.000483	4.831707	0.818513	0.000048
  97	9.5520e+00	0.9554	-12.855935	0.000442	4.422241	0.749148	0.000044
  98	9.6515e+00	0.9611	-12.809905	0.000463	4.626974	0.783831	0.000046
  99	9.7510e+00	0.9684	-12.763875	0.000463	4.626974	0.783831	0.000046
 100	9.8505e+00	0.9803	-12.715401	0.000487	4.872654	0.825450	0.000049
 101	9.9500e+00	0.9892	-12.666520	0.000491	4.913601	0.832387	0.000049
 102	1.0050e+01	1.0046	-12.622935	0.000438	4.381294	0.742211	0.000044
 103	1.0149e+01	1.0086	-12.568758	0.000545	5.445908	0.922562	0.000054
 104	1.0248e+01	1.0206	-12.523136	0.000459	4.586027	0.776894	0.000046
 105	1.0348e+01	1.0305	-12.474255	0.000491	4.913601	0.832387	0.000049
 106	1.0447e+01	1.0412	-12.427818	0.000467	4.667921	0.790767	0.000047
 107	1.0547e+01	1.0489	-12.381788	0.000463	4.626974	0.783831	0.000046
 108	1.0646e+01	1.0609	-12.332499	0.000495	4.954548	0.839323	0.000050
 109	1.0746e+01	1.0691	-12.286877	0.000459	4.586027	0.776894	0.000046
 110	1.0845e+01	1.0793	-12.239218	0.000479	4.790761	0.811577	0.000048
 111	1.0945e+01	1.0886	-12.196040	0.000434	4.340347	0.735275	0.000043
 112	1.1044e+01	1.0998	-12.146751	0.000495	4.954548	0.839323	0.000050
 113	1.1144e+01	1.1092	-12.101944	0.000450	4.504134	0.763021	0.000045
 114	1.1243e+01	1.1181	-12.058358	0.000438	4.381294	0.742211	0.000044
 115	1.1343e+01	1.1303	-12.008255	0.000504	5.036441	0.853196	0.000050
