»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 17:31:15
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 05:29:22 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1495	-25.780913	0.000471	4.710411	0.797965	0.928419
   2	1.0000e-04	0.3416	-24.852495	0.000471	4.710411	0.797965	0.928419
   3	2.0000e-04	0.5055	-22.919199	0.000981	9.808738	1.661645	1.933295
   4	3.0000e-04	0.7281	-21.000467	0.000973	9.734849	1.649128	1.918732
   5	4.0000e-04	0.9314	-19.580533	0.000720	7.204158	1.220417	1.419935
   6	5.0000e-04	1.1429	-18.510121	0.000543	5.430827	0.920007	1.070412
   7	6.0000e-04	1.3449	-17.512526	0.000506	5.061383	0.857421	0.997595
   8	7.0000e-04	1.5271	-16.245507	0.000643	6.428325	1.088988	1.267018
   9	8.0000e-04	1.7319	-14.876545	0.000695	6.945547	1.176608	1.368962
  10	9.0000e-04	1.9373	-13.540350	0.000678	6.779297	1.148444	1.336195
  11	1.0000e-03	2.1353	-12.247845	0.000656	6.557631	1.110893	1.292504
  12	1.1000e-03	2.3413	-11.126461	0.000569	5.689437	0.963817	1.121384
  13	1.2000e-03	2.5430	-10.016000	0.000563	5.634021	0.954429	1.110462
  14	1.3000e-03	2.7322	-8.792671	0.000621	6.206659	1.051437	1.223328
  15	1.4000e-03	2.9385	-7.649442	0.000580	5.800271	0.982592	1.143229
  16	1.5000e-03	3.1378	-6.426114	0.000621	6.206659	1.051437	1.223328
  17	1.6000e-03	3.3360	-5.330216	0.000556	5.560132	0.941912	1.095898
  18	1.7000e-03	3.5379	-4.267085	0.000539	5.393882	0.913748	1.063130
  19	1.8000e-03	3.7448	-3.185750	0.000549	5.486243	0.929395	1.081335
  20	1.9000e-03	3.9322	-2.057085	0.000573	5.726382	0.970075	1.128666
  21	2.0000e-03	4.1428	-0.942982	0.000565	5.652493	0.957558	1.114102
  22	2.1000e-03	4.3369	0.047331	0.000502	5.024438	0.851163	0.990313
  23	2.2000e-03	4.5450	1.030363	0.000499	4.987494	0.844904	0.983032
  24	2.3000e-03	4.7369	2.129902	0.000558	5.578604	0.945041	1.099539
  25	2.4000e-03	4.9387	3.134778	0.000510	5.098327	0.863680	1.004877
  26	2.5000e-03	5.1486	4.143296	0.000512	5.116799	0.866809	1.008518
  27	2.6000e-03	5.3415	5.166377	0.000519	5.190688	0.879326	1.023081
  28	2.7000e-03	5.5420	6.043824	0.000445	4.451800	0.754155	0.877447
  29	2.8000e-03	5.7419	7.045060	0.000508	5.079855	0.860551	1.001236
  30	2.9000e-03	5.9402	7.984401	0.000477	4.765828	0.807353	0.939341
