»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 18:13:51
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 06:12:59 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0064	-11.791549	0.000307	3.070579	0.520170	0.000031
   2	9.9500e-02	0.0024	-11.760998	0.000307	3.070579	0.520170	0.000031
   3	1.9900e-01	0.0155	-11.731262	0.000299	2.988697	0.506299	0.000030
   4	2.9850e-01	0.0284	-11.699489	0.000319	3.193402	0.540977	0.000032
   5	3.9800e-01	0.0343	-11.674234	0.000254	2.538345	0.430007	0.000025
   6	4.9750e-01	0.0466	-11.639610	0.000348	3.479989	0.589526	0.000035
   7	5.9700e-01	0.0562	-11.605800	0.000340	3.398107	0.575655	0.000034
   8	6.9650e-01	0.0635	-11.576472	0.000295	2.947756	0.499363	0.000029
   9	7.9600e-01	0.0758	-11.548772	0.000278	2.783991	0.471621	0.000028
  10	8.9550e-01	0.0835	-11.513334	0.000356	3.561871	0.603397	0.000036
  11	9.9500e-01	0.0950	-11.481968	0.000315	3.152461	0.534041	0.000032
  12	1.0945e+00	0.1032	-11.452640	0.000295	2.947756	0.499363	0.000029
  13	1.1940e+00	0.1183	-11.418423	0.000344	3.439048	0.582591	0.000034
  14	1.2935e+00	0.1250	-11.391538	0.000270	2.702109	0.457750	0.000027
  15	1.3930e+00	0.1374	-11.361395	0.000303	3.029638	0.513235	0.000030
  16	1.4925e+00	0.1469	-11.331659	0.000299	2.988697	0.506299	0.000030
  17	1.5920e+00	0.1552	-11.301923	0.000299	2.988697	0.506299	0.000030
  18	1.6915e+00	0.1640	-11.276260	0.000258	2.579286	0.436943	0.000026
  19	1.7910e+00	0.1752	-11.247746	0.000287	2.865873	0.485492	0.000029
  20	1.8905e+00	0.1833	-11.213529	0.000344	3.439048	0.582591	0.000034
  21	1.9900e+00	0.1955	-11.184201	0.000295	2.947756	0.499363	0.000029
  22	2.0895e+00	0.2042	-11.156094	0.000282	2.824932	0.478557	0.000028
  23	2.1890e+00	0.2151	-11.128395	0.000278	2.783991	0.471621	0.000028
  24	2.2885e+00	0.2264	-11.095807	0.000328	3.275284	0.554848	0.000033
  25	2.3880e+00	0.2357	-11.063220	0.000328	3.275284	0.554848	0.000033
  26	2.4875e+00	0.2419	-11.030225	0.000332	3.316225	0.561784	0.000033
  27	2.5870e+00	0.2534	-11.003748	0.000266	2.661168	0.450814	0.000027
  28	2.6865e+00	0.2637	-10.969939	0.000340	3.398107	0.575655	0.000034
  29	2.7860e+00	0.2725	-10.943461	0.000266	2.661168	0.450814	0.000027
  30	2.8855e+00	0.2837	-10.910467	0.000332	3.316225	0.561784	0.000033
  31	2.9850e+00	0.2953	-10.884397	0.000262	2.620227	0.443879	0.000026
  32	3.0845e+00	0.3018	-10.852217	0.000323	3.234343	0.547913	0.000032
  33	3.1840e+00	0.3158	-10.822888	0.000295	2.947756	0.499363	0.000029
  34	3.2835e+00	0.3237	-10.794374	0.000287	2.865873	0.485492	0.000029
