»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 14:43:30
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 02:43:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0041	-15.181553	0.000094	0.940707	0.159360	0.001882
   2	5.0000e-04	0.0028	-15.172145	0.000094	0.940707	0.159360	0.001882
   3	1.0000e-03	0.0193	-15.156323	0.000158	1.582099	0.268015	0.003164
   4	1.5000e-03	0.0234	-15.126816	0.000295	2.950401	0.499811	0.005901
   5	2.0000e-03	0.0354	-15.094745	0.000321	3.206957	0.543273	0.006414
   6	2.5000e-03	0.0455	-15.051127	0.000436	4.361462	0.738852	0.008724
   7	3.0000e-03	0.0546	-15.026752	0.000244	2.437287	0.412888	0.004875
   8	3.5000e-03	0.0646	-14.978858	0.000479	4.789056	0.811288	0.009579
   9	4.0000e-03	0.0735	-14.948924	0.000299	2.993160	0.507055	0.005987
  10	4.5000e-03	0.0854	-14.908300	0.000406	4.062146	0.688146	0.008125
  11	5.0000e-03	0.0954	-14.867676	0.000406	4.062146	0.688146	0.008125
  12	5.5000e-03	0.1015	-14.831755	0.000359	3.591792	0.608466	0.007184
  13	6.0000e-03	0.1146	-14.780012	0.000517	5.173891	0.876481	0.010349
  14	6.5000e-03	0.1236	-14.741526	0.000385	3.848349	0.651928	0.007697
  15	7.0000e-03	0.1343	-14.694060	0.000475	4.746297	0.804044	0.009493
  16	7.5000e-03	0.1435	-14.664554	0.000295	2.950401	0.499811	0.005901
  17	8.0000e-03	0.1549	-14.619225	0.000453	4.532499	0.767826	0.009066
  18	8.5000e-03	0.1640	-14.569621	0.000496	4.960094	0.840263	0.009921
  19	9.0000e-03	0.1748	-14.533273	0.000363	3.634551	0.615710	0.007270
  20	9.5000e-03	0.1833	-14.486234	0.000470	4.703537	0.796801	0.009408
  21	1.0000e-02	0.1948	-14.446892	0.000393	3.933867	0.666415	0.007868
  22	1.0500e-02	0.2056	-14.406268	0.000406	4.062146	0.688146	0.008125
  23	1.1000e-02	0.2155	-14.363933	0.000423	4.233183	0.717121	0.008467
  24	1.1500e-02	0.2255	-14.323736	0.000402	4.019386	0.680902	0.008039
