»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 15:7:53
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 03:07:02 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0031	-16.754786	0.000389	3.892489	0.659405	0.007783
   2	5.0000e-04	0.0072	-16.715872	0.000389	3.892489	0.659405	0.007783
   3	1.0000e-03	0.0175	-16.649590	0.000663	6.630063	1.123163	0.013256
   4	1.5000e-03	0.0230	-16.625215	0.000244	2.438152	0.413034	0.004875
   5	2.0000e-03	0.0310	-16.586729	0.000385	3.849714	0.652159	0.007697
   6	2.5000e-03	0.0450	-16.514888	0.000719	7.186133	1.217364	0.014368
   7	3.0000e-03	0.0559	-16.487092	0.000278	2.780349	0.471004	0.005559
   8	3.5000e-03	0.0661	-16.430646	0.000565	5.646247	0.956500	0.011289
   9	4.0000e-03	0.0765	-16.404561	0.000261	2.609251	0.442019	0.005217
  10	4.5000e-03	0.0870	-16.356667	0.000479	4.790755	0.811576	0.009579
  11	5.0000e-03	0.0938	-16.312621	0.000441	4.405784	0.746360	0.008809
  12	5.5000e-03	0.1057	-16.285681	0.000269	2.694800	0.456511	0.005388
  13	6.0000e-03	0.1144	-16.226241	0.000595	5.945670	1.007224	0.011888
  14	6.5000e-03	0.1254	-16.178775	0.000475	4.747981	0.804330	0.009493
  15	7.0000e-03	0.1355	-16.144137	0.000346	3.464743	0.586943	0.006928
  16	7.5000e-03	0.1450	-16.102230	0.000419	4.191911	0.710129	0.008381
  17	8.0000e-03	0.1575	-16.068447	0.000338	3.379194	0.572451	0.006756
  18	8.5000e-03	0.1629	-16.020981	0.000475	4.747981	0.804330	0.009493
  19	9.0000e-03	0.1764	-15.974797	0.000462	4.619657	0.782591	0.009237
  20	9.5000e-03	0.1855	-15.927331	0.000475	4.747981	0.804330	0.009493
  21	1.0000e-02	0.1973	-15.889272	0.000381	3.806940	0.644913	0.007612
  22	1.0500e-02	0.2047	-15.840523	0.000488	4.876305	0.826068	0.009750
  23	1.1000e-02	0.2139	-15.809306	0.000312	3.122546	0.528974	0.006243
  24	1.1500e-02	0.2269	-15.747728	0.000616	6.159543	1.043455	0.012316
  25	1.2000e-02	0.2364	-15.713518	0.000342	3.421968	0.579697	0.006842
  26	1.2500e-02	0.2438	-15.672894	0.000406	4.063587	0.688390	0.008125
  27	1.3000e-02	0.2522	-15.632697	0.000402	4.020813	0.681144	0.008039
  28	1.3500e-02	0.2667	-15.582665	0.000500	5.004628	0.847807	0.010006
  29	1.4000e-02	0.2746	-15.540758	0.000419	4.191911	0.710129	0.008381
  30	1.4500e-02	0.2849	-15.498850	0.000419	4.191911	0.710129	0.008381
  31	1.5000e-02	0.2943	-15.453095	0.000458	4.576882	0.775345	0.009151
  32	1.5500e-02	0.3052	-15.405201	0.000479	4.790755	0.811576	0.009579
  33	1.6000e-02	0.3181	-15.382536	0.000227	2.267054	0.384049	0.004533
  34	1.6500e-02	0.3256	-15.329511	0.000530	5.304051	0.898531	0.010605
  35	1.7000e-02	0.3324	-15.278196	0.000513	5.132952	0.869546	0.010263
  36	1.7500e-02	0.3448	-15.242703	0.000355	3.550292	0.601436	0.007099
  37	1.8000e-02	0.3563	-15.189250	0.000535	5.346825	0.905777	0.010691
  38	1.8500e-02	0.3669	-15.161454	0.000278	2.780349	0.471004	0.005559
  39	1.9000e-02	0.3777	-15.120830	0.000406	4.063587	0.688390	0.008125
  40	1.9500e-02	0.3862	-15.082771	0.000381	3.806940	0.644913	0.007612
  41	2.0000e-02	0.3960	-15.027607	0.000552	5.517924	0.934762	0.011033
  42	2.0500e-02	0.4078	-14.986983	0.000406	4.063587	0.688390	0.008125
  43	2.1000e-02	0.4173	-14.936523	0.000505	5.047403	0.855053	0.010092
  44	2.1500e-02	0.4246	-14.910438	0.000261	2.609251	0.442019	0.005217
  45	2.2000e-02	0.4370	-14.863827	0.000466	4.662432	0.789837	0.009322
  46	2.2500e-02	0.4450	-14.816788	0.000471	4.705206	0.797084	0.009408
  47	2.3000e-02	0.4581	-14.765045	0.000518	5.175727	0.876792	0.010349
  48	2.3500e-02	0.4657	-14.725704	0.000394	3.935263	0.666652	0.007868
  49	2.4000e-02	0.4764	-14.679948	0.000458	4.576882	0.775345	0.009151
  50	2.4500e-02	0.4842	-14.649159	0.000308	3.079771	0.521727	0.006158
  51	2.5000e-02	0.4966	-14.594423	0.000548	5.475149	0.927515	0.010947
  52	2.5500e-02	0.5066	-14.553799	0.000406	4.063587	0.688390	0.008125
  53	2.6000e-02	0.5159	-14.512747	0.000411	4.106362	0.695637	0.008210
  54	2.6500e-02	0.5257	-14.470412	0.000423	4.234686	0.717375	0.008467
  55	2.7000e-02	0.5349	-14.419097	0.000513	5.132952	0.869546	0.010263
  56	2.7500e-02	0.5446	-14.388308	0.000308	3.079771	0.521727	0.006158
  57	2.8000e-02	0.5566	-14.331861	0.000565	5.646247	0.956500	0.011289
  58	2.8500e-02	0.5690	-14.299789	0.000321	3.208095	0.543466	0.006414
  59	2.9000e-02	0.5775	-14.245481	0.000543	5.432374	0.920269	0.010862
  60	2.9500e-02	0.5858	-14.207850	0.000376	3.764165	0.637667	0.007526
  61	3.0000e-02	0.5969	-14.159956	0.000479	4.790755	0.811576	0.009579
  62	3.0500e-02	0.6067	-14.125746	0.000342	3.421968	0.579697	0.006842
  63	3.1000e-02	0.6142	-14.091963	0.000338	3.379194	0.572451	0.006756
  64	3.1500e-02	0.6262	-14.038938	0.000530	5.304051	0.898531	0.010605
  65	3.2000e-02	0.6355	-13.998313	0.000406	4.063587	0.688390	0.008125
  66	3.2500e-02	0.6459	-13.955978	0.000423	4.234686	0.717375	0.008467
  67	3.3000e-02	0.6564	-13.917492	0.000385	3.849714	0.652159	0.007697
  68	3.3500e-02	0.6649	-13.864894	0.000526	5.261276	0.891284	0.010520
  69	3.4000e-02	0.6750	-13.816145	0.000488	4.876305	0.826068	0.009750
  70	3.4500e-02	0.6863	-13.781080	0.000351	3.507517	0.594190	0.007013
  71	3.5000e-02	0.6937	-13.745587	0.000355	3.550292	0.601436	0.007099
  72	3.5500e-02	0.7043	-13.698548	0.000471	4.705206	0.797084	0.009408
  73	3.6000e-02	0.7173	-13.663055	0.000355	3.550292	0.601436	0.007099
  74	3.6500e-02	0.7282	-13.612595	0.000505	5.047403	0.855053	0.010092
  75	3.7000e-02	0.7365	-13.575392	0.000372	3.721390	0.630421	0.007441
  76	3.7500e-02	0.7440	-13.529208	0.000462	4.619657	0.782591	0.009237
  77	3.8000e-02	0.7561	-13.494571	0.000346	3.464743	0.586943	0.006928
  78	3.8500e-02	0.7669	-13.444539	0.000500	5.004628	0.847807	0.010006
  79	3.9000e-02	0.7768	-13.403914	0.000406	4.063587	0.688390	0.008125
  80	3.9500e-02	0.7873	-13.365856	0.000381	3.806940	0.644913	0.007612
  81	4.0000e-02	0.7980	-13.322665	0.000432	4.320235	0.731868	0.008638
