»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/25/2025 - 14:51:11
Configured:	06/25/25 10:44:40 AM
Executed:	06/25/25 02:50:41 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-116
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0045	-16.047463	0.000401	4.013877	0.679969	0.000040
   2	9.9500e-02	0.0063	-16.007544	0.000401	4.013877	0.679969	0.000040
   3	1.9900e-01	0.0207	-15.963551	0.000442	4.423456	0.749354	0.000044
   4	2.9850e-01	0.0266	-15.920373	0.000434	4.341540	0.735477	0.000043
   5	3.9800e-01	0.0353	-15.875565	0.000451	4.505372	0.763231	0.000045
   6	4.9750e-01	0.0452	-15.831572	0.000442	4.423456	0.749354	0.000044
   7	5.9700e-01	0.0575	-15.792467	0.000393	3.931961	0.666092	0.000039
   8	6.9650e-01	0.0658	-15.749289	0.000434	4.341540	0.735477	0.000043
   9	7.9600e-01	0.0732	-15.706925	0.000426	4.259624	0.721600	0.000043
  10	8.9550e-01	0.0852	-15.662117	0.000451	4.505372	0.763231	0.000045
  11	9.9500e-01	0.0948	-15.618939	0.000434	4.341540	0.735477	0.000043
  12	1.0945e+00	0.1067	-15.574946	0.000442	4.423456	0.749354	0.000044
  13	1.1940e+00	0.1148	-15.533397	0.000418	4.177708	0.707723	0.000042
  14	1.2935e+00	0.1259	-15.490626	0.000430	4.300582	0.728538	0.000043
  15	1.3930e+00	0.1347	-15.445819	0.000451	4.505372	0.763231	0.000045
  16	1.4925e+00	0.1468	-15.401011	0.000451	4.505372	0.763231	0.000045
  17	1.5920e+00	0.1569	-15.355388	0.000459	4.587288	0.777108	0.000046
  18	1.6915e+00	0.1654	-15.309766	0.000459	4.587288	0.777108	0.000046
  19	1.7910e+00	0.1720	-15.269032	0.000410	4.095793	0.693846	0.000041
  20	1.8905e+00	0.1874	-15.224224	0.000451	4.505372	0.763231	0.000045
  21	1.9900e+00	0.1930	-15.179009	0.000455	4.546330	0.770169	0.000045
  22	2.0895e+00	0.2066	-15.138682	0.000405	4.054835	0.686908	0.000041
  23	2.1890e+00	0.2151	-15.097948	0.000410	4.095793	0.693846	0.000041
  24	2.2885e+00	0.2253	-15.055177	0.000430	4.300582	0.728538	0.000043
