»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 12:48:20
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 12:47:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0038	-10.472971	0.000359	3.590311	0.608215	0.007184
   2	5.0000e-04	0.0030	-10.437050	0.000359	3.590311	0.608215	0.007184
   3	1.0000e-03	0.0144	-10.420800	0.000162	1.624188	0.275145	0.003250
   4	1.5000e-03	0.0280	-10.416096	0.000047	0.470160	0.079647	0.000941
   5	2.0000e-03	0.0356	-10.374189	0.000419	4.188696	0.709584	0.008381
   6	2.5000e-03	0.0457	-10.355374	0.000188	1.880639	0.318589	0.003763
   7	3.0000e-03	0.0570	-10.336986	0.000184	1.837897	0.311348	0.003678
   8	3.5000e-03	0.0662	-10.298927	0.000380	3.804020	0.644418	0.007612
   9	4.0000e-03	0.0770	-10.298499	0.000004	0.042742	0.007241	0.000086
  10	4.5000e-03	0.0859	-10.258303	0.000402	4.017729	0.680622	0.008039
  11	5.0000e-03	0.0937	-10.235639	0.000227	2.265315	0.383755	0.004533
  12	5.5000e-03	0.1068	-10.207843	0.000278	2.778217	0.470643	0.005559
  13	6.0000e-03	0.1173	-10.202711	0.000051	0.512902	0.086888	0.001026
  14	6.5000e-03	0.1250	-10.177482	0.000252	2.521766	0.427199	0.005046
  15	7.0000e-03	0.1336	-10.164225	0.000132	1.324996	0.224460	0.002651
  16	7.5000e-03	0.1461	-10.144127	0.000201	2.008865	0.340311	0.004020
  17	8.0000e-03	0.1589	-10.111200	0.000329	3.291118	0.557531	0.006585
  18	8.5000e-03	0.1646	-10.083404	0.000278	2.778217	0.470643	0.005559
  19	9.0000e-03	0.1741	-10.060312	0.000231	2.308057	0.390995	0.004618
  20	9.5000e-03	0.1849	-10.039359	0.000209	2.094348	0.354792	0.004191
  21	1.0000e-02	0.1962	-10.020115	0.000192	1.923381	0.325830	0.003849
  22	1.0500e-02	0.2053	-10.010280	0.000098	0.983061	0.166535	0.001967
  23	1.1000e-02	0.2161	-9.961531	0.000487	4.872565	0.825435	0.009750
  24	1.1500e-02	0.2258	-9.934590	0.000269	2.692733	0.456161	0.005388
  25	1.2000e-02	0.2362	-9.925610	0.000090	0.897578	0.152054	0.001796
  26	1.2500e-02	0.2460	-9.906367	0.000192	1.923381	0.325830	0.003849
  27	1.3000e-02	0.2533	-9.882420	0.000239	2.393541	0.405477	0.004789
  28	1.3500e-02	0.2663	-9.842223	0.000402	4.017729	0.680622	0.008039
  29	1.4000e-02	0.2763	-9.835809	0.000064	0.641127	0.108610	0.001283
  30	1.4500e-02	0.2856	-9.814000	0.000218	2.179832	0.369273	0.004362
  31	1.5000e-02	0.2973	-9.781073	0.000329	3.291118	0.557531	0.006585
  32	1.5500e-02	0.3075	-9.752422	0.000286	2.863700	0.485124	0.005730
  33	1.6000e-02	0.3154	-9.734462	0.000180	1.795156	0.304108	0.003592
  34	1.6500e-02	0.3257	-9.701535	0.000329	3.291118	0.557531	0.006585
  35	1.7000e-02	0.3367	-9.689561	0.000120	1.196770	0.202738	0.002395
  36	1.7500e-02	0.3451	-9.680153	0.000094	0.940320	0.159294	0.001882
  37	1.8000e-02	0.3564	-9.631404	0.000487	4.872565	0.825435	0.009750
  38	1.8500e-02	0.3701	-9.621996	0.000094	0.940320	0.159294	0.001882
  39	1.9000e-02	0.3742	-9.598049	0.000239	2.393541	0.405477	0.004789
  40	1.9500e-02	0.3873	-9.577951	0.000201	2.008865	0.340311	0.004020
  41	2.0000e-02	0.3959	-9.569398	0.000085	0.854836	0.144813	0.001711
  42	2.0500e-02	0.4061	-9.534333	0.000350	3.504827	0.593734	0.007013
  43	2.1000e-02	0.4147	-9.513807	0.000205	2.051606	0.347552	0.004105
  44	2.1500e-02	0.4255	-9.489005	0.000248	2.479024	0.419958	0.004960
  45	2.2000e-02	0.4373	-9.461209	0.000278	2.778217	0.470643	0.005559
  46	2.2500e-02	0.4451	-9.450946	0.000103	1.025803	0.173776	0.002053
  47	2.3000e-02	0.4572	-9.408611	0.000423	4.231438	0.716825	0.008467
  48	2.3500e-02	0.4668	-9.401342	0.000073	0.726611	0.123091	0.001454
  49	2.4000e-02	0.4769	-9.378678	0.000227	2.265315	0.383755	0.004533
  50	2.4500e-02	0.4871	-9.344895	0.000338	3.376602	0.572012	0.006756
  51	2.5000e-02	0.4951	-9.299994	0.000449	4.487889	0.760269	0.008980
  52	2.5500e-02	0.5066	-9.294435	0.000056	0.555643	0.094129	0.001112
  53	2.6000e-02	0.5170	-9.285883	0.000085	0.854836	0.144813	0.001711
  54	2.6500e-02	0.5283	-9.267067	0.000188	1.880639	0.318589	0.003763
  55	2.7000e-02	0.5392	-9.233285	0.000338	3.376602	0.572012	0.006756
  56	2.7500e-02	0.5474	-9.213187	0.000201	2.008865	0.340311	0.004020
  57	2.8000e-02	0.5573	-9.188812	0.000244	2.436283	0.412717	0.004875
  58	2.8500e-02	0.5662	-9.152464	0.000363	3.633053	0.615456	0.007270
  59	2.9000e-02	0.5766	-9.132793	0.000197	1.966123	0.333070	0.003934
  60	2.9500e-02	0.5855	-9.118254	0.000145	1.453221	0.246182	0.002908
  61	3.0000e-02	0.5959	-9.099438	0.000188	1.880639	0.318589	0.003763
  62	3.0500e-02	0.6051	-9.060524	0.000389	3.889504	0.658900	0.007783
  63	3.1000e-02	0.6163	-9.039998	0.000205	2.051606	0.347552	0.004105
  64	3.1500e-02	0.6255	-9.016051	0.000239	2.393541	0.405477	0.004789
  65	3.2000e-02	0.6397	-9.018617	-0.000026	-0.256451	-0.043444	-0.000513
  66	3.2500e-02	0.6462	-8.981841	0.000368	3.675795	0.622696	0.007355
  67	3.3000e-02	0.6552	-8.963026	0.000188	1.880639	0.318589	0.003763
  68	3.3500e-02	0.6654	-8.929243	0.000338	3.376602	0.572012	0.006756
  69	3.4000e-02	0.6760	-8.901448	0.000278	2.778217	0.470643	0.005559
  70	3.4500e-02	0.6868	-8.873224	0.000282	2.820959	0.477883	0.005645
  71	3.5000e-02	0.6947	-8.853981	0.000192	1.923381	0.325830	0.003849
  72	3.5500e-02	0.7086	-8.838587	0.000154	1.538705	0.260664	0.003079
  73	3.6000e-02	0.7205	-8.814640	0.000239	2.393541	0.405477	0.004789
  74	3.6500e-02	0.7237	-8.793686	0.000209	2.094348	0.354792	0.004191
  75	3.7000e-02	0.7374	-8.761614	0.000321	3.205635	0.543049	0.006414
  76	3.7500e-02	0.7462	-8.758193	0.000034	0.341934	0.057925	0.000684
  77	3.8000e-02	0.7578	-8.718852	0.000393	3.932245	0.666140	0.007868
  78	3.8500e-02	0.7680	-8.703885	0.000150	1.495963	0.253423	0.002993
  79	3.9000e-02	0.7768	-8.705168	-0.000013	-0.128225	-0.021722	-0.000257
  80	3.9500e-02	0.7810	-8.669247	0.000359	3.590311	0.608215	0.007184
  81	4.0000e-02	0.7965	-8.622636	0.000466	4.658856	0.789232	0.009322
  82	4.0500e-02	0.8092	-8.622636	0.000000	0.000000	0.000000	0.000000
  83	4.1000e-02	0.8181	-8.579446	0.000432	4.316922	0.731306	0.008638
  84	4.1500e-02	0.8246	-8.582867	-0.000034	-0.341934	-0.057925	-0.000684
  85	4.2000e-02	0.8345	-8.538821	0.000440	4.402405	0.745788	0.008809
  86	4.2500e-02	0.8459	-8.527276	0.000115	1.154029	0.195498	0.002309
  87	4.3000e-02	0.8565	-8.482375	0.000449	4.487889	0.760269	0.008980
  88	4.3500e-02	0.8665	-8.473822	0.000085	0.854836	0.144813	0.001711
  89	4.4000e-02	0.8801	-8.464842	0.000090	0.897578	0.152054	0.001796
  90	4.4500e-02	0.8850	-8.434053	0.000308	3.077409	0.521327	0.006158
  91	4.5000e-02	0.9002	-8.407541	0.000265	2.649992	0.448921	0.005303
  92	4.5500e-02	0.9088	-8.394284	0.000132	1.324996	0.224460	0.002651
  93	4.6000e-02	0.9174	-8.365633	0.000286	2.863700	0.485124	0.005730
  94	4.6500e-02	0.9267	-8.350666	0.000150	1.495963	0.253423	0.002993
  95	4.7000e-02	0.9360	-8.332278	0.000184	1.837897	0.311348	0.003678
  96	4.7500e-02	0.9485	-8.279681	0.000526	5.257241	0.890601	0.010520
  97	4.8000e-02	0.9563	-8.265997	0.000137	1.367738	0.231701	0.002737
  98	4.8500e-02	0.9676	-8.233925	0.000321	3.205635	0.543049	0.006414
  99	4.9000e-02	0.9750	-8.212116	0.000218	2.179832	0.369273	0.004362
 100	4.9500e-02	0.9869	-8.192017	0.000201	2.008865	0.340311	0.004020
 101	5.0000e-02	0.9979	-8.170208	0.000218	2.179832	0.369273	0.004362
 102	5.0500e-02	1.0075	-8.150538	0.000197	1.966123	0.333070	0.003934
 103	5.1000e-02	1.0155	-8.150965	-0.000004	-0.042742	-0.007241	-0.000086
 104	5.1500e-02	1.0263	-8.110769	0.000402	4.017729	0.680622	0.008039
 105	5.2000e-02	1.0389	-8.079980	0.000308	3.077409	0.521327	0.006158
 106	5.2500e-02	1.0466	-8.056033	0.000239	2.393541	0.405477	0.004789
 107	5.3000e-02	1.0554	-8.026099	0.000299	2.991926	0.506846	0.005987
 108	5.3500e-02	1.0664	-8.014553	0.000115	1.154029	0.195498	0.002309
 109	5.4000e-02	1.0757	-7.997876	0.000167	1.666930	0.282386	0.003335
 110	5.4500e-02	1.0844	-7.965804	0.000321	3.205635	0.543049	0.006414
 111	5.5000e-02	1.0954	-7.953830	0.000120	1.196770	0.202738	0.002395
 112	5.5500e-02	1.1045	-7.923469	0.000303	3.034668	0.514087	0.006072
 113	5.6000e-02	1.1159	-7.905081	0.000184	1.837897	0.311348	0.003678
 114	5.6500e-02	1.1261	-7.866167	0.000389	3.889504	0.658900	0.007783
 115	5.7000e-02	1.1379	-7.842648	0.000235	2.350799	0.398236	0.004704
 116	5.7500e-02	1.1467	-7.828964	0.000137	1.367738	0.231701	0.002737
 117	5.8000e-02	1.1599	-7.805444	0.000235	2.350799	0.398236	0.004704
 118	5.8500e-02	1.1671	-7.784490	0.000209	2.094348	0.354792	0.004191
 119	5.9000e-02	1.1771	-7.762682	0.000218	2.179832	0.369273	0.004362
 120	5.9500e-02	1.1851	-7.731465	0.000312	3.120151	0.528568	0.006243
 121	6.0000e-02	1.1975	-7.720347	0.000111	1.111287	0.188257	0.002224
 122	6.0500e-02	1.2089	-7.686564	0.000338	3.376602	0.572012	0.006756
 123	6.1000e-02	1.2168	-7.670742	0.000158	1.581447	0.267904	0.003164
 124	6.1500e-02	1.2276	-7.633111	0.000376	3.761278	0.637178	0.007526
 125	6.2000e-02	1.2385	-7.624986	0.000081	0.812094	0.137572	0.001625
 126	6.2500e-02	1.2463	-7.612158	0.000128	1.282254	0.217220	0.002566
 127	6.3000e-02	1.2596	-7.581368	0.000308	3.077409	0.521327	0.006158
 128	6.3500e-02	1.2682	-7.569823	0.000115	1.154029	0.195498	0.002309
 129	6.4000e-02	1.2764	-7.539034	0.000308	3.077409	0.521327	0.006158
 130	6.4500e-02	1.2872	-7.514659	0.000244	2.436283	0.412717	0.004875
 131	6.5000e-02	1.2994	-7.456930	0.000577	5.770143	0.977489	0.011546
 132	6.5500e-02	1.3038	-7.463344	-0.000064	-0.641127	-0.108610	-0.001283
 133	6.6000e-02	1.3177	-7.426996	0.000363	3.633053	0.615456	0.007270
 134	6.6500e-02	1.3261	-7.411601	0.000154	1.538705	0.260664	0.003079
 135	6.7000e-02	1.3402	-7.391930	0.000197	1.966123	0.333070	0.003934
 136	6.7500e-02	1.3466	-7.373543	0.000184	1.837897	0.311348	0.003678
 137	6.8000e-02	1.3541	-7.333346	0.000402	4.017729	0.680622	0.008039
 138	6.8500e-02	1.3691	-7.329070	0.000043	0.427418	0.072407	0.000855
 139	6.9000e-02	1.3744	-7.304267	0.000248	2.479024	0.419958	0.004960
 140	6.9500e-02	1.3858	-7.288018	0.000162	1.624188	0.275145	0.003250
 141	7.0000e-02	1.3981	-7.255946	0.000321	3.205635	0.543049	0.006414
 142	7.0500e-02	1.4061	-7.247393	0.000085	0.854836	0.144813	0.001711
 143	7.1000e-02	1.4156	-7.217887	0.000295	2.949184	0.499605	0.005901
 144	7.1500e-02	1.4256	-7.191374	0.000265	2.649992	0.448921	0.005303
 145	7.2000e-02	1.4345	-7.173414	0.000180	1.795156	0.304108	0.003592
 146	7.2500e-02	1.4471	-7.133217	0.000402	4.017729	0.680622	0.008039
 147	7.3000e-02	1.4558	-7.126375	0.000068	0.683869	0.115851	0.001368
 148	7.3500e-02	1.4651	-7.086606	0.000397	3.974987	0.673381	0.007954
 149	7.4000e-02	1.4752	-7.063087	0.000235	2.350799	0.398236	0.004704
 150	7.4500e-02	1.4865	-7.053679	0.000094	0.940320	0.159294	0.001882
 151	7.5000e-02	1.4960	-7.028021	0.000256	2.564508	0.434439	0.005132
 152	7.5500e-02	1.5067	-7.020324	0.000077	0.769352	0.130332	0.001539
 153	7.6000e-02	1.5161	-6.987825	0.000325	3.248377	0.550290	0.006500
 154	7.6500e-02	1.5247	-6.966016	0.000218	2.179832	0.369273	0.004362
 155	7.7000e-02	1.5348	-6.930523	0.000355	3.547569	0.600975	0.007099
 156	7.7500e-02	1.5439	-6.915984	0.000145	1.453221	0.246182	0.002908
 157	7.8000e-02	1.5564	-6.888616	0.000274	2.735475	0.463402	0.005474
 158	7.8500e-02	1.5637	-6.862530	0.000261	2.607250	0.441680	0.005217
 159	7.9000e-02	1.5768	-6.854406	0.000081	0.812094	0.137572	0.001625
 160	7.9500e-02	1.5858	-6.815064	0.000393	3.932245	0.666140	0.007868
 161	8.0000e-02	1.5974	-6.813781	0.000013	0.128225	0.021722	0.000257
 162	8.0500e-02	1.6044	-6.775722	0.000380	3.804020	0.644418	0.007612
 163	8.1000e-02	1.6164	-6.749210	0.000265	2.649992	0.448921	0.005303
 164	8.1500e-02	1.6279	-6.732105	0.000171	1.709672	0.289626	0.003421
 165	8.2000e-02	1.6375	-6.706875	0.000252	2.521766	0.427199	0.005046
 166	8.2500e-02	1.6463	-6.699178	0.000077	0.769352	0.130332	0.001539
 167	8.3000e-02	1.6571	-6.654277	0.000449	4.487889	0.760269	0.008980
 168	8.3500e-02	1.6663	-6.626481	0.000278	2.778217	0.470643	0.005559
 169	8.4000e-02	1.6754	-6.633751	-0.000073	-0.726611	-0.123091	-0.001454
 170	8.4500e-02	1.6852	-6.587567	0.000462	4.616114	0.781991	0.009237
 171	8.5000e-02	1.6974	-6.563620	0.000239	2.393541	0.405477	0.004789
 172	8.5500e-02	1.7059	-6.537535	0.000261	2.607250	0.441680	0.005217
 173	8.6000e-02	1.7159	-6.538390	-0.000009	-0.085484	-0.014481	-0.000171
 174	8.6500e-02	1.7271	-6.512305	0.000261	2.607250	0.441680	0.005217
 175	8.7000e-02	1.7338	-6.491779	0.000205	2.051606	0.347552	0.004105
 176	8.7500e-02	1.7465	-6.461418	0.000303	3.034668	0.514087	0.006072
 177	8.8000e-02	1.7574	-6.452438	0.000090	0.897578	0.152054	0.001796
 178	8.8500e-02	1.7667	-6.398557	0.000539	5.385467	0.912323	0.010776
