»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 14:30:58
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 02:30:33 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0026	-11.883279	0.000359	3.590270	0.608208	0.007184
   2	5.0000e-04	0.0064	-11.847358	0.000359	3.590270	0.608208	0.007184
   3	1.0000e-03	0.0175	-11.828970	0.000184	1.837876	0.311345	0.003678
   4	1.5000e-03	0.0287	-11.818280	0.000107	1.068533	0.181014	0.002138
   5	2.0000e-03	0.0375	-11.779793	0.000385	3.846718	0.651652	0.007697
   6	2.5000e-03	0.0448	-11.784070	-0.000043	-0.427413	-0.072406	-0.000855
   7	3.0000e-03	0.0549	-11.733610	0.000504	5.043474	0.854388	0.010092
   8	3.5000e-03	0.0662	-11.713939	0.000197	1.966100	0.333066	0.003934
   9	4.0000e-03	0.0771	-11.707525	0.000064	0.641120	0.108609	0.001283
  10	4.5000e-03	0.0849	-11.660486	0.000470	4.701544	0.796463	0.009408
  11	5.0000e-03	0.0951	-11.664762	-0.000043	-0.427413	-0.072406	-0.000855
  12	5.5000e-03	0.1073	-11.629697	0.000350	3.504787	0.593727	0.007013
  13	6.0000e-03	0.1123	-11.607033	0.000227	2.265289	0.383750	0.004533
  14	6.5000e-03	0.1254	-11.600191	0.000068	0.683861	0.115849	0.001368
  15	7.0000e-03	0.1348	-11.551442	0.000487	4.872509	0.825425	0.009750
  16	7.5000e-03	0.1467	-11.549731	0.000017	0.170965	0.028962	0.000342
  17	8.0000e-03	0.1582	-11.524501	0.000252	2.521737	0.427194	0.005046
  18	8.5000e-03	0.1667	-11.505258	0.000192	1.923359	0.325826	0.003849
  19	9.0000e-03	0.1748	-11.460785	0.000445	4.445096	0.753020	0.008895
  20	9.5000e-03	0.1870	-11.439831	0.000209	2.094324	0.354788	0.004191
  21	1.0000e-02	0.1957	-11.431706	0.000081	0.812085	0.137571	0.001625
  22	1.0500e-02	0.2053	-11.418450	0.000132	1.324981	0.224458	0.002651
  23	1.1000e-02	0.2146	-11.399635	0.000188	1.880618	0.318585	0.003763
  24	1.1500e-02	0.2262	-11.364142	0.000355	3.547529	0.600968	0.007099
