»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:26:50
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:25:43 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1530	-10.401930	0.000240	2.397599	0.406164	0.473312
   2	1.0000e-04	0.3682	-9.928619	0.000240	2.397599	0.406164	0.473312
   3	2.0000e-04	0.5445	-9.364286	0.000286	2.858676	0.484273	0.564333
   4	3.0000e-04	0.7602	-9.196807	0.000085	0.848381	0.143720	0.167479
   5	4.0000e-04	0.9515	-8.552375	0.000326	3.264424	0.553008	0.644432
   6	5.0000e-04	1.1536	-7.969837	0.000295	2.950892	0.499895	0.582537
   7	6.0000e-04	1.3586	-7.452836	0.000262	2.618916	0.443656	0.517002
   8	7.0000e-04	1.5491	-6.964961	0.000247	2.471372	0.418662	0.487875
   9	8.0000e-04	1.7545	-6.830249	0.000068	0.682394	0.115601	0.134712
  10	9.0000e-04	1.9545	-6.182176	0.000328	3.282867	0.556133	0.648073
  11	1.0000e-03	2.1506	-5.592357	0.000299	2.987778	0.506143	0.589819
  12	1.1000e-03	2.3560	-5.078996	0.000260	2.600473	0.440532	0.513361
  13	1.2000e-03	2.5615	-4.631171	0.000227	2.268498	0.384294	0.447825
  14	1.3000e-03	2.7463	-4.467332	0.000083	0.829938	0.140595	0.163839
  15	1.4000e-03	2.9578	-3.881154	0.000297	2.969335	0.503019	0.586178
  16	1.5000e-03	3.1546	-3.294976	0.000297	2.969335	0.503019	0.586178
  17	1.6000e-03	3.3505	-2.836228	0.000232	2.323827	0.393667	0.458748
  18	1.7000e-03	3.5538	-2.406607	0.000218	2.176283	0.368672	0.429621
  19	1.8000e-03	3.7598	-2.210001	0.000100	0.995926	0.168714	0.196606
  20	1.9000e-03	3.9487	-1.667513	0.000275	2.748018	0.465527	0.542488
  21	2.0000e-03	4.1562	-1.106821	0.000284	2.840233	0.481149	0.560692
  22	2.1000e-03	4.3515	-0.677200	0.000218	2.176283	0.368672	0.429621
  23	2.2000e-03	4.5566	-0.254860	0.000214	2.139396	0.362424	0.422339
  24	2.3000e-03	4.7528	-0.047331	0.000105	1.051255	0.178087	0.207529
  25	2.4000e-03	4.9527	0.484234	0.000269	2.692689	0.456154	0.531565
  26	2.5000e-03	5.1633	1.004877	0.000264	2.637359	0.446781	0.520643
  27	2.6000e-03	5.3506	1.438139	0.000219	2.194726	0.371797	0.433262
  28	2.7000e-03	5.5521	1.827711	0.000197	1.973409	0.334304	0.389572
  29	2.8000e-03	5.7547	2.046162	0.000111	1.106584	0.187460	0.218451
  30	2.9000e-03	5.9494	2.544960	0.000253	2.526701	0.428035	0.498798
  31	3.0000e-03	6.1557	3.043757	0.000253	2.526701	0.428035	0.498798
  32	3.1000e-03	6.3614	3.444251	0.000203	2.028738	0.343678	0.400494
  33	3.2000e-03	6.5488	3.822901	0.000192	1.918080	0.324931	0.378649
  34	3.3000e-03	6.7538	4.004943	0.000092	0.922154	0.156217	0.182043
  35	3.4000e-03	6.9534	4.529227	0.000266	2.655802	0.449905	0.524284
  36	3.5000e-03	7.1500	4.969771	0.000223	2.231612	0.378045	0.440544
  37	3.6000e-03	7.3535	5.384829	0.000210	2.102510	0.356175	0.415058
  38	3.7000e-03	7.5589	5.752555	0.000186	1.862750	0.315558	0.367727
  39	3.8000e-03	7.7493	5.956443	0.000103	1.032812	0.174963	0.203888
  40	3.9000e-03	7.9492	6.389705	0.000219	2.194726	0.371797	0.433262
  41	4.0000e-03	8.1558	6.870298	0.000243	2.434486	0.412413	0.480593
  42	4.1000e-03	8.3493	7.234384	0.000184	1.844307	0.312434	0.364086
  43	4.2000e-03	8.5532	7.587547	0.000179	1.788978	0.303061	0.353163
  44	4.3000e-03	8.7485	7.758668	0.000087	0.866824	0.146844	0.171120
  45	4.4000e-03	8.9590	8.257465	0.000253	2.526701	0.428035	0.498798
  46	4.5000e-03	9.1464	8.683446	0.000216	2.157839	0.365548	0.425980
  47	4.6000e-03	9.3515	9.047531	0.000184	1.844307	0.312434	0.364086
  48	4.7000e-03	9.5523	9.389772	0.000173	1.733649	0.293688	0.342241
  49	4.8000e-03	9.7495	9.586378	0.000100	0.995926	0.168714	0.196606
  50	4.9000e-03	9.9448	10.016000	0.000218	2.176283	0.368672	0.429621
  51	5.0000e-03	9.8434	10.401930	-0.000195	-1.954966	-0.331180	0.385931
  52	5.1000e-03	9.6219	9.954105	0.000227	2.268498	0.384294	-0.447825
  53	5.2000e-03	9.4406	9.542688	0.000208	2.084067	0.353051	-0.411417
  54	5.3000e-03	9.2392	9.437103	0.000053	0.534849	0.090606	-0.105585
  55	5.4000e-03	9.0359	9.007482	0.000218	2.176283	0.368672	-0.429621
  56	5.5000e-03	8.8345	8.610628	0.000201	2.010295	0.340553	-0.396853
  57	5.6000e-03	8.6404	8.239261	0.000188	1.881193	0.318683	-0.371367
  58	5.7000e-03	8.4402	7.911584	0.000166	1.659877	0.281191	-0.327677
  59	5.8000e-03	8.2401	7.714977	0.000100	0.995926	0.168714	-0.196606
  60	5.9000e-03	8.0386	7.299920	0.000210	2.102510	0.356175	-0.415058
  61	6.0000e-03	7.8421	6.852094	0.000227	2.268498	0.384294	-0.447825
  62	6.1000e-03	7.6401	6.491649	0.000183	1.825864	0.309310	-0.360445
  63	6.2000e-03	7.4301	6.105718	0.000195	1.954966	0.331180	-0.385931
  64	6.3000e-03	7.2433	5.923675	0.000092	0.922154	0.156217	-0.182043
  65	6.4000e-03	7.0383	5.479491	0.000225	2.250055	0.381170	-0.444185
  66	6.5000e-03	6.8381	5.035306	0.000225	2.250055	0.381170	-0.444185
  67	6.6000e-03	6.6391	4.638453	0.000201	2.010295	0.340553	-0.396853
  68	6.7000e-03	6.4420	4.237958	0.000203	2.028738	0.343678	-0.400494
  69	6.8000e-03	6.2326	4.066838	0.000087	0.866824	0.146844	-0.171120
  70	6.9000e-03	6.0428	3.571681	0.000251	2.508258	0.424910	-0.495157
  71	7.0000e-03	5.8371	3.134778	0.000221	2.213169	0.374921	-0.436903
  72	7.1000e-03	5.6360	2.705157	0.000218	2.176283	0.368672	-0.429621
  73	7.2000e-03	5.4398	2.286459	0.000212	2.120953	0.359299	-0.418699
  74	7.3000e-03	5.2377	2.151747	0.000068	0.682394	0.115601	-0.134712
  75	7.4000e-03	5.0308	1.605618	0.000277	2.766461	0.468651	-0.546129
  76	7.5000e-03	4.8416	1.132307	0.000240	2.397599	0.406164	-0.473312
  77	7.6000e-03	4.6402	0.699045	0.000219	2.194726	0.371797	-0.433262
  78	7.7000e-03	4.4394	0.287628	0.000208	2.084067	0.353051	-0.411417
  79	7.8000e-03	4.2398	0.112867	0.000089	0.885267	0.149968	-0.174761
  80	7.9000e-03	4.0402	-0.425980	0.000273	2.729575	0.462402	-0.538847
  81	8.0000e-03	3.8406	-0.964827	0.000273	2.729575	0.462402	-0.538847
  82	8.1000e-03	3.6319	-1.416294	0.000229	2.286941	0.387418	-0.451466
  83	8.2000e-03	3.4415	-1.845915	0.000218	2.176283	0.368672	-0.429621
  84	8.3000e-03	3.2407	-2.006113	0.000081	0.811495	0.137471	-0.160198
  85	8.4000e-03	3.0362	-2.581368	0.000291	2.914005	0.493646	-0.575256
  86	8.5000e-03	2.8439	-3.091088	0.000258	2.582030	0.437408	-0.509720
  87	8.6000e-03	2.6389	-3.578963	0.000247	2.471372	0.418662	-0.487875
  88	8.7000e-03	2.4313	-4.052275	0.000240	2.397599	0.406164	-0.473312
  89	8.8000e-03	2.2433	-4.234318	0.000092	0.922154	0.156217	-0.182043
  90	8.9000e-03	2.0408	-4.820496	0.000297	2.969335	0.503019	-0.586178
  91	9.0000e-03	1.8369	-5.384829	0.000286	2.858676	0.484273	-0.564333
  92	9.1000e-03	1.6399	-5.876344	0.000249	2.489815	0.421786	-0.491516
  93	9.2000e-03	1.4378	-6.346015	0.000238	2.379156	0.403040	-0.469671
  94	9.3000e-03	1.2357	-6.484368	0.000070	0.700837	0.118725	-0.138353
  95	9.4000e-03	1.0458	-7.154285	0.000339	3.393525	0.574879	-0.669918
  96	9.5000e-03	0.8395	-7.714977	0.000284	2.840233	0.481149	-0.560692
  97	9.6000e-03	0.6387	-8.272029	0.000282	2.821790	0.478024	-0.557051
  98	9.7000e-03	0.4423	-8.756263	0.000245	2.452929	0.415537	-0.484234
  99	9.8000e-03	0.2393	-8.898256	0.000072	0.719280	0.121849	-0.141993
 100	9.9000e-03	0.0436	-9.542688	0.000326	3.264424	0.553008	-0.644432
 101	1.0000e-02	-0.0046	-10.165275	0.000326	3.264424	0.553008	-0.622587

