»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 18:27:49
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 06:27:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0045	-13.316037	0.000411	4.105954	0.695568	0.008210
   2	5.0000e-04	0.0040	-13.274985	0.000411	4.105954	0.695568	0.008210
   3	1.0000e-03	0.0152	-13.234361	0.000406	4.063184	0.688322	0.008125
   4	1.5000e-03	0.0256	-13.216828	0.000175	1.753585	0.297065	0.003507
   5	2.0000e-03	0.0352	-13.179197	0.000376	3.763792	0.637604	0.007526
   6	2.5000e-03	0.0455	-13.168079	0.000111	1.112029	0.188383	0.002224
   7	3.0000e-03	0.0551	-13.123606	0.000445	4.448117	0.753531	0.008895
   8	3.5000e-03	0.0684	-13.102225	0.000214	2.138518	0.362275	0.004276
   9	4.0000e-03	0.0763	-13.059034	0.000432	4.319806	0.731795	0.008638
  10	4.5000e-03	0.0845	-13.036798	0.000222	2.224059	0.376766	0.004447
  11	5.0000e-03	0.0938	-13.009002	0.000278	2.780073	0.470957	0.005559
  12	5.5000e-03	0.1027	-12.975648	0.000334	3.336088	0.565149	0.006671
  13	6.0000e-03	0.1159	-12.946141	0.000295	2.951155	0.499939	0.005901
  14	6.5000e-03	0.1259	-12.908938	0.000372	3.721021	0.630358	0.007441
  15	7.0000e-03	0.1360	-12.890550	0.000184	1.839125	0.311556	0.003678
  16	7.5000e-03	0.1456	-12.854630	0.000359	3.592710	0.608622	0.007184
  17	8.0000e-03	0.1561	-12.828972	0.000257	2.566222	0.434730	0.005132
  18	8.5000e-03	0.1659	-12.797755	0.000312	3.122236	0.528921	0.006243
  19	9.0000e-03	0.1716	-12.760980	0.000368	3.678251	0.623113	0.007355
  20	9.5000e-03	0.1894	-12.733612	0.000274	2.737303	0.463712	0.005474
  21	1.0000e-02	0.1953	-12.697263	0.000364	3.635481	0.615867	0.007270
  22	1.0500e-02	0.2053	-12.672034	0.000252	2.523451	0.427484	0.005046
  23	1.1000e-02	0.2133	-12.645948	0.000261	2.608992	0.441975	0.005217
  24	1.1500e-02	0.2273	-12.610883	0.000351	3.507169	0.594131	0.007013
