»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 19:21:6
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 07:20:43 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0050	-14.106075	0.000462	4.616574	0.782069	0.009237
   2	5.0000e-04	0.0051	-14.059891	0.000462	4.616574	0.782069	0.009237
   3	1.0000e-03	0.0146	-14.032096	0.000278	2.778494	0.470690	0.005559
   4	1.5000e-03	0.0232	-13.995320	0.000368	3.676161	0.622759	0.007355
   5	2.0000e-03	0.0373	-13.969235	0.000261	2.607510	0.441724	0.005217
   6	2.5000e-03	0.0473	-13.943577	0.000256	2.564763	0.434483	0.005132
   7	3.0000e-03	0.0541	-13.908940	0.000346	3.462431	0.586552	0.006928
   8	3.5000e-03	0.0617	-13.858908	0.000500	5.001289	0.847241	0.010006
   9	4.0000e-03	0.0750	-13.848645	0.000103	1.025905	0.173793	0.002053
  10	4.5000e-03	0.0859	-13.817000	0.000316	3.163208	0.535862	0.006329
  11	5.0000e-03	0.0942	-13.784928	0.000321	3.205954	0.543103	0.006414
  12	5.5000e-03	0.1062	-13.755850	0.000291	2.906732	0.492414	0.005816
  13	6.0000e-03	0.1149	-13.721640	0.000342	3.419685	0.579310	0.006842
  14	6.5000e-03	0.1253	-13.681015	0.000406	4.060876	0.687931	0.008125
  15	7.0000e-03	0.1363	-13.661345	0.000197	1.966319	0.333103	0.003934
  16	7.5000e-03	0.1457	-13.626279	0.000351	3.505177	0.593793	0.007013
  17	8.0000e-03	0.1554	-13.601905	0.000244	2.436525	0.412759	0.004875
  18	8.5000e-03	0.1654	-13.551873	0.000500	5.001289	0.847241	0.010006
  19	9.0000e-03	0.1769	-13.536478	0.000154	1.538858	0.260690	0.003079
  20	9.5000e-03	0.1859	-13.494571	0.000419	4.189114	0.709655	0.008381
  21	1.0000e-02	0.1945	-13.459506	0.000351	3.505177	0.593793	0.007013
  22	1.0500e-02	0.2045	-13.449670	0.000098	0.983159	0.166552	0.001967
  23	1.1000e-02	0.2163	-13.412467	0.000372	3.718907	0.630000	0.007441
  24	1.1500e-02	0.2261	-13.375691	0.000368	3.676161	0.622759	0.007355
