»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 19:11:31
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 07:10:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1516	-12.378916	0.000308	3.079577	0.521694	0.608023
   2	1.0000e-04	0.3614	-11.770893	0.000308	3.079577	0.521694	0.608023
   3	2.0000e-04	0.5444	-11.031799	0.000374	3.743437	0.634155	0.739094
   4	3.0000e-04	0.7590	-10.565769	0.000236	2.360394	0.399862	0.466030
   5	4.0000e-04	0.9504	-10.026922	0.000273	2.729206	0.462340	0.538847
   6	5.0000e-04	1.1496	-9.549970	0.000242	2.415716	0.409233	0.476952
   7	6.0000e-04	1.3578	-8.934665	0.000312	3.116458	0.527942	0.615305
   8	7.0000e-04	1.5454	-8.399459	0.000271	2.710765	0.459216	0.535206
   9	8.0000e-04	1.7532	-7.867893	0.000269	2.692324	0.456092	0.531565
  10	9.0000e-04	1.9547	-7.310842	0.000282	2.821408	0.477960	0.557051
  11	1.0000e-03	2.1494	-6.808404	0.000254	2.544800	0.431101	0.502438
  12	1.1000e-03	2.3514	-6.244071	0.000286	2.858290	0.484207	0.564333
  13	1.2000e-03	2.5562	-5.679738	0.000286	2.858290	0.484207	0.564333
  14	1.3000e-03	2.7469	-5.170018	0.000258	2.581681	0.437349	0.509720
  15	1.4000e-03	2.9527	-4.660298	0.000258	2.581681	0.437349	0.509720
  16	1.5000e-03	3.1516	-4.136014	0.000266	2.655443	0.449844	0.524284
  17	1.6000e-03	3.3513	-3.619013	0.000262	2.618562	0.443596	0.517002
  18	1.7000e-03	3.5562	-3.083806	0.000271	2.710765	0.459216	0.535206
  19	1.8000e-03	3.7601	-2.559523	0.000266	2.655443	0.449844	0.524284
  20	1.9000e-03	3.9487	-2.038880	0.000264	2.637003	0.446720	0.520643
  21	2.0000e-03	4.1495	-1.580132	0.000232	2.323513	0.393614	0.458748
  22	2.1000e-03	4.3484	-1.026722	0.000280	2.802968	0.474836	0.553410
  23	2.2000e-03	4.5535	-0.517002	0.000258	2.581681	0.437349	0.509720
  24	2.3000e-03	4.7452	-0.010923	0.000256	2.563240	0.434225	0.506079
  25	2.4000e-03	4.9551	0.473312	0.000245	2.452597	0.415481	0.484234
  26	2.5000e-03	5.1584	0.935700	0.000234	2.341953	0.396738	0.462389
