»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 17:55:22
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 05:54:47 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0042	-14.801403	0.000213	2.129503	0.360748	0.000021
   2	9.9500e-02	0.0048	-14.780221	0.000213	2.129503	0.360748	0.000021
   3	1.9900e-01	0.0167	-14.753744	0.000266	2.661879	0.450935	0.000027
   4	2.9850e-01	0.0250	-14.725230	0.000287	2.866639	0.485622	0.000029
   5	3.9800e-01	0.0344	-14.699567	0.000258	2.579975	0.437060	0.000026
   6	4.9750e-01	0.0455	-14.676348	0.000233	2.334263	0.395435	0.000023
   7	5.9700e-01	0.0522	-14.649057	0.000274	2.743783	0.464809	0.000027
   8	6.9650e-01	0.0619	-14.624209	0.000250	2.498071	0.423185	0.000025
   9	7.9600e-01	0.0754	-14.596917	0.000274	2.743783	0.464809	0.000027
  10	8.9550e-01	0.0855	-14.572883	0.000242	2.416167	0.409310	0.000024
  11	9.9500e-01	0.0974	-14.542740	0.000303	3.030447	0.513372	0.000030
  12	1.0945e+00	0.1059	-14.520336	0.000225	2.252359	0.381560	0.000023
  13	1.1940e+00	0.1183	-14.491822	0.000287	2.866639	0.485622	0.000029
  14	1.2935e+00	0.1264	-14.471048	0.000209	2.088551	0.353810	0.000021
  15	1.3930e+00	0.1344	-14.447015	0.000242	2.416167	0.409310	0.000024
  16	1.4925e+00	0.1431	-14.416464	0.000307	3.071399	0.520309	0.000031
  17	1.5920e+00	0.1565	-14.390801	0.000258	2.579975	0.437060	0.000026
  18	1.6915e+00	0.1630	-14.363509	0.000274	2.743783	0.464809	0.000027
  19	1.7910e+00	0.1737	-14.338661	0.000250	2.498071	0.423185	0.000025
  20	1.8905e+00	0.1872	-14.312592	0.000262	2.620927	0.443997	0.000026
  21	1.9900e+00	0.1933	-14.284892	0.000278	2.784735	0.471747	0.000028
  22	2.0895e+00	0.2057	-14.256786	0.000283	2.825687	0.478684	0.000028
  23	2.1890e+00	0.2155	-14.230308	0.000266	2.661879	0.450935	0.000027
  24	2.2885e+00	0.2222	-14.203424	0.000270	2.702831	0.457872	0.000027
  25	2.3880e+00	0.2328	-14.175724	0.000278	2.784735	0.471747	0.000028
  26	2.4875e+00	0.2454	-14.148433	0.000274	2.743783	0.464809	0.000027
  27	2.5870e+00	0.2549	-14.120733	0.000278	2.784735	0.471747	0.000028
  28	2.6865e+00	0.2660	-14.089368	0.000315	3.153303	0.534184	0.000032
  29	2.7860e+00	0.2734	-14.068593	0.000209	2.088551	0.353810	0.000021
  30	2.8855e+00	0.2824	-14.035191	0.000336	3.358063	0.568871	0.000034
  31	2.9850e+00	0.2929	-14.007085	0.000283	2.825687	0.478684	0.000028
  32	3.0845e+00	0.3037	-13.976534	0.000307	3.071399	0.520309	0.000031
  33	3.1840e+00	0.3128	-13.950464	0.000262	2.620927	0.443997	0.000026
  34	3.2835e+00	0.3222	-13.923172	0.000274	2.743783	0.464809	0.000027
  35	3.3830e+00	0.3352	-13.890992	0.000324	3.235207	0.548059	0.000032
  36	3.4825e+00	0.3451	-13.862885	0.000283	2.825687	0.478684	0.000028
  37	3.5820e+00	0.3536	-13.833557	0.000295	2.948543	0.499497	0.000029
  38	3.6815e+00	0.3634	-13.805043	0.000287	2.866639	0.485622	0.000029
  39	3.7810e+00	0.3715	-13.776121	0.000291	2.907591	0.492559	0.000029
  40	3.8805e+00	0.3819	-13.748015	0.000283	2.825687	0.478684	0.000028
  41	3.9800e+00	0.3970	-13.715427	0.000328	3.276159	0.554996	0.000033
  42	4.0795e+00	0.4037	-13.688135	0.000274	2.743783	0.464809	0.000027
  43	4.1790e+00	0.4119	-13.657992	0.000303	3.030447	0.513372	0.000030
  44	4.2785e+00	0.4239	-13.627441	0.000307	3.071399	0.520309	0.000031
  45	4.3780e+00	0.4346	-13.599742	0.000278	2.784735	0.471747	0.000028
  46	4.4775e+00	0.4464	-13.567969	0.000319	3.194255	0.541121	0.000032
  47	4.5770e+00	0.4543	-13.539455	0.000287	2.866639	0.485622	0.000029
  48	4.6765e+00	0.4639	-13.509312	0.000303	3.030447	0.513372	0.000030
  49	4.7760e+00	0.4750	-13.477539	0.000319	3.194255	0.541121	0.000032
  50	4.8755e+00	0.4832	-13.452284	0.000254	2.539023	0.430122	0.000025
  51	4.9750e+00	0.4913	-13.421733	0.000307	3.071399	0.520309	0.000031
  52	5.0745e+00	0.5013	-13.395663	0.000262	2.620927	0.443997	0.000026
