»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/26/2025 - 19:2:31
Configured:	06/26/25 10:24:47 AM
Executed:	06/26/25 07:01:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-562
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1493	-12.420786	0.000347	3.466467	0.587235	0.684481
   2	1.0000e-04	0.3556	-11.736305	0.000347	3.466467	0.587235	0.684481
   3	2.0000e-04	0.5440	-10.869781	0.000439	4.388400	0.743415	0.866524
   4	3.0000e-04	0.7625	-10.534822	0.000170	1.696356	0.287371	0.334959
   5	4.0000e-04	0.9512	-10.050588	0.000245	2.452341	0.415438	0.484234
   6	5.0000e-04	1.1496	-9.402515	0.000328	3.282080	0.555999	0.648073
   7	6.0000e-04	1.3596	-8.830900	0.000289	2.894869	0.490404	0.571615
   8	7.0000e-04	1.5468	-8.324821	0.000256	2.562973	0.434179	0.506079
   9	8.0000e-04	1.7508	-7.800538	0.000266	2.655166	0.449797	0.524284
  10	9.0000e-04	1.9523	-7.247127	0.000280	2.802675	0.474786	0.553410
  11	1.0000e-03	2.1487	-6.675513	0.000289	2.894869	0.490404	0.571615
  12	1.1000e-03	2.3593	-6.176715	0.000253	2.526096	0.427932	0.498798
  13	1.2000e-03	2.5571	-5.637868	0.000273	2.728921	0.462292	0.538847
  14	1.3000e-03	2.7478	-5.073535	0.000286	2.857991	0.484157	0.564333
  15	1.4000e-03	2.9565	-4.622069	0.000229	2.286393	0.387325	0.451466
  16	1.5000e-03	3.1503	-4.010405	0.000310	3.097694	0.524764	0.611664
  17	1.6000e-03	3.3487	-3.551657	0.000232	2.323270	0.393573	0.458748
  18	1.7000e-03	3.5507	-3.020091	0.000269	2.692044	0.456045	0.531565
  19	1.8000e-03	3.7570	-2.477604	0.000275	2.747359	0.465415	0.542488
  20	1.9000e-03	3.9465	-1.971524	0.000256	2.562973	0.434179	0.506079
  21	2.0000e-03	4.1537	-1.450882	0.000264	2.636728	0.446674	0.520643
  22	2.1000e-03	4.3466	-0.959366	0.000249	2.489218	0.421685	0.491516
  23	2.2000e-03	4.5554	-0.460568	0.000253	2.526096	0.427932	0.498798
  24	2.3000e-03	4.7501	0.081919	0.000275	2.747359	0.465415	0.542488
  25	2.4000e-03	4.9521	0.529745	0.000227	2.267954	0.384202	0.447825
  26	2.5000e-03	5.1590	1.050387	0.000264	2.636728	0.446674	0.520643
  27	2.6000e-03	5.3506	1.585594	0.000271	2.710482	0.459168	0.535206
  28	2.7000e-03	5.5539	2.018856	0.000219	2.194200	0.371708	0.433262
  29	2.8000e-03	5.7529	2.506731	0.000247	2.470780	0.418561	0.487875
  30	2.9000e-03	5.9488	3.038296	0.000269	2.692044	0.456045	0.531565
  31	3.0000e-03	6.1533	3.482480	0.000225	2.249516	0.381078	0.444185
  32	3.1000e-03	6.3559	3.970355	0.000247	2.470780	0.418561	0.487875
  33	3.2000e-03	6.5482	4.425463	0.000230	2.304832	0.390449	0.455107
  34	3.3000e-03	6.7532	4.884211	0.000232	2.323270	0.393573	0.458748
  35	3.4000e-03	6.9516	5.368445	0.000245	2.452341	0.415438	0.484234
  36	3.5000e-03	7.1512	5.845397	0.000242	2.415464	0.409191	0.476952
