»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 12:25:10
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 12:24:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0039	-15.441335	0.000898	8.978316	1.520968	0.017960
   2	5.0000e-04	0.0108	-15.351534	0.000898	8.978316	1.520968	0.017960
   3	1.0000e-03	0.0163	-15.331863	0.000197	1.966679	0.333164	0.003934
   4	1.5000e-03	0.0263	-15.278837	0.000530	5.301482	0.898095	0.010605
   5	2.0000e-03	0.0381	-15.257884	0.000209	2.094940	0.354892	0.004191
   6	2.5000e-03	0.0438	-15.200154	0.000577	5.771774	0.977765	0.011546
   7	3.0000e-03	0.0559	-15.157819	0.000423	4.232634	0.717028	0.008467
   8	3.5000e-03	0.0711	-15.123182	0.000346	3.463065	0.586659	0.006928
   9	4.0000e-03	0.0765	-15.086834	0.000363	3.634080	0.615630	0.007270
  10	4.5000e-03	0.0850	-15.029959	0.000569	5.686267	0.963280	0.011375
  11	5.0000e-03	0.0961	-15.006440	0.000235	2.351464	0.398349	0.004704
  12	5.5000e-03	0.1058	-14.958546	0.000479	4.788435	0.811183	0.009579
  13	6.0000e-03	0.1159	-14.909797	0.000487	4.873943	0.825668	0.009750
  14	6.5000e-03	0.1257	-14.886705	0.000231	2.308710	0.391106	0.004618
  15	7.0000e-03	0.1373	-14.813581	0.000731	7.310914	1.238502	0.014625
  16	7.5000e-03	0.1491	-14.789206	0.000244	2.436971	0.412834	0.004875
  17	8.0000e-03	0.1572	-14.734043	0.000552	5.515251	0.934309	0.011033
  18	8.5000e-03	0.1649	-14.698977	0.000351	3.505818	0.593902	0.007013
  19	9.0000e-03	0.1769	-14.672465	0.000265	2.650741	0.449048	0.005303
  20	9.5000e-03	0.1860	-14.607893	0.000646	6.455836	1.093648	0.012914
  21	1.0000e-02	0.1958	-14.580525	0.000274	2.736249	0.463533	0.005474
  22	1.0500e-02	0.2049	-14.527072	0.000534	5.344235	0.905338	0.010691
  23	1.1000e-02	0.2158	-14.493290	0.000338	3.377557	0.572174	0.006756
  24	1.1500e-02	0.2234	-14.459507	0.000338	3.377557	0.572174	0.006756
  25	1.2000e-02	0.2357	-14.412041	0.000475	4.745681	0.803940	0.009493
  26	1.2500e-02	0.2465	-14.379541	0.000325	3.249295	0.550445	0.006500
  27	1.3000e-02	0.2559	-14.330792	0.000487	4.873943	0.825668	0.009750
  28	1.3500e-02	0.2653	-14.273918	0.000569	5.686267	0.963280	0.011375
  29	1.4000e-02	0.2782	-14.229445	0.000445	4.446404	0.753241	0.008895
  30	1.4500e-02	0.2863	-14.199939	0.000295	2.950018	0.499747	0.005901
  31	1.5000e-02	0.2945	-14.149479	0.000504	5.044958	0.854639	0.010092
  32	1.5500e-02	0.3053	-14.120400	0.000291	2.907264	0.492504	0.005816
  33	1.6000e-02	0.3172	-14.089184	0.000312	3.121033	0.528717	0.006243
  34	1.6500e-02	0.3269	-14.041717	0.000475	4.745681	0.803940	0.009493
  35	1.7000e-02	0.3353	-13.985698	0.000560	5.600759	0.948794	0.011204
  36	1.7500e-02	0.3461	-13.950206	0.000355	3.548572	0.601144	0.007099
  37	1.8000e-02	0.3558	-13.918989	0.000312	3.121033	0.528717	0.006243
  38	1.8500e-02	0.3678	-13.862115	0.000569	5.686267	0.963280	0.011375
  39	1.9000e-02	0.3756	-13.821490	0.000406	4.061619	0.688057	0.008125
  40	1.9500e-02	0.3859	-13.785997	0.000355	3.548572	0.601144	0.007099
  41	2.0000e-02	0.3981	-13.728696	0.000573	5.729020	0.970522	0.011460
  42	2.0500e-02	0.4070	-13.699189	0.000295	2.950018	0.499747	0.005901
  43	2.1000e-02	0.4189	-13.664124	0.000351	3.505818	0.593902	0.007013
  44	2.1500e-02	0.4262	-13.617085	0.000470	4.702927	0.796697	0.009408
  45	2.2000e-02	0.4369	-13.584586	0.000325	3.249295	0.550445	0.006500
  46	2.2500e-02	0.4447	-13.534554	0.000500	5.002204	0.847396	0.010006
  47	2.3000e-02	0.4568	-13.485377	0.000492	4.916697	0.832911	0.009835
  48	2.3500e-02	0.4688	-13.452877	0.000325	3.249295	0.550445	0.006500
  49	2.4000e-02	0.4816	-13.401990	0.000509	5.087712	0.861882	0.010177
  50	2.4500e-02	0.4873	-13.356234	0.000457	4.574666	0.774969	0.009151
  51	2.5000e-02	0.4957	-13.327155	0.000291	2.907264	0.492504	0.005816
  52	2.5500e-02	0.5049	-13.299787	0.000274	2.736249	0.463533	0.005474
  53	2.6000e-02	0.5165	-13.244624	0.000552	5.515251	0.934309	0.011033
