»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 13:52:9
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 01:51:38 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0037	-11.860797	0.000233	2.333987	0.395388	0.000023
   2	9.9500e-02	0.0058	-11.837578	0.000233	2.333987	0.395388	0.000023
   3	1.9900e-01	0.0172	-11.809879	0.000278	2.784406	0.471691	0.000028
   4	2.9850e-01	0.0254	-11.786660	0.000233	2.333987	0.395388	0.000023
   5	3.9800e-01	0.0356	-11.759776	0.000270	2.702511	0.457818	0.000027
   6	4.9750e-01	0.0477	-11.731669	0.000283	2.825353	0.478628	0.000028
   7	5.9700e-01	0.0565	-11.708451	0.000233	2.333987	0.395388	0.000023
   8	6.9650e-01	0.0658	-11.684825	0.000237	2.374934	0.402325	0.000024
   9	7.9600e-01	0.0736	-11.658347	0.000266	2.661564	0.450881	0.000027
  10	8.9550e-01	0.0850	-11.631056	0.000274	2.743459	0.464754	0.000027
  11	9.9500e-01	0.0945	-11.608244	0.000229	2.293040	0.388451	0.000023
  12	1.0945e+00	0.1034	-11.583396	0.000250	2.497776	0.423135	0.000025
  13	1.1940e+00	0.1158	-11.554882	0.000287	2.866300	0.485564	0.000029
  14	1.2935e+00	0.1257	-11.530035	0.000250	2.497776	0.423135	0.000025
  15	1.3930e+00	0.1349	-11.506001	0.000242	2.415881	0.409261	0.000024
  16	1.4925e+00	0.1445	-11.477895	0.000283	2.825353	0.478628	0.000028
  17	1.5920e+00	0.1553	-11.451825	0.000262	2.620617	0.443945	0.000026
  18	1.6915e+00	0.1637	-11.426162	0.000258	2.579670	0.437008	0.000026
  19	1.7910e+00	0.1744	-11.394797	0.000315	3.152930	0.534121	0.000032
  20	1.8905e+00	0.1852	-11.368727	0.000262	2.620617	0.443945	0.000026
  21	1.9900e+00	0.1954	-11.341028	0.000278	2.784406	0.471691	0.000028
  22	2.0895e+00	0.2068	-11.315772	0.000254	2.538723	0.430071	0.000025
  23	2.1890e+00	0.2155	-11.287666	0.000283	2.825353	0.478628	0.000028
  24	2.2885e+00	0.2220	-11.258337	0.000295	2.948194	0.499438	0.000029
  25	2.3880e+00	0.2347	-11.233897	0.000246	2.456829	0.416198	0.000025
  26	2.4875e+00	0.2437	-11.201716	0.000323	3.234824	0.547994	0.000032
  27	2.5870e+00	0.2560	-11.176054	0.000258	2.579670	0.437008	0.000026
  28	2.6865e+00	0.2647	-11.148762	0.000274	2.743459	0.464754	0.000027
  29	2.7860e+00	0.2740	-11.124321	0.000246	2.456829	0.416198	0.000025
  30	2.8855e+00	0.2832	-11.096622	0.000278	2.784406	0.471691	0.000028
  31	2.9850e+00	0.2925	-11.065257	0.000315	3.152930	0.534121	0.000032
